NAME,# MENTIONS / 100K WORDS,GENDER
John,1212.4675231913432,M
Evan,1174.075694401043,M
Billy,929.4393900163388,M
Sandy,496.41527459085916,F
Ally,454.4521128898333,?
Julia,366.95445657705596,F
Melanie,334.8124603805255,F
Sara,282.13529994732284,F
Lauren,262.492968938332,F
Moose,174.99531262555467,M
Dad,149.99598225047544,M
Danielle,91.06898922350294,F
Greg,77.67649080828193,M
Karen Christianson,58.92699302697249,F
Kyle,45.53449461175147,M
Nadine,38.39182879030026,F
Mommy,34.82049587957466,F
Meghan,25.89216360276064,F
George,24.99933037507924,M
Jason,20.53516423667223,M
Dubois,17.85666455362803,M
Derek,13.39249841522102,M
Gerry,13.39249841522102,M
Tom,12.49966518753962,M
Brandon,11.606831959858217,M
Williams Lake,8.928332276814015,?
Samantha,8.035499049132612,F
RCMP,7.142665821451211,?
Sara Gallagher,7.142665821451211,?
Google,6.24983259376981,?
Douglas,5.3569993660884085,M
Katharine,5.3569993660884085,?
Bill,4.464166138407007,?
Jesus,4.464166138407007,M
Facebook,3.5713329107256055,?
Mackenzie,3.5713329107256055,M
Gretel Antiques,3.5713329107256055,?
Ted Bundy,2.6784996830442043,?
Jake,2.6784996830442043,?
University of Victoria,2.6784996830442043,?
Nanaimo News,2.6784996830442043,?
Stevie Nicks,1.7856664553628028,?
Nike,1.7856664553628028,?
ADT,1.7856664553628028,?
Sun Tzu,1.7856664553628028,?
Vital Statistics,1.7856664553628028,?
SPCA,1.7856664553628028,?
Zodiac Killer,1.7856664553628028,?
