NAME,# MENTIONS / 100K WORDS,GENDER
Johanna,1001.4221108514831,F
Ravna,979.4731330793959,F
Nevil,389.1370850842978,M
Jefri,379.5344073090096,F
Amdi,374.5044332362396,F
Tycoon,345.2391295401232,M
Woodcarver,242.81056660371578,?
Vendacious,208.05801846457754,M
Jo,199.369881429793,F
Gannon,182.4508777304757,M
Chitiratifor,180.62179624946842,F
Oobii,167.8182258824175,F
Screwfloss,159.13008884763295,F
Belle,155.01465551536657,F
Flenser,122.09118885723562,M
Scrupilo,118.89029626547288,M
Timor,115.23213330345834,?
Ritl,107.91580737942924,F
Geri,70.4196370187801,F
Jef,68.59055553777281,F
Tinish,67.67601479726918,?
Zek,67.21874442701736,?
Mr. Radio,62.64604072449917,M
Bili,61.27422961374372,M
Pham,58.07333702198099,M
Belle Ornrikak,55.78698517072189,F
Øvin,49.84247035744825,?
Wilm,46.1843073954337,M
Hei,43.89795554417461,?
Lord Steel,43.44068517392279,F
Samnorsk,42.52614443341915,F
Remasritlfeer,39.32525184165642,M
Harmony,37.95344073090096,F
Magda,29.2653036961164,F
Amdiranifani,27.893492585360946,?
Starship Hill,26.52168147460549,?
Wretchly,22.40624814233912,?
Tami,21.948977772087304,F
Elspa,21.034437031583664,?
Tropics,18.74808518032457,?
Benky,17.833544439820933,F
Interpack,16.919003699317294,?
Newcastle,16.004462958813658,?
Wenda,14.6326518480582,?
Scriber,14.6326518480582,?
Godsgift,14.6326518480582,?
Edvi,13.718111107554563,M
Cheepers,13.260840737302745,?
Heida,13.260840737302745,?
Flenser-Tyrathect,12.803570367050925,?
Sharps,12.346299996799107,M
North,12.346299996799107,?
Giske,11.88902962654729,?
bush,11.43175925629547,M
Ut,11.43175925629547,?
Greenstalk,10.517218515791832,?
Poul Linden,10.059948145540014,M
Ben,9.602677775288194,M
Disaster Study Group,9.602677775288194,?
Mr. Steel,9.145407405036377,M
Sjandra Kei,9.145407405036377,M
Rolf,8.230866664532739,M
Prince Purity,8.230866664532739,M
Straumer,7.773596294280919,?
Aritarmo,7.3163259240291,M
Llr,6.8590555537772815,?
Henrik,6.8590555537772815,M
Straumli Realm,6.401785183525463,?
Oliphaunt,5.487244443021826,?
Wenda Larsndot,5.029974072770007,M
Lisl,5.029974072770007,M
Straumers,4.572703702518188,?
Scrup,4.572703702518188,?
Mr. Tyrathect,4.572703702518188,M
Winch Bottom,4.115433332266369,M
Tyco,3.65816296201455,?
Hell,3.65816296201455,?
HUD,3.65816296201455,?
Carenfret,3.65816296201455,?
Mr. Skeets,3.65816296201455,M
Del Ronsndot,3.65816296201455,M
Arne Olsndot,3.65816296201455,M
Ihm,3.2008925917627313,?
Dekutomon,3.2008925917627313,?
Vrinimi Organization,2.743622221510913,?
Sika,2.743622221510913,?
Junior,2.286351851259094,?
Winch Top,2.286351851259094,M
Sjana,1.829081481007275,?
Sharpsie,1.829081481007275,?
Tam,1.829081481007275,M
Jerkwad,1.829081481007275,?
Skroderider Blueshell,1.3718111107554565,?
Mr. Ambassador,1.3718111107554565,?
Mr. Stonemason,1.3718111107554565,M
Needles & Co.,1.3718111107554565,?
Lynne,1.3718111107554565,F
Scarbutt,1.3718111107554565,?
Meri,1.3718111107554565,?
"Wenda , Jr.",1.3718111107554565,?
Wicky,0.9145407405036375,?
Amdijefri,0.9145407405036375,?
Lord Nevil,0.9145407405036375,?
Naeh,0.9145407405036375,?
