NAME,# MENTIONS / 100K WORDS,GENDER
Mark Spitz,2020.7479116980157,M
Gary,496.9630038652678,M
Kaitlyn,420.59753045807537,F
Ms. Macy,118.66019714040674,F
Buffalo,106.91166277006944,?
Bozeman,84.58944746642857,M
Fabio,74.01576653312499,M
Margie,66.96664591092261,F
Wonton,58.7426718516865,?
Omega,49.343844355416664,F
Mim,43.46957717024801,?
Jerry,43.46957717024801,M
Richie,28.196482488809522,M
Gladys,28.196482488809522,F
Taylor,24.671922177708332,M
Nelson,24.671922177708332,M
Gina,22.32221530364087,F
Carl,22.32221530364087,M
Trevor,22.32221530364087,M
Lloyd,21.14736186660714,M
Marge,19.97250842957341,F
Angela,17.62280155550595,F
Miss Alcott,17.62280155550595,F
Brooks,16.44794811847222,M
Annie,16.44794811847222,F
Gamma,16.44794811847222,?
Abel,16.44794811847222,M
Gibson,12.92338780737103,M
Duane,12.92338780737103,M
Bravo,12.92338780737103,?
Northeast Corridor,12.92338780737103,?
gore,11.7485343703373,M
Lily,10.57368093330357,F
Harry,10.57368093330357,M
Ned,9.39882749626984,M
Josh,9.39882749626984,M
Lester,9.39882749626984,M
R & R,9.39882749626984,?
Joshua,9.39882749626984,M
Foreskin,8.22397405923611,?
Fulton,8.22397405923611,?
Dr. Neil Herkimer,7.049120622202381,M
Reade,7.049120622202381,M
Chad,7.049120622202381,?
Metz,7.049120622202381,M
Richard Cowl,7.049120622202381,M
Aunt Ethel,7.049120622202381,F
Kyle,5.87426718516865,?
Chip,5.87426718516865,?
Jennifer,5.87426718516865,F
Weller,4.69941374813492,M
Simons,4.69941374813492,M
Harold,4.69941374813492,M
Rob,4.69941374813492,M
Tammy,3.5245603111011903,F
Lonnie,3.5245603111011903,?
Coakley,3.5245603111011903,?
Asher,3.5245603111011903,M
Oliver,2.34970687406746,?
Paterson,2.34970687406746,?
Amy,2.34970687406746,?
Lamont,2.34970687406746,?
Jennie,2.34970687406746,?
Margaret Halstead,2.34970687406746,?
