NAME,# MENTIONS / 100K WORDS,GENDER
Gideon,3574.685584611143,M
Cary,598.0785137112681,M
Brett,314.9456003054018,M
Eva,215.26584802019045,F
Nathan,153.76132001442176,M
Corinne,127.25074759814214,F
Mark,107.10271256176964,M
Megumi,100.74017518186253,F
Shawna,95.4380606986066,F
Trey,91.19636911200186,M
Dr. Petersen,83.77340883544358,M
Angus,82.71298593879239,M
Stanton,69.98791117897818,M
Lucas,67.8670653856758,M
Arnoldo,54.081567729210406,M
Christopher,53.02114483255922,M
Parker,47.7190303493033,M
Steven,41.35649296939619,M
Bentley,36.05437848614027,M
Magdalene,31.812686899535535,F
Cross Industries,29.691841106233166,M
Tatiana,26.51057241627961,F
Clancy,24.389726622977243,M
Paul,22.268880829674874,M
Sheila,21.20845793302369,F
Miss Tramell,20.148035036372505,F
Graves,16.96676634641895,?
Daniel,16.96676634641895,M
Six-Ninths,15.906343449767768,?
Michna,14.845920553116583,M
Vidal Records,14.845920553116583,M
Jesus,13.785497656465399,M
Victor Reyes,12.725074759814214,M
Mr. Cross,11.66465186316303,M
Ian,10.604228966511846,M
Anne,10.604228966511846,F
Doug,9.543806069860661,M
Scott,9.543806069860661,M
Krav Maga,8.483383173209475,?
Elizabeth Vidal,8.483383173209475,F
Dr. Travis,7.422960276558292,M
Monica,6.362537379907107,F
Robert,5.302114483255923,M
Mr. Waters,5.302114483255923,M
Daddy,5.302114483255923,?
Martin,5.302114483255923,M
Google,5.302114483255923,?
Cross Towers,4.2416915866047376,M
Kingsman Vodka,4.2416915866047376,?
Waters Field & Leaman,4.2416915866047376,?
Jeremy,3.1812686899535536,M
Darrin,3.1812686899535536,M
Eva Lauren,2.1208457933023688,?
SDSU,2.1208457933023688,?
