NAME,# MENTIONS / 100K WORDS,GENDER
Karen,552.1102497846684,F
Grayson,223.083548664944,M
Linden Sky Davis,142.9801894918174,?
Les,124.03100775193798,M
Breckin,93.02325581395348,?
Jack,89.57795004306632,M
John,63.738156761412576,M
Hope,48.23428079242033,?
Jesus,46.51162790697674,M
Lesslie,35.31438415159345,F
Dean,35.31438415159345,M
Mr. Mulligan,31.869078380706288,M
Shayna,24.978466838931954,F
Daddy,24.978466838931954,M
Jake,18.949181739879414,M
Max,18.949181739879414,M
miss Dean,18.087855297157624,?
Jaxon,9.474590869939707,M
Facebook,6.890611541774333,?
Shayla,4.306632213608958,?
Matt,2.5839793281653747,M
Lorenzo,2.5839793281653747,?
Beth,1.7226528854435832,?
Daniel Wesley,1.7226528854435832,?
