NAME,# MENTIONS / 100K WORDS,GENDER
Emily,7175.486933600506,F
Nathan,227.81216827089372,M
Jacob,133.58619291277537,M
Thor,103.76784628045944,M
Frank,48.90208847699813,M
Sven,31.011080497608567,M
Francois,29.818346632315933,M
Justine,28.625612767023295,F
Tribune,21.46920957526747,?
Mike,9.541870922341099,M
Hal,9.541870922341099,M
Mossberg,8.34913705704846,?
CNN,8.34913705704846,?
Sandra,7.156403191755824,F
gore,5.963669326463187,M
Hiss,4.7709354611705495,?
Lyndhurst Museum,3.578201595877912,?
Henry Hudson Parkway,2.3854677305852747,?
