NAME,# MENTIONS / 100K WORDS,GENDER
Milo,1059.4841489399273,M
Vita,387.30031666804007,M
Quigg,348.45256454024275,M
Huggler,339.0349276607767,M
Petra,260.1622187952488,F
Cahane,215.4284436177852,M
Harrie,150.68219007145632,M
Shacker,148.3277808515898,M
Eccles,131.84691631252429,M
Biro,109.48002872379249,M
Samantha,107.12561950392598,F
Louie,98.88518723439321,M
Borchard,90.64475496486044,M
Sloat,84.75873191519418,?
Hedy,82.40432269532768,F
Maria Thomas,80.04991347546117,F
Lee,75.34109503572816,M
Alex,70.63227659599515,M
Nina Hassan,64.74625354632889,F
Ostrovine,63.56904893639563,M
Wainright,63.56904893639563,M
Gertrude,58.86023049666262,F
Glenda,55.32861666686287,F
Robin,52.97420744699636,M
Belle Quigg,52.97420744699636,F
Belleveaux,52.97420744699636,M
Sean,52.97420744699636,M
Barron,48.26538900726335,M
Reed,48.26538900726335,M
Cheryl Wannamaker,48.26538900726335,F
Sondra,48.26538900726335,F
Gloria,45.91097978739685,F
Veronese,44.73377517746359,M
David,42.37936595759709,M
Margaret Wheeling,41.20216134766384,F
God,40.024956737730584,?
Madeleine,37.67054751786408,F
Davey,37.67054751786408,M
Banforth,37.67054751786408,M
Mother,36.493342907930824,F
Mr. Quigg,31.784524468197816,M
Cerise,27.075706028464808,M
Leventhal,27.075706028464808,M
Well-Start,25.898501418531556,?
Bella,24.721296808598304,F
George,23.54409219866505,M
Erica Vail,23.54409219866505,F
Sarah,22.366887588731796,F
Donna,22.366887588731796,F
Dr. Usfel,21.189682978798544,?
Sturgis,21.189682978798544,?
John Banforth,20.012478368865292,M
Lem Eccles,20.012478368865292,M
Trude Prosser,20.012478368865292,F
Dr. Delaware,20.012478368865292,?
John,18.83527375893204,M
Blanche,18.83527375893204,F
Flores,17.658069148998788,M
Kevin,16.480864539065536,M
Ned,16.480864539065536,M
Dr. Mendes,16.480864539065536,M
Ramos,16.480864539065536,M
Tracy,16.480864539065536,M
Glenda Usfel,15.303659929132282,F
Patricia,14.12645531919903,F
Jernigan,14.12645531919903,M
Mr. Lipschitz,14.12645531919903,M
Brown,12.949250709265778,M
Leticia,12.949250709265778,F
Sakura,11.772046099332526,F
Don,11.772046099332526,M
Ventura State,11.772046099332526,M
Dmitri,11.772046099332526,F
Sanchez,11.772046099332526,M
Mr. Harrie,11.772046099332526,M
Brian Cohn,11.772046099332526,M
Feldmans,9.41763687946602,?
Dr. Magnus Vanderveul,9.41763687946602,M
Ms. Pelleter,9.41763687946602,F
Letty Pomeroy,9.41763687946602,F
Mendes,9.41763687946602,?
Jesus,9.41763687946602,M
Joanne Morton,9.41763687946602,?
Mrs. Quigg,9.41763687946602,F
Mick Ostrovine,9.41763687946602,M
Mommy,9.41763687946602,F
Loyal Steward,8.240432269532768,?
Dr. Ava McClatchey,8.240432269532768,F
Charlie,8.240432269532768,M
Cameron,8.240432269532768,M
Stanleigh Belleveaux,8.240432269532768,?
Eccles Junior,8.240432269532768,M
Daddy,8.240432269532768,M
Britt,8.240432269532768,?
Dr. Angel,8.240432269532768,?
Jack,8.240432269532768,M
Sonny,5.886023049666263,?
Robertson,5.886023049666263,?
Pettigrew,5.886023049666263,?
DMV,5.886023049666263,?
Kim Novak,5.886023049666263,?
Doc,5.886023049666263,?
Gates,5.886023049666263,?
Judy Kantor,4.70881843973301,?
Mr. Cahane,4.70881843973301,M
Mr. Huggler,4.70881843973301,M
Sam,4.70881843973301,?
PCH,4.70881843973301,?
Munoz,4.70881843973301,M
Rosetta,4.70881843973301,?
Rubenfeld,4.70881843973301,?
C.I.,4.70881843973301,?
Miss Dorothy Band,4.70881843973301,F
Moses,3.5316138297997575,?
Eaton,3.5316138297997575,?
Jack Daniel,3.5316138297997575,M
Acura,3.5316138297997575,?
Alex Delaware,3.5316138297997575,?
Camerons,3.5316138297997575,?
Lucchese,3.5316138297997575,?
Starkweather,3.5316138297997575,?
Mr. Parnell,3.5316138297997575,?
Rick,3.5316138297997575,M
Bern Shacker,3.5316138297997575,?
University of Louvain,3.5316138297997575,?
Mr. Sloat,3.5316138297997575,?
Domenico Valli,2.354409219866505,?
Sally Ritter,2.354409219866505,?
Kenny,2.354409219866505,?
Lotta,2.354409219866505,?
Butler,2.354409219866505,?
Tarasoff,2.354409219866505,?
Meg,2.354409219866505,?
Grolsch,2.354409219866505,?
Mr. Veronese,2.354409219866505,?
Rosita,2.354409219866505,?
Bayview Surgical Group,2.354409219866505,?
A.C.,2.354409219866505,?
Anthony,2.354409219866505,?
Stan,2.354409219866505,?
gore,2.354409219866505,?
Lewis,2.354409219866505,?
LAPD,2.354409219866505,?
Louise,2.354409219866505,?
Amy,2.354409219866505,?
Coke,2.354409219866505,?
M. Keefer,2.354409219866505,?
Mahler,2.354409219866505,?
