NAME,# MENTIONS / 100K WORDS,GENDER
Sam,5205.127438969731,M
Diana,1093.6146054322169,F
Barret,948.69573012221,M
Leanne,802.2828457883886,F
Ruthie,475.0948695730122,F
Robbie,227.08937161980458,M
Jacob Kenneman,173.30504676248245,M
Tina,82.17049630979771,F
Jake,80.67648728598321,M
Quigley,73.20644216691069,M
Carla,70.21842411928168,F
James,46.31427973824962,M
Little Evie,44.82027071443512,F
Mr. Kenneman,19.42211730958855,M
Sammy,11.95207219051603,M
Francois,8.964054142887022,M
Samuel,7.470045119072519,M
Lyssa,5.976036095258015,?
Miss Barret,5.976036095258015,?
Kenneman Corporation,4.482027071443511,?
Miss Allen,2.9880180476290077,?
Wilshire Publications,2.9880180476290077,?
