NAME,# MENTIONS / 100K WORDS,GENDER
Marcus,1397.116848762379,M
Valerie,789.1431683542475,F
Dillon,665.7700814706961,M
Thad,484.6005935245801,M
Phoebe,434.5844772204377,F
Patrick,363.4504451434351,M
Tyler,271.19849729357236,M
Ellen,220.07091173822676,F
Yakov,210.06768847739826,F
Gabe,200.06446521656977,M
Jonas,187.83830345333496,M
Simon,138.93365640039568,M
Verne,83.36019384023741,M
CME,70.02256282579943,?
NASA,70.02256282579943,?
Green Bank,64.46521656978359,M
Savvy,63.35374731858043,?
Robin,56.68493181136144,M
Kayla,56.68493181136144,F
Felipe,45.570239299329785,M
Dino,43.347300796923456,M
Grandma,42.23583154572029,F
Reuben,41.12436229451712,M
Phil,40.01289304331396,M
Savannah Morgan,37.78995454090762,?
Lindsey,37.78995454090762,M
Ian,36.67848528970446,M
Irv,32.232608284891796,M
Anna,30.009669782485467,F
Val,28.898200531282303,F
Maria,28.898200531282303,F
Lincoln,27.786731280079138,M
White House,26.67526202887597,M
Stankiewicz,25.563792777672806,M
Bethany,25.563792777672806,F
CIA,24.45232352646964,?
Brianna,24.45232352646964,F
Gibson,23.340854275266476,M
Keith,21.117915772860144,M
Rodgers,20.00644652165698,M
Kendricks,17.783508019250647,?
Dad,16.672038768047482,M
Pavel,16.672038768047482,M
Tina,15.560569516844316,F
Olivia,15.560569516844316,F
Titan,15.560569516844316,?
GBT,14.449100265641151,?
OTEC,14.449100265641151,?
Blackwell,14.449100265641151,?
Jillian,14.449100265641151,F
HUD,13.337631014437985,?
NSA,13.337631014437985,?
Sean,13.337631014437985,M
Hsu,12.22616176323482,M
Psycho Cyborg,12.22616176323482,F
Eric,12.22616176323482,M
Charmaine,12.22616176323482,F
Roland Johnston,12.22616176323482,M
Isaac,12.22616176323482,M
Courtney,12.22616176323482,M
Darlene Stryker,11.114692512031654,F
Carlos,11.114692512031654,M
Aaron Friedman,11.114692512031654,M
Irina,10.00322326082849,F
Rob,10.00322326082849,M
FSB,10.00322326082849,?
Green Bank Telescope,10.00322326082849,M
TSA,8.891754009625323,?
Saturn,8.891754009625323,F
Gaia,8.891754009625323,?
Garcia,8.891754009625323,M
Tamara,7.780284758422158,F
Big Momma,7.780284758422158,?
Dr. Burkhalter,7.780284758422158,M
Dr. Clayburn,7.780284758422158,?
Brodsky,6.6688155072189925,M
Valentina,6.6688155072189925,F
Air Force,6.6688155072189925,?
NBT,6.6688155072189925,?
Khristenko,6.6688155072189925,?
Clarissa,5.557346256015827,F
SETA,5.557346256015827,?
Brad,5.557346256015827,?
Dmitrii Federovich,5.557346256015827,?
Walt,5.557346256015827,M
NRAO,5.557346256015827,?
EPA,4.445877004812662,?
Mr. Pope,4.445877004812662,M
Moynihan,4.445877004812662,?
Federal Security Service,4.445877004812662,?
McLean,4.445877004812662,?
Arkady Vasilyev,4.445877004812662,M
Aganga,4.445877004812662,?
Anatoly Vladimirovich,4.445877004812662,?
Smith,3.3344077536094963,?
Jacob,3.3344077536094963,?
Adriana,3.3344077536094963,?
Russo Venture Capital Partners,3.3344077536094963,?
James Bond,3.3344077536094963,M
Deborah,3.3344077536094963,F
State Department,3.3344077536094963,?
Navy,3.3344077536094963,?
FSO,3.3344077536094963,?
Chuck,3.3344077536094963,?
TLA,3.3344077536094963,?
Sokolov,3.3344077536094963,?
Irinushka,3.3344077536094963,?
Lisa,3.3344077536094963,?
Jorgenson Power Systems,2.222938502406331,?
Chicago Board of Trade Building,2.222938502406331,?
Venus,2.222938502406331,?
DirecTV,2.222938502406331,?
Ernesto Perez,2.222938502406331,?
Char,2.222938502406331,?
NIOC,2.222938502406331,?
Mr. Russo,2.222938502406331,?
National Radio Astronomy Observatory,2.222938502406331,?
FBI,2.222938502406331,?
Ralph,2.222938502406331,?
National Science Foundation,2.222938502406331,?
FAA,2.222938502406331,?
JPL,2.222938502406331,?
