NAME,# MENTIONS / 100K WORDS,GENDER
Alec,828.3139475893113,M
Fleur,663.204597234649,F
Reid,371.72663794932345,M
Miss Shanks,246.28042762399343,F
Joe,224.14286109599402,M
Hugh,183.55732246132843,M
Miss Lipscott,181.71252525066183,F
Miss Barclay,133.74779777332978,F
Miss Gilver,123.60141311466337,F
Miss Glennie,120.83421729866345,F
Mrs Lipscott,109.76543403466374,F
Sabbatina,105.1534410079972,M
Pearl,104.23104240266389,M
Miss Christopher,90.39506332266426,F
Dandy,87.62786750666433,M
Stella,85.78307029599772,F
Jeanne Beauclerc,83.01587447999779,F
St Columba,72.86948982133138,F
Lilah,69.17989539999816,F
Miss Beauclerc,68.25749679466485,F
Miss Blair,62.72310516266499,F
Rosa,56.266314925331834,M
Mrs Gilver,53.49911910933191,F
Mrs Brown,52.5767205039986,F
Turner,48.88712608266536,F
Anderson,47.04232887199875,M
Donald,47.04232887199875,M
Cissie,43.35273445066551,?
Charles,42.4303358453322,M
Betty Alder,40.58553863466558,F
Miss Taylor,37.818342818665656,F
Bell,36.89594421333235,F
Eileen,27.671958159999264,F
Katie,27.671958159999264,F
Mr Osborne,26.749559554665954,M
Mrs Aldo,25.827160949332644,F
Mrs Forrester,25.827160949332644,F
Pereford,25.827160949332644,?
Mr Aldo,25.827160949332644,M
Elf,24.904762343999337,?
Miss Brown,24.904762343999337,F
Giuseppe Aldo,23.982363738666027,M
Aye,23.059965133332717,?
Dan,23.059965133332717,M
Mademoiselle Beauclerc,22.13756652799941,?
Grant,22.13756652799941,M
Portpatrick,21.2151679226661,?
Sally,20.29276931733279,F
Signora Aldo,18.447972106666175,?
Ivy Shanks,16.603174895999558,?
Mrs Paterson,15.680776290666248,F
Lambourne,13.835979079999632,?
Daisy,13.835979079999632,F
Juliet,13.835979079999632,F
Pallister,12.913580474666322,M
Teddy,12.913580474666322,M
Fenella,10.146384658666395,M
Clothilde Simmons,10.146384658666395,M
Petra,10.146384658666395,F
George,10.146384658666395,M
Low Merrick Farm,10.146384658666395,M
Mr Donaldson,9.223986053333087,M
Mother,8.301587447999779,F
Milton,8.301587447999779,M
Johnny Lipscott,7.37918884266647,M
Tilly,6.456790237333161,F
Mr Simmons,6.456790237333161,M
Tam,6.456790237333161,M
Plowman,6.456790237333161,M
Enid,6.456790237333161,F
Mrs Tennant,5.534391631999853,F
Rex,5.534391631999853,M
Romeo,5.534391631999853,M
William,5.534391631999853,M
Maureen,5.534391631999853,F
Bunty,5.534391631999853,?
Nanny Palmer,5.534391631999853,?
Marion,4.611993026666544,F
Shakespeare,4.611993026666544,?
Silas Marner,4.611993026666544,?
Barbara,4.611993026666544,?
Hinckley,4.611993026666544,M
Bridge House,4.611993026666544,?
Rosie,4.611993026666544,F
Bligh,4.611993026666544,F
Beverley,4.611993026666544,F
Ophelia,3.689594421333235,F
St Leonards,3.689594421333235,?
Eliza McManus,3.689594421333235,?
Somerville College,3.689594421333235,?
Bessie,3.689594421333235,F
Christine,3.689594421333235,F
Mary,3.689594421333235,F
Rob Roy,2.7671958159999264,?
Patersons,2.7671958159999264,?
Dorothy,2.7671958159999264,?
Becky,2.7671958159999264,?
Tessie,1.8447972106666175,?
Lear,1.8447972106666175,?
Dunskey House,1.8447972106666175,?
Froebel,1.8447972106666175,?
Mrs Tully,1.8447972106666175,?
Mendeleev,1.8447972106666175,?
Edinburgh University,1.8447972106666175,?
Simmonses,1.8447972106666175,?
Dunkeld,1.8447972106666175,?
Mrs Simmons,1.8447972106666175,?
Corrie Dubh,1.8447972106666175,?
Miss Stanley,1.8447972106666175,?
Leigh Audubon,1.8447972106666175,?
Scott,1.8447972106666175,?
