NAME,# MENTIONS / 100K WORDS,GENDER
Alexandra,626.8506268506269,F
Victoria,622.1256221256222,F
Caroline,535.5005355005355,F
Brooke,285.0752850752851,F
Haley,225.22522522522522,?
Devon,223.65022365022364,F
Angela,206.32520632520632,F
Jane,192.15019215019214,F
Elise,182.7001827001827,F
Zoe,149.62514962514962,F
Twin Birch,110.25011025011025,?
Katie,42.52504252504252,F
Harry,29.925029925029925,M
Aaron,20.475020475020475,M
Ahmed,18.9000189000189,M
Alex,14.175014175014175,M
Penguin Books Ltd,11.025011025011025,?
Penguin Group,9.45000945000945,?
Ms. Philpott,9.45000945000945,F
Starbucks,7.875007875007875,?
Agnes,7.875007875007875,?
Jesus,7.875007875007875,?
IHOP,6.3000063000063,?
Google,4.725004725004725,?
USA -RRB- Inc.,3.15000315000315,?
Pellegrino,3.15000315000315,?
Grace Kelly,3.15000315000315,?
