NAME,# MENTIONS / 100K WORDS,GENDER
Ida,1082.545292141595,F
Lily,907.7846171770326,F
Bella,750.5000097089264,F
Elka,544.6707703062195,M
Nathan,386.41527019942134,M
Sol,300.00582535583214,M
Carrie,286.41332841414396,F
Nina,243.69405231169537,F
Sonya,148.54657371987807,F
Reuben,122.3324724751937,M
Jonathan,81.55498165012912,M
David,75.72962581797705,M
Jeffrey,64.07891415367288,M
Sophie,51.457309850676715,F
Joseph,50.4864172119847,M
Mr. C,36.89392027029651,M
Mrs. Schoenfeld,34.952134992912484,F
Mrs. Krakauer,34.952134992912484,F
Eva,33.010349715528456,F
Eisenberg,31.06856443814443,M
Boris,31.06856443814443,M
Ruthie,26.21410124468436,F
Andre,24.272315967300337,M
Anton,20.38874541253228,M
Zlotnik,20.38874541253228,F
Paul,19.41785277384027,M
Mira,19.41785277384027,F
Chuck,19.41785277384027,M
Sandra,17.476067496456242,F
Yanna Marissa,15.534282219072216,F
Yuri,15.534282219072216,M
Shirley,13.592496941688188,F
Chaim,12.621604302996175,?
Oscar,10.679819025612147,M
Ms. Eglitis,10.679819025612147,F
Mitchell,10.679819025612147,M
Naomi,9.708926386920135,F
Ruth,9.708926386920135,F
Arthur Krakauer,9.708926386920135,M
Theo,9.708926386920135,M
Sadie,9.708926386920135,F
Charles Blumenthal,9.708926386920135,M
Lottie,9.708926386920135,F
Joey,8.738033748228121,M
Levine,7.767141109536108,M
Richard,7.767141109536108,M
Mrs. Kramer,7.767141109536108,F
Mrs. Lazaar,6.796248470844094,F
Mitch,6.796248470844094,?
Sam,4.8544631934600675,?
Freddy,4.8544631934600675,M
Mr. Hausner,4.8544631934600675,M
Rosh Hashana,3.883570554768054,?
Mrs. Kaplan,3.883570554768054,F
Clark Street,3.883570554768054,?
Loffer,3.883570554768054,?
McGill,3.883570554768054,?
Melinda,2.9126779160760403,?
Helen,2.9126779160760403,?
Berdichev,2.9126779160760403,?
Mrs. Pozniak,2.9126779160760403,?
Hyman,2.9126779160760403,?
Eisenbergs,2.9126779160760403,?
Yad Vashem,2.9126779160760403,?
Green,2.9126779160760403,?
Grinstein,2.9126779160760403,?
Einstein,2.9126779160760403,?
Mr. Czernowitz,2.9126779160760403,M
L. Kramer,1.941785277384027,?
Beethoven,1.941785277384027,?
Rehov Hayarkon,1.941785277384027,?
Ayelet,1.941785277384027,?
Jasper,1.941785277384027,?
Elizabeth,1.941785277384027,?
Ezra,1.941785277384027,?
Artie Shaw,1.941785277384027,?
Lena,1.941785277384027,?
Danton,1.941785277384027,?
Duke Ellington,1.941785277384027,?
Brahms,1.941785277384027,?
Murray,1.941785277384027,?
Birks,1.941785277384027,?
Mr. Eglitis,1.941785277384027,?
Month Club,1.941785277384027,?
Babye Leto,1.941785277384027,?
Joyce,1.941785277384027,?
