NAME,# MENTIONS / 100K WORDS,GENDER
Wahram,900.2368408332931,M
Swan,851.297791096718,M
Pauline,415.67982986127896,F
Kiran,277.9254676398086,M
Venus,214.4859587220262,F
Genette,167.35946638310213,F
Alex,123.85808883947992,M
Mercury House,70.6897385083861,?
Wang,70.08555270916912,M
Beethoven,57.397650925612645,M
Mqaret,57.397650925612645,F
Lakshmi,55.58509352796172,F
Saturn,54.98090772874475,?
Zasha,48.939049736574994,F
Shukra,36.25114795301851,M
Dawn Wall,30.813475760065735,F
Mondragon,27.188360964763884,F
Interplan,19.333945574943208,F
Jupiter,16.917202378075306,?
Vinmara,16.31301657885833,F
Cleopatra,15.10464498042438,F
Luna,13.89627338199043,M
Kris,12.687901783556478,F
Vesta,12.687901783556478,F
Colette,12.687901783556478,?
Leda,12.083715984339504,F
Ives,10.875344385905553,M
Charon,9.062786988254627,F
Pandora,8.458601189037653,F
Saturn League,7.250229590603703,?
Callisto,6.646043791386727,?
Wegener,6.646043791386727,?
Nar,6.041857992169752,F
Kexue,5.4376721929527765,?
Tron,5.4376721929527765,?
Yggdrasil,5.4376721929527765,?
Mercurials,4.833486393735802,?
Dana,4.833486393735802,F
Zaofan,4.833486393735802,?
Dione,4.833486393735802,?
Orion,4.2293005945188265,M
Andromeda,4.2293005945188265,?
Shortback,4.2293005945188265,F
Mozart,4.2293005945188265,M
Gandhi,4.2293005945188265,F
Nix,3.6251147953018514,?
Krishna,3.020928996084876,M
Triton,3.020928996084876,?
Kali,3.020928996084876,F
Cassini Regio,3.020928996084876,?
Brahms,3.020928996084876,?
Socrates,2.416743196867901,M
Robin,2.416743196867901,?
Tchaikovsky,2.416743196867901,M
Proust,2.416743196867901,M
Pierre,2.416743196867901,M
Joyce,2.416743196867901,M
Leonard,1.8125573976509257,M
Debussy,1.8125573976509257,?
Aristotle,1.8125573976509257,?
Zephyr,1.8125573976509257,?
Tritons,1.8125573976509257,?
Phoebe,1.8125573976509257,?
Gulliver,1.8125573976509257,?
Bach,1.8125573976509257,?
Homo,1.8125573976509257,?
Moldava,1.8125573976509257,?
Diana,1.8125573976509257,?
Schubert,1.8125573976509257,?
Rilke,1.8125573976509257,?
Michelangelo,1.8125573976509257,?
UN,1.8125573976509257,?
Mahler,1.8125573976509257,?
Mimas,1.8125573976509257,?
Kenk,1.2083715984339505,?
Emily Dickinson,1.2083715984339505,?
Jacob,1.2083715984339505,?
Shor,1.2083715984339505,?
Wagner,1.2083715984339505,?
Vishnu,1.2083715984339505,?
Gini,1.2083715984339505,?
Janus,1.2083715984339505,?
Aldrin,1.2083715984339505,?
Ferrer-i-Carbonell,1.2083715984339505,?
Interplanetary Police,1.2083715984339505,?
Rama,1.2083715984339505,?
Von Neumann,1.2083715984339505,?
Grover,1.2083715984339505,?
