NAME,# MENTIONS / 100K WORDS,GENDER
Decker,1333.3502165269583,M
Sadiq,919.2898928761365,M
Tatiana,878.7702281763618,F
Mangle,831.9193658672474,?
Tazeem,673.6394256337529,F
Steiger,267.17653911413885,M
Mohammed,216.52695823942057,M
Latif,154.4812216678907,M
Bryson,138.02010788360727,M
Benjamin,115.22779648998404,M
Natalia,97.50044318383266,F
Laura,94.96796414009674,F
Danny,89.90300605262492,M
Ermina,84.8380479651531,F
Vicky,83.57180844328514,F
Jupiter,79.77308987768126,F
Tony,74.70813179020944,M
Ted,72.17565274647352,M
Les,67.1106946590017,M
Brian,59.51325752779396,M
Alf,56.98077848405804,M
Mr Kang,48.11710183098235,M
Nicholas,45.58462278724644,M
John,44.31838326537848,M
The Club,37.9871856560387,?
Gary,34.18846709043483,M
Ross,29.123509002963,M
Raymond,29.123509002963,M
Mr Petrov,25.32479043735913,M
Dr Chu,25.32479043735913,M
Polina,21.52607187175526,?
Dodge,20.259832349887304,M
Alex,20.259832349887304,M
Aston Martin,20.259832349887304,M
Mr Garrett,20.259832349887304,M
Sam,18.99359282801935,M
Becks,17.727353306151393,M
Sasha,17.727353306151393,M
Becky,17.727353306151393,F
Nick,17.727353306151393,M
Jim,15.194874262415478,M
Tom,13.928634740547523,M
Mrs Altrecht,12.662395218679565,F
Omar,12.662395218679565,M
Tracey,12.662395218679565,F
Derek,11.39615569681161,M
Mr Steiger,11.39615569681161,M
Carson Keaton,10.129916174943652,?
Annabelle,8.863676653075697,F
Murkov,8.863676653075697,?
Nissan,8.863676653075697,?
Ethel,8.863676653075697,F
Volkswagen,7.597437131207739,?
Mavis,7.597437131207739,F
Eric Lowell,7.597437131207739,M
Kasey Haugh,7.597437131207739,?
Mr Lowell,7.597437131207739,M
Jesus,7.597437131207739,M
Lawrence,6.331197609339783,M
Jacob,6.331197609339783,M
Arthur,6.331197609339783,M
Taser,6.331197609339783,?
Taz,6.331197609339783,?
Aina,5.064958087471826,F
Ben,5.064958087471826,M
Mr Patel,5.064958087471826,M
Mailsi,3.7987185656038696,?
Edward Cider-Hands,2.532479043735913,?
Ford,2.532479043735913,?
Harley,2.532479043735913,?
Bentley,2.532479043735913,?
Eski,2.532479043735913,?
