NAME,# MENTIONS / 100K WORDS,GENDER
Eleanor,5759.003191004406,F
Park,1281.4668490097756,M
Richie,676.1890290229449,M
Steve,545.7630552600922,M
Josh,488.7808337132148,M
Tina,339.36078610140305,F
Jesus,316.5678974826521,M
Mr. Stessman,155.75140556146482,M
Ben,150.68631920174238,M
Maisie,105.10054196424049,?
Donna,69.64493744618346,F
DeNice,60.7810363166692,F
Cal,59.51476472673859,?
Mrs. Dunne,51.91713518715494,F
Tom Selleck,49.384592007293726,M
Kim,48.118320417363115,M
Mouse,48.118320417363115,?
Gil,43.05323405764068,M
Beebi,40.520690877779465,?
Dad,26.591703388542776,?
Mrs. Burt,25.325431798612165,F
Juliet,21.52661702882034,F
Mikey,18.994073848959125,M
Mindy,18.994073848959125,F
Impala,18.994073848959125,?
Elvis Costello,15.1952590791673,M
Paul,13.928987489236691,M
Romeo,12.662715899306082,M
Geoff,12.662715899306082,M
Eric,11.396444309375475,M
Robert Smith,10.130172719444866,M
David Carradine,8.863901129514257,M
Big Red,8.863901129514257,?
Batman,8.863901129514257,?
Grinch,8.863901129514257,M
Tammy,8.863901129514257,F
Shakespeare,7.59762953958365,M
Jamie,6.331357949653041,M
Nintendo,6.331357949653041,?
Sabrina,6.331357949653041,F
Susan,6.331357949653041,F
Mrs. Sheridan,6.331357949653041,?
Tonya,5.065086359722433,F
Annette,5.065086359722433,?
Rainbow Rowell,5.065086359722433,?
Coke,5.065086359722433,?
Clint Eastwood,5.065086359722433,M
Matt,3.798814769791825,?
Alan Moore,3.798814769791825,?
Mr. Hickman,3.798814769791825,M
Mr. Sheridan,3.798814769791825,?
Billy Jack,3.798814769791825,M
Bruce Lee,3.798814769791825,?
MTV,3.798814769791825,?
Jonesy,3.798814769791825,?
Eileen,3.798814769791825,?
Bobbie,3.798814769791825,F
Karmann Ghia,2.5325431798612166,?
St. Martin 's Press,2.5325431798612166,?
Ken,2.5325431798612166,?
Lena,2.5325431798612166,?
Tracy,2.5325431798612166,?
Des Moines,2.5325431798612166,?
Harold,2.5325431798612166,?
Dani,2.5325431798612166,?
Geoffrey,2.5325431798612166,?
Mrs. Hickman,2.5325431798612166,?
Ophelia,2.5325431798612166,?
