NAME,# MENTIONS / 100K WORDS,GENDER
Bernadette,849.5660448745142,F
Dad,332.48873551094346,M
Bee,257.96539824124926,?
Audrey Griffin,223.57001180908267,F
Elgie,213.2513958794327,M
Kyle,120.38385251258298,M
Mr. Branch,108.91872370186078,M
Soo-Lin,87.13497896148863,?
Kennedy,82.54892743719975,M
Microsoft,76.81636303183866,?
DR. KURTZ,75.66985015076645,M
Galer Street School,75.66985015076645,?
Manjula,69.93728574540535,F
Elgin,69.93728574540535,?
PAUL JELLINEK,61.91169557789982,M
Samantha,60.7651826968276,F
Sarah,59.61866981575538,F
Mr. Koenig,57.325644053610944,M
Choate,52.73959252932207,M
Gwen Goodyear,50.44656676717763,F
Nick,49.30005388610541,M
Becky,48.15354100503319,F
Ms. Griffin,47.00702812396097,F
Van,41.274463718599876,M
Mr. Levy,36.688412194311006,M
Warren,35.54189931323879,M
Strang,35.54189931323879,M
Nigel Mills-Murray,35.54189931323879,M
Palmer,35.54189931323879,?
Twenty Mile House,33.24887355109435,?
Ms. Fox,32.10236067002213,F
Ellen,28.662822026805472,F
Zodiac,26.369796264661034,?
Lincoln,26.369796264661034,M
Allegra,24.076770502516595,F
DRISCOLL,24.076770502516595,M
Charlie,24.076770502516595,M
Jesus,22.930257621444376,?
Port Lockroy,22.930257621444376,?
Mr. Kangana,22.930257621444376,M
Madrona Hill,22.930257621444376,M
Dale Chihuly,22.930257621444376,M
Pablo,22.930257621444376,M
FBI,21.783744740372157,?
Barry,19.490718978227722,M
Beeber Bifocal,17.197693216083284,?
Michael Jackson,17.197693216083284,M
Bill Gates,17.197693216083284,M
Dr. Neergaard,16.051180335011065,?
John,16.051180335011065,M
Tom,16.051180335011065,M
Mrs. Webb,14.904667453938846,F
Alexandra,14.904667453938846,F
DAVID WALKER,14.904667453938846,?
Youth Group,14.904667453938846,?
Getty,13.758154572866626,?
Vivian,13.758154572866626,M
Westin,13.758154572866626,?
Ryan,13.758154572866626,M
Frank,12.611641691794407,M
Marla,12.611641691794407,F
Morrissey,12.611641691794407,M
MacArthur,12.611641691794407,?
Emily,12.611641691794407,?
Al Gore,11.465128810722188,M
Iris,11.465128810722188,F
Ms. Lee-Segal,11.465128810722188,F
Daniel,10.318615929649969,?
Shackleton Lounge,10.318615929649969,M
Shakespeare,10.318615929649969,M
Chris,10.318615929649969,M
Harmsen & Heath,9.172103048577751,?
Anne,9.172103048577751,?
Hannah Dillard,9.172103048577751,F
Ms. Goodyear,9.172103048577751,F
Princeton,9.172103048577751,?
Pernadette,9.172103048577751,F
Mae,9.172103048577751,F
Paul Allen,9.172103048577751,M
Mr. Rogers,8.025590167505532,M
Pogue,8.025590167505532,M
JUDY,8.025590167505532,F
Laurence M. Gould,8.025590167505532,?
Luke,8.025590167505532,M
Scott,8.025590167505532,M
Maura,6.879077286433313,F
Karen,6.879077286433313,F
ELLIE SAITO,5.732564405361094,?
Ms. Loundes,5.732564405361094,F
Steven Koenig,5.732564405361094,M
Amundsen,5.732564405361094,M
Eduardo,5.732564405361094,?
Altdorf,5.732564405361094,?
Elliott Bay,5.732564405361094,?
Seahawks,5.732564405361094,F
George,5.732564405361094,?
Doug,4.586051524288876,M
Redmond,4.586051524288876,?
Jacob,4.586051524288876,?
Krishna,4.586051524288876,M
Ringo,4.586051524288876,?
Mr. Jessup,4.586051524288876,?
Michael Graves,4.586051524288876,M
Aldrin,4.586051524288876,?
Hillary Loundes,4.586051524288876,?
Washington State,4.586051524288876,?
Bing,4.586051524288876,?
Bruce Jessup,4.586051524288876,?
Adela,4.586051524288876,?
USC,4.586051524288876,?
Lorenzo,3.4395386432166566,?
Starbucks,3.4395386432166566,?
Walter Reed,3.4395386432166566,?
Joseph,3.4395386432166566,?
Mary,3.4395386432166566,?
Rockettes,3.4395386432166566,?
Dave,3.4395386432166566,M
Green Builders of America,3.4395386432166566,?
Costco,3.4395386432166566,?
Watts Towers,3.4395386432166566,?
Mr. Griffin,3.4395386432166566,?
Dr. Mink,3.4395386432166566,?
Kubrick,3.4395386432166566,?
Duke,3.4395386432166566,?
Straight Gate School for Girls,3.4395386432166566,?
Delhi Virtual Assistants International,3.4395386432166566,?
Ted,3.4395386432166566,M
Helen Derwood,3.4395386432166566,?
Google,3.4395386432166566,?
WARREN GRIFFIN,3.4395386432166566,?
Catholic,2.293025762144438,?
Brown,2.293025762144438,?
YouTube,2.293025762144438,?
Mr. Mustard,2.293025762144438,?
Prince,2.293025762144438,?
Kevin,2.293025762144438,?
Yoko Ono,2.293025762144438,?
Phil Bradstock,2.293025762144438,?
Elijah Harmsen,2.293025762144438,?
Joyce,2.293025762144438,?
Washington Athletic Club,2.293025762144438,?
NASA,2.293025762144438,?
Bruce Springsteen,2.293025762144438,?
Bala,2.293025762144438,?
Jacko,2.293025762144438,?
Polly,2.293025762144438,?
Louis Kahn,2.293025762144438,?
Richard Meier,2.293025762144438,?
Maddie,2.293025762144438,?
LAKERS,2.293025762144438,?
AIA,2.293025762144438,?
Tonya Woods,2.293025762144438,?
Ivy League,2.293025762144438,?
Cinnabon,2.293025762144438,?
Turner Foundation,2.293025762144438,?
