NAME,# MENTIONS / 100K WORDS,GENDER
Tom,2364.3936458736925,M
Isabel,867.8806664083688,F
Hannah,853.3514141805501,F
Lucy,809.7636574970942,F
Ralph,246.99728787291747,M
Septimus,215.03293297171638,M
Gwen,179.19411080976366,F
Frank,155.94730724525377,M
Grace,144.32390546299885,F
Knuckey,144.32390546299885,M
Bill,129.79465323518016,M
Janus,127.85741960480433,M
Partageuse,80.39519566059667,?
Bluey,80.39519566059667,?
God,72.64626113909337,M
Garstone,62.96009298721426,M
Spragg,55.211158465710966,M
Mamma,53.273924835335144,?
Izzy,49.399457574583494,M
Mrs. Sherbourne,45.52499031383185,F
Izz,45.52499031383185,M
Hilda,45.52499031383185,F
Lulu,37.776055792328556,F
Hugh,27.121270825261526,M
Sarah,26.152654010073615,F
Christ,26.152654010073615,M
Docherty,25.184037194885704,M
Mrs. Mewett,24.215420379697793,F
Hasluck,22.278186749321968,F
Whittnish,21.309569934134057,M
Lynch,21.309569934134057,M
Mrs. Roennfeldt,17.43510267338241,F
Fitzgerald,16.4664858581945,M
bush,15.497869043006586,M
Cecil,14.529252227818676,M
Mr. Sherbourne,14.529252227818676,M
Mouchemore,12.592018597442852,M
Billy,12.592018597442852,M
Tabatha Tabby,12.592018597442852,F
Mrs. Inkpen,12.592018597442852,F
Alfie,11.62340178225494,M
Graysmarks,11.62340178225494,?
darl,10.654784967067028,?
Commonwealth,10.654784967067028,?
Luce,10.654784967067028,M
Norkells,9.686168151879116,?
Cyril Chipper,9.686168151879116,M
Lucy-Grace,9.686168151879116,?
Fred,8.717551336691205,M
Michael,8.717551336691205,M
Ellen,8.717551336691205,F
Joe Rafferty,8.717551336691205,M
Hanny,8.717551336691205,?
Dr. Sumpton,7.748934521503293,?
Isabel Graysmark,7.748934521503293,F
Mrs. Graysmark,7.748934521503293,F
Violet Graysmark,7.748934521503293,F
Kitty Kelly,7.748934521503293,?
Fanny Darnley,7.748934521503293,F
Miss Muffet,6.780317706315381,F
Maisie,6.780317706315381,?
Jesus,6.780317706315381,?
Thomas Edward Sherbourne,6.780317706315381,?
Hannah Potts,5.81170089112747,?
Fritz,5.81170089112747,?
Military Cross,5.81170089112747,M
Auntie Gwen,4.843084075939558,F
Sydney University,4.843084075939558,F
Flossie,4.843084075939558,?
Arabella,4.843084075939558,?
Bermondsey,4.843084075939558,?
Vi,4.843084075939558,?
Mr. Roennfeldt,4.843084075939558,M
Christopher,3.8744672607516466,M
Zebedee,3.8744672607516466,?
Mr. Graysmark,3.8744672607516466,?
Southern Ocean,3.8744672607516466,?
Gutcher,3.8744672607516466,?
Walt,3.8744672607516466,?
Windward Spirit,3.8744672607516466,?
Dolly,3.8744672607516466,F
Brown,2.905850445563735,M
Jeremiah Smart,2.905850445563735,M
Morse,2.905850445563735,?
Mr. Potts,2.905850445563735,M
Struth,2.905850445563735,?
Byron Bay,2.905850445563735,?
Strugnell,2.905850445563735,?
Freda,2.905850445563735,?
Daddy,2.905850445563735,?
Wilf,2.905850445563735,M
Alf,2.905850445563735,?
Kindlein,2.905850445563735,?
Pete,1.9372336303758233,?
Mr. Chipper,1.9372336303758233,?
A. H. Graysmark,1.9372336303758233,?
Adam,1.9372336303758233,?
Moore,1.9372336303758233,?
Betsy Parmenter,1.9372336303758233,?
Bach,1.9372336303758233,?
Mr. Knuckey,1.9372336303758233,?
Miss Potts,1.9372336303758233,?
St. Jude,1.9372336303758233,?
Esquire,1.9372336303758233,?
AIF,1.9372336303758233,?
Abraham,1.9372336303758233,?
Dr. Griffiths,1.9372336303758233,?
Bertha,1.9372336303758233,?
Miss McPhee,1.9372336303758233,?
Booey,1.9372336303758233,?
Irene,1.9372336303758233,?
