NAME,# MENTIONS / 100K WORDS,GENDER
Saul,1740.6048118816132,M
Alex,701.1067470793181,M
Clay,562.3162277595347,M
Hannah,487.19764771532203,F
Bartholomew,275.4347934954464,M
Galahad,258.2648323424835,F
Calder,223.92491003655772,M
Var,182.43083725023072,F
Ghort,157.3913105688265,F
Le Roque,96.58103148541626,M
Argus,94.4347863412959,F
Gene Bank,87.99605090893482,M
Rhine,82.27273052461385,M
Rhone,80.84190042853362,M
Scotonis,79.41107033245338,?
Sack,68.67984461185156,?
Elkin,64.38735432361084,F
Messina,62.9565242275306,M
Grieve,53.65612860300904,M
Cookson,45.78656307456771,M
Paul,43.64031793044735,M
Inspectorate,42.92490288240723,?
Langstrom,42.20948783436711,?
Da Vinci,39.347827642206624,F
EVA,35.0553373539659,F
Gladys,34.33992230592578,F
Jupiter,28.61660192160482,?
Vaughan,27.18577182552458,M
Brigitta,26.470356777484458,F
Committee,25.039526681404215,?
Akenon,22.893281537283855,?
Gilder Main,22.177866489243733,M
Marsin,21.462451441203616,?
Myers,21.462451441203616,M
Angela,19.31620629708325,F
Oerlon,16.45454610492277,?
Chris,16.45454610492277,M
Antares Base,15.73913105688265,F
Alcubierre,15.73913105688265,?
Martinez,15.02371600884253,M
Christopher,14.30830096080241,M
Judd,14.30830096080241,M
Jepson,14.30830096080241,M
Raiman,13.59288591276229,?
Alex.,12.877470864722168,?
Varalia Delex,12.162055816682049,F
Salem Smith,9.300395624521567,M
Ricard,7.869565528441325,M
Carol Eisen,7.154150480401205,F
Enrico Fermi,6.438735432361084,M
Jean-Pierre,5.723320384320964,M
Moon,5.007905336280843,?
Liang,5.007905336280843,M
Pike,5.007905336280843,M
Shankil,3.5770752402006023,?
Manuel,3.5770752402006023,M
David,3.5770752402006023,M
Geiger,2.861660192160482,?
Scarrow,2.1462451441203614,?
Colson,2.1462451441203614,?
Lopomac,2.1462451441203614,?
European Alliance,1.430830096080241,?
Janus,1.430830096080241,?
Aldeburgh Complex,1.430830096080241,?
