NAME,# MENTIONS / 100K WORDS,GENDER
Michelle,1875.9880259661634,F
Sean,1717.0629982173489,M
Tyler,1612.7947260435235,M
Grant,661.7671790387138,M
MICHELLE DROPPED TYLER,465.0028589687532,?
Dana,348.12148935454576,F
Edgar,262.35242675994755,M
Kathy,243.85321718072046,F
Sam Wingo,214.42265648649558,M
Marshall,112.67700380074669,M
McKinney,108.47263798728599,M
Littlefield,97.54128687228818,M
Army,82.40556994382968,?
Jean,75.67858464229256,M
Curtis,70.63334566613972,M
Abrams,67.26985301537115,M
Cole,64.74723352729474,M
Simons,57.179375063065486,M
Jenkins,53.81588241229693,M
Carlton,51.293262924220514,M
Pentagon,46.248023948067676,?
Adeel,43.72540445999125,M
Secret Service,33.63492650768558,?
CIA,28.589687531532743,?
FBI,27.748814368840605,?
Heron Air Service,25.226194880764186,?
Leslie,23.544448555379905,F
Vista Trading Group,23.544448555379905,?
Jack,18.49920957922707,M
Jean Shepherd,17.65833641653493,M
White House,16.81746325384279,M
DHS,16.81746325384279,?
Melton,16.81746325384279,M
Pratt,14.294843765766371,M
Franklin Grant,12.613097440382093,M
Peter Bunting,11.772224277689952,M
DIA,11.772224277689952,?
Leon,11.772224277689952,M
Mr. King,10.931351114997813,M
Wingos,10.931351114997813,?
Jones,10.931351114997813,M
KIA,10.931351114997813,F
Ms. Maxwell,10.931351114997813,?
Mary Hesse,10.090477952305674,M
DTI,9.249604789613535,?
Mr. Wingo,9.249604789613535,M
Langley,9.249604789613535,M
Maggie,9.249604789613535,F
Feds,8.408731626921394,?
Mauser,6.726985301537116,M
Mr. President,5.886112138844976,?
Dobbers,5.045238976152837,?
Bureau,5.045238976152837,?
Starbucks,5.045238976152837,?
Mr. Bunting,5.045238976152837,M
Taliban,4.204365813460697,?
Billy,4.204365813460697,?
Reagan,4.204365813460697,M
DMV,3.363492650768558,?
Manuel Noriega,3.363492650768558,M
Congress,3.363492650768558,?
LLC,2.5226194880764186,?
National Security Council,1.681746325384279,?
CBP,1.681746325384279,?
NBA,1.681746325384279,?
Mrs. Wingo,1.681746325384279,?
Roger,1.681746325384279,?
Saddam Hussein,1.681746325384279,?
