NAME,# MENTIONS / 100K WORDS,GENDER
Yuri,1504.3070243014217,M
Beth,406.190909727572,F
Mardina,368.3731353736256,M
Stef,351.56523566076055,F
Penny,237.4115834442188,M
Angelia,194.69150500735347,F
Liu,180.68492191329926,M
King,172.28097205686672,M
McGregor,169.4796554380559,M
Earthshine,119.05595629946075,F
Tollemache,113.45332306183906,M
Per Ardua,109.95167728832551,M
Proxima,100.84739827719028,?
UN,96.64542334897402,F
Jiang,94.54443588486589,M
Hatch,88.9418026472442,M
ISF,76.33587786259542,?
Lemmy,73.53456124378458,M
Delga,71.43357377967645,?
Trant,71.43357377967645,F
Klein,53.92534491210869,M
Mattock,51.12402829329785,M
Dexter Cole,51.12402829329785,M
Martha,42.72007843686533,F
Abbey Brandenstein,42.019749282162614,F
John,39.21843266335178,M
Astra,37.11744519924365,?
Jenny,36.41711604454093,F
Rob,33.615799425730096,M
Dorothy,33.615799425730096,F
Onizuka,32.91547027102738,?
Anna,32.21514111632467,F
Prox,31.514811961621962,?
Matt,26.612507878702992,M
Harry Thorne,24.51152041459486,M
UEI,21.009874641081307,?
Brady,18.208558022270466,M
Dad,16.807899712865048,M
Shen,16.807899712865048,F
Pearl Hanks,16.107570558162337,M
Dr. Kalinski,16.107570558162337,?
Stephanie,14.706912248756916,F
Laughlin,12.605924784648785,M
Freddie,12.605924784648785,M
Keller,8.403949856432524,?
Joseph Mullane,6.3029623923243925,M
Andrei Allen,6.3029623923243925,F
Dr. Poinar,5.602633237621682,?
George,4.902304082918972,M
Angleterre,4.201974928216262,?
Bob Develin,4.201974928216262,M
Wei Ling,4.201974928216262,?
Yeats,4.201974928216262,?
Roland,3.5016457735135513,M
Gaia,3.5016457735135513,?
Penelope Dianne,3.5016457735135513,F
Venus,3.5016457735135513,?
Frieda,2.801316618810841,F
Mr. Eden,2.801316618810841,?
Jesus,2.801316618810841,?
"Universal Engineering , Inc.",2.100987464108131,?
Armstrong,2.100987464108131,?
International Space Fleet,2.100987464108131,?
USNA,2.100987464108131,?
Jupiter,2.100987464108131,?
Ms. Eden Jones,2.100987464108131,?
Einstein,2.100987464108131,?
Nancy Stiles,1.4006583094054206,?
Robert Braemann,1.4006583094054206,?
Briggs,1.4006583094054206,?
Stephanie Karen,1.4006583094054206,?
Mao,1.4006583094054206,?
Adam,1.4006583094054206,?
Jacob Keller,1.4006583094054206,?
Ifa,1.4006583094054206,?
