NAME,# MENTIONS / 100K WORDS,GENDER
Darrel,1163.5017954306682,M
Maria,523.7326141156916,F
Mother,501.779750050962,F
Rupert Gillis,308.90815862512346,M
Judith,225.8008875229329,F
Lottie,217.9605789283866,F
Alderman Brown,180.32709767456447,M
Lucas,174.05485079892745,M
Leon,153.6700484531071,M
Abijah Pratt,144.26167813965156,M
Frye,114.46850548037571,M
Horace Bron,106.62819688582942,M
Phantom,103.49207344801091,?
Goody Pruett,101.92401172910166,M
Eunice Robinson,61.15440703746099,F
Jip,53.31409844291471,?
Roswell Station,47.04185156727769,?
Ezra Whiting,42.33766641054992,M
Mr. Whiting,37.63348125382215,M
Melvin Brands,32.92929609709438,M
Mr. Gillis,32.92929609709438,M
Judy,28.225110940366612,F
William Salt,25.0889875025481,M
Preacher Frye,23.520925783638845,M
Abigail Pawling,21.95286406472959,M
Mrs. Robinson,17.248678908001818,F
Mr. Robinson,15.680617189092562,M
Tobias Salt,12.54449375127405,M
Clyde Aldrus,12.54449375127405,M
Babylon,12.54449375127405,?
Mrs. Johnson,12.54449375127405,F
Mr. Johnson,12.54449375127405,M
Abe Duddy,12.54449375127405,M
Master Finch,7.840308594546281,?
Julie Berry,7.840308594546281,?
XXIII,6.272246875637025,?
Marshall Dabney,6.272246875637025,M
Jesus,6.272246875637025,M
VIII,6.272246875637025,?
Penguin Group,4.704185156727768,?
Charlotte Pratt,4.704185156727768,?
Jove,4.704185156727768,?
LVI,4.704185156727768,?
Mrs. Finch,4.704185156727768,?
Nott,3.1361234378185125,?
LXXI,3.1361234378185125,?
USA -RRB- Inc.,3.1361234378185125,?
Alderman Stevens,3.1361234378185125,?
Rupertt Gilliss,3.1361234378185125,?
Hoss,3.1361234378185125,?
Phil,3.1361234378185125,?
Toby,3.1361234378185125,?
