NAME,# MENTIONS / 100K WORDS,GENDER
Harper,1442.466117459474,M
Kirby,844.0074408716449,M
Dan,671.8044113739038,M
Rachel,486.845601913367,F
Alice,216.8482593675259,F
Etta,196.65160775976614,F
Stewart,169.01408450704224,F
Catherine,143.50252458145096,F
Molly,112.67605633802818,F
Harrison,103.10922136593143,M
Bartek,98.85729471166623,M
Margot,93.5423863938347,F
Julia,91.4164230667021,F
Chet,83.97555142173798,M
Joey,77.59766144034016,M
Fred,64.84188147754452,M
Miss Klara,64.84188147754452,F
Victoria,63.77889981397821,F
Everett,52.08610151474887,M
Jesus,43.582248206218445,M
House,39.330321551953226,?
Kevin,30.826468243422802,M
Luella,30.826468243422802,F
Jane,27.63752325272389,F
Willie,27.63752325272389,M
Mal,27.63752325272389,?
Jamel,24.44857826202498,M
Eva,24.44857826202498,F
Zora,24.44857826202498,F
Sebastian,23.385596598458676,M
Amato,22.322614934892375,M
Mr. Prospect,20.196651607759765,M
Sun-Times,19.133669944193464,?
George,19.133669944193464,M
Jemmie,18.07068828062716,?
Mike,18.07068828062716,M
Glenda,18.07068828062716,F
Blanche,17.007706617060855,F
Mr. Brown,15.944724953494552,M
Charmaine,15.944724953494552,F
Diggs,14.881743289928249,M
Vivian,13.818761626361946,M
Klayton,13.818761626361946,?
Martin,12.755779962795641,M
Jin-Sook,11.692798299229338,?
Peter Collier,11.692798299229338,M
Sammy Sosa,11.692798299229338,M
Huxley,10.629816635663035,M
Toneel Roberts,9.566834972096732,M
Cubs,9.566834972096732,?
Aunt Patty,8.503853308530427,F
Greg Maddux,8.503853308530427,M
Harry,8.503853308530427,M
Michael Williams,7.440871644964124,M
Omma,7.440871644964124,?
Tribune,7.440871644964124,?
Beatriz,6.3778899813978205,F
Janis Joplin,6.3778899813978205,?
Micky,6.3778899813978205,?
Rob,6.3778899813978205,M
Abe,6.3778899813978205,M
Nella,5.3149083178315175,F
Cabrini,5.3149083178315175,?
Ferris,5.3149083178315175,M
Grebe,5.3149083178315175,?
Coke,5.3149083178315175,?
Mr. Partridge,4.251926654265214,M
Lefebvre,4.251926654265214,M
Congress Hotel,4.251926654265214,?
Anwar,4.251926654265214,?
Shante,4.251926654265214,F
Malcolm,4.251926654265214,M
Mr. Curtis,3.1889449906989102,?
Ms. Mazrachi,3.1889449906989102,?
Bobby,3.1889449906989102,?
Robin,3.1889449906989102,?
De-Light,3.1889449906989102,?
Richie,3.1889449906989102,?
Emma,3.1889449906989102,F
Crake & Mendelson,3.1889449906989102,?
Jackie Robinson,3.1889449906989102,?
Pete,2.125963327132607,?
Chicago Dentistry Society,2.125963327132607,?
NYU,2.125963327132607,?
Joe,2.125963327132607,?
Milkwood Pharmaceuticals,2.125963327132607,?
Mme Galli,2.125963327132607,?
Lori Star,2.125963327132607,?
Chetty,2.125963327132607,?
Atex,2.125963327132607,?
Mad Dog Maddux,2.125963327132607,?
Brooklyn Dodgers,2.125963327132607,?
CIA,2.125963327132607,?
Chicago Housing Authority,2.125963327132607,?
