NAME,# MENTIONS / 100K WORDS,GENDER
Langdon,2981.0135044792087,M
Sienna,962.0270089584169,M
Sinskey,665.8644203770558,F
Zobrist,371.0389089450461,M
Dante,258.0558898248429,M
Marta,206.57841957480946,F
Brüder,148.41556357801846,?
Knowlton,100.28078620136382,M
Ferris,99.61224762668806,M
Vayentha,92.92686187993047,F
Mark,71.53362749030619,M
Ernesto,66.85385746757588,M
Vasari,61.50554887016981,M
Ignazio,50.14039310068191,?
Mirsat,42.1179302045728,?
Botticelli,38.10669875651825,F
WHO,35.43254445781522,?
Maurizio,34.0954673084637,M
Dandolo,33.42692873378794,M
Sophia,29.415697285733387,F
SRS,22.06177296430004,?
Dr. Marconi,21.393234389624283,?
World Health Organization,20.72469581494852,F
Medici,20.72469581494852,M
Beatrice,20.72469581494852,F
Lucia,18.719080090921246,M
Ettore,18.050541516245488,?
Michelangelo,18.050541516245488,M
Mr. Langdon,16.71346436689397,M
Ms. Brooks,16.044925792218212,F
Deb,12.702232918839417,F
Pitti Palace,12.702232918839417,?
Solublon,12.702232918839417,?
Piazza,12.702232918839417,?
Porta Romana,12.033694344163658,?
Duomino,11.365155769487899,?
David,10.696617194812141,M
La Mappa,10.696617194812141,?
Medusa,10.028078620136382,F
Jesus,10.028078620136382,M
Hell,8.691001470784864,?
Eugenia,8.691001470784864,F
Christian,8.691001470784864,?
Harvard,8.022462896109106,?
Art Institute,8.022462896109106,M
Machiavelli,8.022462896109106,M
Harris Tweed,7.353924321433347,M
Vasari Corridor,6.685385746757588,F
Venus,6.685385746757588,F
NetJets,6.685385746757588,?
Ponte Vecchio,6.685385746757588,?
Bentley,6.016847172081829,M
Ghiberti,6.016847172081829,?
Giotto,5.348308597406071,?
Mickey Mouse,5.348308597406071,M
Collins,5.348308597406071,?
CDC,5.348308597406071,?
Virgil,5.348308597406071,?
Faukman,5.348308597406071,?
Hercules,4.679770022730311,M
Shakespeare,4.679770022730311,?
Napoleon,4.679770022730311,M
ECDC,4.679770022730311,?
Brunelleschi,4.679770022730311,?
Catholic,4.011231448054553,?
Spice Bazaar,4.011231448054553,?
Doré,4.011231448054553,?
Leonardo da Vinci,4.011231448054553,?
Giorgio Venci,4.011231448054553,M
Fiorentina,4.011231448054553,?
Cosimo I,4.011231448054553,?
U.S. Consulate,4.011231448054553,?
Michelino,3.342692873378794,?
Carnevale,3.342692873378794,M
Gülensoy,3.342692873378794,?
Liszt,3.342692873378794,?
Jonas,3.342692873378794,?
Bianca Cappello,3.342692873378794,F
Riva degli Schiavoni,3.342692873378794,?
Hirst,2.6741542987030353,M
Diomedes,2.6741542987030353,?
Mr. Zobrist,2.6741542987030353,M
Nicelli,2.6741542987030353,?
Lo Studiolo,2.6741542987030353,?
Purgatorio,2.6741542987030353,?
Mandelbaum,2.6741542987030353,?
Signore,2.6741542987030353,?
Signora Alvarez,2.0056157240272765,?
Muhammad,2.0056157240272765,?
Allah,2.0056157240272765,M
Palazzo Pitti,2.0056157240272765,?
Mappa Mundi,2.0056157240272765,?
Santa Maria del Fiore,2.0056157240272765,?
Malthus,2.0056157240272765,?
Loggia dei Lanzi,2.0056157240272765,?
Judas,2.0056157240272765,M
Marciano,2.0056157240272765,?
Danikova,2.0056157240272765,?
Fereidoun M. Esfandiary,2.0056157240272765,?
Longfellow,2.0056157240272765,?
Henricus Dandolo,1.3370771493515177,?
Bernardo Buontalenti,1.3370771493515177,?
Mrs. Alvarez,1.3370771493515177,?
Fiat,1.3370771493515177,?
Melinda Gates,1.3370771493515177,?
Solomon,1.3370771493515177,?
Battaglia,1.3370771493515177,?
Wikipedia,1.3370771493515177,?
Donatello,1.3370771493515177,?
Alibi Company,1.3370771493515177,?
Berlioz,1.3370771493515177,?
Justinian,1.3370771493515177,?
UN,1.3370771493515177,?
Danieli,1.3370771493515177,?
Dante Society,1.3370771493515177,?
Church of Dante,1.3370771493515177,?
CIA,1.3370771493515177,?
Darwin,1.3370771493515177,?
