NAME,# MENTIONS / 100K WORDS,GENDER
James,1354.4536271809,M
Sinéad,642.7915518825,F
Charlie,331.5988164473,M
Dinky,264.4287997823,?
Crowley,188.7562493623,M
Teesh,181.9542223583,F
Dr Quinn,181.9542223583,M
Snoozie,110.5329388158,F
God,90.1268578036,?
Rascal,73.972043669,M
Racey,71.4212835425,?
Coughlan,64.6192565384,M
Roundy,62.0684964119,F
Ballyronan,62.0684964119,F
Denis Hennebry,58.6674829099,M
Scully,38.2614018978,M
Tony,29.7588681427,M
Henry,28.9086147672,M
Eileen,28.9086147672,F
John,27.2081080162,M
John McCormack,24.6573478897,?
Gamal,24.6573478897,M
Cork,24.6573478897,?
Master Higgins,21.2563343876,M
Higgins,17.0050675101,F
Emily,16.1548141346,F
James Kent,15.3045607591,M
Ó Cinnéide,13.6040540081,?
Jane,12.7538006326,F
Fitzhenry,12.7538006326,F
Gregory,12.7538006326,M
Vaughan Williams,11.9035472571,?
Margaret,11.0532938816,F
Diarmuid,11.0532938816,M
Jim,10.2030405061,M
Mrs O’Riordan,10.2030405061,?
Pete,9.3527871306,F
Myra Hindley,9.3527871306,F
Ciara,9.3527871306,F
Cantona,9.3527871306,M
Anne-Marie,9.3527871306,F
Charles,9.3527871306,?
Shane McGowan,8.5025337551,M
William,8.5025337551,M
Dr Morlay,8.5025337551,?
Mr Hennebry,8.5025337551,M
Lucozade,8.5025337551,?
Dr Reid,8.5025337551,M
Peter Sellers,8.5025337551,M
Luke Kelly,7.6522803796,?
Julie,7.6522803796,F
Séamus,6.802027004,?
Liam Durcan,6.802027004,M
Bob Dylan,5.9517736285,M
Gretta,5.9517736285,?
Charlie McCarthy,5.9517736285,M
Michael Jackson,5.9517736285,?
Dunronan,5.9517736285,?
Gerry,5.9517736285,M
Catholic,5.101520253,?
James boy,5.101520253,M
Mr Costigan,5.101520253,?
Sam Hall,5.101520253,M
Antoinette,5.101520253,F
Kate Bush,5.101520253,?
Frank Deasy,5.101520253,M
Nina Simone,5.101520253,F
Mr Mooney,5.101520253,?
Dingle,5.101520253,?
Kerby,5.101520253,M
Mr Cole,5.101520253,M
Mother,4.2512668775,?
Paul McCartney,4.2512668775,M
Edith Piaf,4.2512668775,F
Anthony Murphy,4.2512668775,M
Mr Fitzpatrick,4.2512668775,M
Tracey,4.2512668775,?
Garda John,4.2512668775,M
Dr Gleeson,3.401013502,?
Spike,3.401013502,?
Richard Fitzpatrick,3.401013502,M
Johnny Cash,3.401013502,M
Karen,3.401013502,?
Neil Young,3.401013502,?
Elvis,3.401013502,?
Roy Orbison,3.401013502,?
Van Morrison,3.401013502,?
Ronan,2.5507601265,?
Larry Tompkins,2.5507601265,?
Mary,2.5507601265,F
Eddie Vedder,2.5507601265,?
Kurt Cobain,2.5507601265,?
Paddy Connell,2.5507601265,M
Aretha Franklin,2.5507601265,?
BBC,2.5507601265,?
Ber,2.5507601265,?
Carly Simon,2.5507601265,?
Hitler,2.5507601265,M
Walters,2.5507601265,?
Finbarr,2.5507601265,?
St Brendan,2.5507601265,?
Zeno,2.5507601265,M
James I,1.700506751,?
Tim Buckley,1.700506751,?
Monkeyface,1.700506751,?
Trinity College,1.700506751,?
Sam Cooke,1.700506751,?
Joni Mitchell,1.700506751,?
Volvo,1.700506751,?
Davey Arthur,1.700506751,?
George,1.700506751,?
Struth,1.700506751,?
Timmy,1.700506751,?
Joan Miró,1.700506751,?
Eric,1.700506751,?
Les Béatitudes,1.700506751,?
Gary O’Donovan,1.700506751,?
Bye Sinéad,1.700506751,?
Einstein,1.700506751,?
Jesus Sinéad,1.700506751,?
Susanna,1.700506751,?
Nazis,1.700506751,?
Bohernavar,1.700506751,?
