NAME,# MENTIONS / 100K WORDS,GENDER
Evan,1703.2914307648018,M
Jonathan,1301.6299505120155,M
Sara,1009.6371338094781,F
Rachel,304.33054135194044,F
Emma,273.486229728433,F
Jared,111.72495099181597,M
Jill,92.53293487052244,F
Anna,78.13892277955227,F
Drew,77.45349363236322,M
Emily,54.834331775124404,F
Vivian,53.463473480746295,M
Casey,46.60918200885575,M
Analise,45.92375286166669,?
Carol,35.64231565383086,F
Stanford,34.271457359452754,M
Stuart,27.417165887562202,M
Charles,26.731736740373147,M
Dr. Vassar,22.61916185723882,M
Carl,21.933732710049764,M
Derek,20.56287441567165,M
Sharon,19.877445268482596,M
Chris,19.877445268482596,M
Weslyn,19.877445268482596,?
George,19.877445268482596,M
Lyle,13.708582943781101,M
Leyla,12.337724649402992,F
Kyle,8.910578913457716,M
Cornell,7.539720619079605,M
Sadie,7.539720619079605,F
Jack,6.8542914718905505,M
Mandy,6.168862324701496,F
Elizabeth,4.798004030323385,F
Lincoln,4.798004030323385,M
Yale,4.1125748831343305,?
Nate,3.4271457359452753,M
Rebecca Donovan,2.7417165887562205,F
Mrs. Thomas,2.7417165887562205,F
Ryan,2.7417165887562205,M
Laura,2.7417165887562205,F
USC,2.0562874415671653,?
Ms. Meir,2.0562874415671653,F
Ms. Mier,2.0562874415671653,F
Michaela,2.0562874415671653,F
Parsons,2.0562874415671653,?
Penn State,2.0562874415671653,?
Mr. Mathews,1.3708582943781102,?
Coke,1.3708582943781102,?
VALENTINE,1.3708582943781102,?
