NAME,# MENTIONS / 100K WORDS,GENDER
Julie,448.50407482360663,F
Sally,344.5823989498441,F
Marcia,336.37805611770494,F
Ronald,251.59984685226712,M
Lorraine,240.6607230760816,F
Lawrence,232.45638024394245,M
Annabel,207.84335174752502,F
Norman,188.69988513920035,M
Mumma,188.69988513920035,M
Joyce,177.76076136301484,M
Jeremy,155.88251381064376,M
Jake,155.88251381064376,M
Henry,153.14773286659738,M
Lily,150.412951922551,F
Sadie,144.94339003445825,F
Olivia,136.73904720231909,F
James,134.0042662582727,M
Kyra,120.3303615380408,F
Stanley,112.12601870590166,M
Rowena,106.65645681780889,F
Cathy,103.92167587376251,F
Roy,103.92167587376251,M
Richard,90.2477711535306,M
Will,87.51299020948422,M
Lauren,79.30864737734507,F
Pete,76.57386643329869,M
Alan,73.83908548925231,M
Marion,71.10430454520593,F
Rosalind,68.36952360115954,F
Dad,65.63474265711316,M
Ivan,60.1651807690204,M
Jennifer,60.1651807690204,F
Raoul,57.43039982497402,M
Kenny,54.69561888092764,M
Maeve,51.960837936881255,?
Ellen,49.22605699283488,F
Boss Lady,49.22605699283488,?
Annie,49.22605699283488,F
Thomas,46.49127604878849,M
Mrs. Whatsit,43.75649510474211,F
Sam,43.75649510474211,M
Harris,38.286933216649345,M
Duncan,38.286933216649345,M
Mrs. Schatz,35.55215227260297,F
Mr. Chang,32.81737132855658,M
Josie,32.81737132855658,F
Melanie,30.0825903845102,F
Myrna,30.0825903845102,F
Andrea,27.34780944046382,F
Felipe,24.61302849641744,M
Eric,24.61302849641744,M
Curtis,21.878247552371054,M
Lesley,21.878247552371054,F
Robin,21.878247552371054,M
Louisa,19.143466608324673,F
Mr. Sunshine,19.143466608324673,M
Roberto,19.143466608324673,M
Julio,19.143466608324673,M
Tom & Jerry,19.143466608324673,M
Catherine,19.143466608324673,F
Mr. Alexander,19.143466608324673,M
Russell,16.40868566427829,M
Gestetner,16.40868566427829,?
Gary,16.40868566427829,M
Bruce,16.40868566427829,M
Mrs. Wolfe,16.40868566427829,F
Angelique,16.40868566427829,F
Mrs. Knox,13.67390472023191,F
Lorna,13.67390472023191,F
Melia,10.939123776185527,?
Remington,10.939123776185527,?
Van Gogh,8.204342832139146,?
Helen,8.204342832139146,?
Mr. Schatz,8.204342832139146,M
Carrie,8.204342832139146,?
False Creek,8.204342832139146,?
Jeanie,8.204342832139146,F
Ray,8.204342832139146,?
Ronnie,5.4695618880927634,?
Alicia,5.4695618880927634,?
Fourth International,5.4695618880927634,?
Claudia,5.4695618880927634,?
Clack,5.4695618880927634,?
