NAME,# MENTIONS / 100K WORDS,GENDER
Jack,2619.9149196321673,M
Iris,681.4071375805589,F
Vivian,576.967165091576,M
William Henry,573.1461904883206,M
Della,562.9569248796392,F
Jackson,455.9696359884861,M
Benny,399.92867514073924,M
Peter,387.19209312988767,M
Alvina,259.826273021372,F
Frank,211.42726138013603,M
Josie,189.77507196168835,F
Harlan,170.67019894541102,M
Jeannie,109.53460529332348,F
John,95.52436508138676,M
Freddie,66.23022645642816,M
Baird,58.58827724991721,M
Navy,57.31461904883206,?
Viv,53.493644445576585,M
Dr. Barnes,49.67266984232111,M
Ouellette,47.1253534401508,M
Jackson Park,43.30437883689533,M
Jack Lewis,42.03072063581018,M
Fast Eddy,38.209746032554705,M
Dee-Dee,36.93608783146955,?
Harley,35.66242963038439,M
Jesus,30.567796826043764,M
Mr. Lewis,30.567796826043764,M
Will,26.746822222788293,M
Mary Parsons,24.19950582061798,F
Willie,22.92584761953282,M
Daddy,22.92584761953282,M
Josephine,19.104873016277352,F
Woodward,19.104873016277352,M
Army,17.831214815192194,?
Merrifield,17.831214815192194,M
Frank Sinatra,17.831214815192194,M
Barnes,16.55755661410704,F
Mother,16.55755661410704,F
Ann Arbor,15.283898413021882,F
Lily White,15.283898413021882,F
Howie,14.010240211936726,M
Ken Bradley,12.736582010851567,F
Calloway,12.736582010851567,M
Dad,11.46292380976641,?
Whitney,11.46292380976641,M
Joseph,11.46292380976641,F
Merc,11.46292380976641,?
Spoonerson,11.46292380976641,?
Marian,11.46292380976641,F
Coke,11.46292380976641,?
Mr. Schuler,10.189265608681254,M
Hup,10.189265608681254,?
Sadie,10.189265608681254,F
McDougall,8.915607407596097,M
Hiram Walker,8.915607407596097,M
Hastings,8.915607407596097,M
Kingsblood Royal,7.641949206510941,M
Jonesie,7.641949206510941,?
Sinclair,7.641949206510941,?
Guy Lombardo,7.641949206510941,M
East Adams,7.641949206510941,?
Janette Avenue,7.641949206510941,F
Hazel,7.641949206510941,F
Mommy,7.641949206510941,?
Mrs. Lewis,7.641949206510941,F
W. H. Lewis & Sons,6.3682910054257835,?
Chrysler,6.3682910054257835,?
Vivian Lewis,6.3682910054257835,?
Tommy Dorsey,6.3682910054257835,M
Doc Barnes,6.3682910054257835,M
Eleanor Roosevelt,6.3682910054257835,?
Walter,6.3682910054257835,M
Power,6.3682910054257835,?
Trilling,6.3682910054257835,?
Tecumseh,5.094632804340627,?
Emmanuelle,5.094632804340627,F
Danforth,5.094632804340627,?
Labadie,5.094632804340627,M
Ted Lepage,5.094632804340627,?
Howard,5.094632804340627,?
Martin Luther,5.094632804340627,M
Rory Johnston,5.094632804340627,M
Miller,5.094632804340627,?
Humphrey Bogart,5.094632804340627,M
Hill,3.8209746032554706,M
Jack Daniel,3.8209746032554706,M
Yanks,3.8209746032554706,?
Hollywood Crescent,3.8209746032554706,?
Beverley,3.8209746032554706,?
Scarborough,3.8209746032554706,M
Vernon,3.8209746032554706,?
Gerrard,3.8209746032554706,?
Pitt,3.8209746032554706,?
Al Jolson,3.8209746032554706,M
Proust,3.8209746032554706,M
Mr. Mandleson,3.8209746032554706,M
Dougall,3.8209746032554706,?
Adam,3.8209746032554706,M
Amos ’n’ Andy,2.5473164021703134,?
Flynn,2.5473164021703134,?
Prince,2.5473164021703134,?
Vassar,2.5473164021703134,?
VONF,2.5473164021703134,?
Duckworth,2.5473164021703134,?
Horse Shoe Club,2.5473164021703134,?
Hitler,2.5473164021703134,?
Funk & Wagnalls,2.5473164021703134,?
