NAME,# MENTIONS / 100K WORDS,GENDER
Pari,1174.6065980373453,F
Baba,703.4367197285796,M
Adel,609.7004587270118,M
Abdullah,417.25079012202303,M
Idris,382.41076390905096,M
Thalia,339.27549335965693,F
Nila,338.4459689260147,F
Mr. Wahdati,239.73256132259377,M
Nabi,233.9258902870984,M
Madaline,197.42681520684192,F
Timur,179.17727766671368,M
Suleiman,163.416313427512,M
Mamá,133.55343381639307,?
Parwana,132.72390938275086,?
Julien,113.64484740898043,M
Father,103.69055420527411,M
Maman,102.86102977163192,F
Mr. Markos,92.9067365679256,M
Masooma,90.41816326699903,?
Eric,82.95244336421929,M
Collette,74.65719902779736,F
Mother,70.5095768595864,F
Isabelle,68.85052799230202,F
Gholam,65.53243025773324,?
Kabir,62.21433252316447,M
Mrs. Wahdati,59.72575922223789,F
Roshi,52.26003931945815,F
Shadbagh,51.43051488581596,F
Saboor,45.62384385032061,?
Amra,43.13527054939403,?
Gul,40.646697248467454,M
Lemar,37.32859951389868,M
Iqbal,34.840026212972106,M
Qais,33.180977345687715,M
Mullah Shekib,28.20383074383456,M
Thierry,26.544781876550175,M
Odie,23.2266841419814,M
Nahil,23.2266841419814,?
Alain,22.39715970833921,M
Hector,22.39715970833921,M
Andreas,20.738110841054823,M
Sahib,20.738110841054823,M
Omar,19.90858640741263,M
Maidan Sabz,18.249537540128244,?
Gianna,17.420013106486053,F
Abe,17.420013106486053,M
Joan,16.590488672843858,F
Mullah Sahib,15.760964239201666,?
Gary,14.931439805559473,M
Dorian,14.931439805559473,M
Zahid,14.10191537191728,M
Didier,14.10191537191728,M
Cynthia,14.10191537191728,F
Markos Varvaris,13.272390938275088,M
Mr. Roussos,13.272390938275088,M
Mr. Bashiri,12.442866504632894,M
Monsieur Boustouler,12.442866504632894,?
Jason,10.783817637348507,M
Penny,10.783817637348507,M
Shuja,9.954293203706316,?
Karzai,9.954293203706316,M
Jeremy,9.124768770064122,M
Taliban,8.295244336421929,?
Abollah,7.465719902779736,?
Zabi,6.636195469137544,?
Alfonso,6.636195469137544,M
Dr. Delaunay,5.80667103549535,?
Kabob House,5.80667103549535,?
Rumi,5.80667103549535,M
King Amanullah,5.80667103549535,M
Dr. Bashiri,5.80667103549535,?
Miguel,5.80667103549535,M
Albert,5.80667103549535,M
Aurelie,4.977146601853158,F
Muslim,4.977146601853158,?
Neal,4.977146601853158,M
Wahdatis,4.977146601853158,?
Mrs. Gillespie,4.977146601853158,F
Azmaray,4.147622168210964,?
Zahia,4.147622168210964,?
Ana,4.147622168210964,F
Leonard Cohen,4.147622168210964,M
Cesar,3.318097734568772,M
Farooq,3.318097734568772,?
Roshana,3.318097734568772,F
Sami,2.488573300926579,M
Mujahideen,2.488573300926579,?
Maradona,2.488573300926579,?
Babur,2.488573300926579,?
Monsieur Varvaris,2.488573300926579,?
Odelia,2.488573300926579,?
Wazir Akbar Khan Hospital,2.488573300926579,?
Baitullah,2.488573300926579,?
Bush,2.488573300926579,M
Mrs. Rasmussen,1.659048867284386,?
Dori,1.659048867284386,?
Northern Alliance,1.659048867284386,?
SFO,1.659048867284386,?
NGO,1.659048867284386,?
Étienne Boustouler,1.659048867284386,?
Mr. Gianakos,1.659048867284386,?
Agnes,1.659048867284386,?
Bala Hissar,1.659048867284386,?
Malalai,1.659048867284386,?
Jamal,1.659048867284386,?
Nāder Shah,1.659048867284386,?
Ronaldo,1.659048867284386,?
