NAME,# MENTIONS / 100K WORDS,GENDER
Jethro,819.699355001561,M
Zoe,578.5722351753319,F
Gregory,559.9728981088459,M
Belinas,465.64768870023846,M
Langmore,389.9218163581169,M
Vilimich,233.82023740725242,M
Transhumania,205.25696976943465,?
Amanda,117.57438074171499,F
Burton,81.0399686468318,F
Dr. Cohen,71.07603807550002,M
Oliver,61.77636954225703,M
Francisco Dante,47.82686674239254,M
NFSA,45.83408062812618,?
Dawson Center,39.19146024723833,M
Victoria University,33.87736394252805,F
Jethro Knight,31.220315790172908,M
Cryotask,26.57048152355141,?
Josh,25.906219485462625,M
Refia,25.24195744737384,?
Mr. Knights,24.577695409285056,?
Mr. Vilimich,21.256385218841128,M
Janice,19.263599104574773,F
Christian,18.599337066485987,M
IMN,18.599337066485987,?
Johnny,18.599337066485987,M
Redeem Church,18.599337066485987,?
Johnson,17.9350750283972,M
Jane,17.270812990308418,F
Bobby,15.27802687604206,M
David,12.62097872368692,M
International Geographic,11.956716685598135,?
Congress,10.628192609420564,?
Dean Graybury,9.96393057133178,M
Brian,9.299668533242993,M
USA Daily Tribune,8.635406495154209,?
Muslim,8.635406495154209,M
Trano,8.635406495154209,?
White House,7.9711444570654235,?
World Transhumanist Institute,7.9711444570654235,?
Bentoven,7.306882418976638,?
Shuman,7.306882418976638,?
Jesus,7.306882418976638,M
Diego,6.642620380887853,M
Rindall,6.642620380887853,?
United Nations,5.978358342799067,?
Dr. John Whalefish,5.314096304710282,M
Calico Oil,5.314096304710282,M
Transhumania News Network,5.314096304710282,?
CIA,3.9855722285327118,?
Blanche,3.9855722285327118,?
Pedrosen,3.9855722285327118,M
Senate,3.3213101904439264,?
Mr. Michaelson,3.3213101904439264,?
Patricia Hayes,3.3213101904439264,F
Kijno,3.3213101904439264,?
Greg,3.3213101904439264,M
Cidro,3.3213101904439264,?
Tabno,3.3213101904439264,?
Grant,2.657048152355141,?
National Association of Health,2.657048152355141,?
Vontage University,2.657048152355141,?
Buddhist,1.9927861142663559,?
Amanda Michaelson,1.9927861142663559,?
Buenos Aires,1.9927861142663559,?
Phoenix Bank,1.9927861142663559,?
National Future Security Agency,1.9927861142663559,?
U.N.,1.9927861142663559,?
Secret Service,1.9927861142663559,?
Supreme Court,1.3285240761775705,?
Mrs. Michaelson,1.3285240761775705,?
Fountain Center,1.3285240761775705,?
Kamakita,1.3285240761775705,?
Fillmore Yacht Club,1.3285240761775705,?
Federal Reserve,1.3285240761775705,?
San Aliza Medical Center,1.3285240761775705,?
U.S. Army,1.3285240761775705,?
Medibot,1.3285240761775705,?
Dawn,1.3285240761775705,?
United Nation,1.3285240761775705,?
