NAME,# MENTIONS / 100K WORDS,GENDER
Sal,1629.4408634387648,M
Celeste,608.6044071353621,F
Byron,517.1638435017239,M
Nicolette,331.28466496777094,F
Mr. Fletcher,311.7973317343727,M
Lily,304.30220356768103,F
Angus,295.308049767651,M
Mr. Oleander,280.31779343426774,M
Jessup,206.86553740068956,M
Etienne,131.91425573377305,M
Roni,85.44446110028481,F
Yunus,58.46199970019487,M
Knidos,56.962974066856546,?
Vittorio,53.964922800179885,M
Venus,52.46589716684155,F
Anthony,38.974666466796585,M
Arthur,34.47758956678159,M
Salvatore,32.97856393344326,M
Dilettanti,31.47953830010493,?
Maggie,23.98441013341328,F
Richard Payne Knight,22.48538450007495,M
Herzog,22.48538450007495,M
Praxiteles,22.48538450007495,?
Dorian Temenos,19.487333233398292,M
Marshall,19.487333233398292,M
God,17.98830760005996,M
Adonis,17.98830760005996,M
Veronica,17.98830760005996,F
Sarah,16.48928196672163,F
Master Vogt,16.48928196672163,M
Margaret,14.9902563333833,F
Holloway,14.9902563333833,M
Edward Trelawny,13.491230700044971,M
Rheneas,13.491230700044971,?
Mrs. Mulligan,11.99220506670664,F
Beatrice,11.99220506670664,?
Alejandro,11.99220506670664,M
George,11.99220506670664,M
Abbot,10.49317943336831,M
Magill,8.99415380002998,M
Signorina Stargazer,8.99415380002998,?
Bradley,8.99415380002998,M
Signor Colonna,7.49512816669165,M
Mrs. Colonna,7.49512816669165,?
Penelope,7.49512816669165,F
Laura,7.49512816669165,F
Emine,7.49512816669165,F
Selim,5.99610253335332,M
Mr. Colonna,5.99610253335332,?
St. Mary,5.99610253335332,?
Deirdre,5.99610253335332,F
Comino,5.99610253335332,?
St. Helena,5.99610253335332,?
Demetris,5.99610253335332,M
Mr. Knight,4.49707690001499,?
Hart Street,4.49707690001499,?
Mrs. Fletcher,4.49707690001499,?
Lily Fletcher,2.99805126667666,?
Jack,2.99805126667666,?
Neal,2.99805126667666,?
Mark,1.49902563333833,?
