NAME,# MENTIONS / 100K WORDS,GENDER
Sandro,1276.325567636597,M
Ronnie,463.20012121124665,M
Talia,274.16829604404006,M
Gianni,162.33649107870795,M
Didi,161.6149955628026,M
Nadine,152.95704937193815,F
Gloria,145.74209421288447,F
Roberto,138.52713905383078,M
Stanley,113.27479599714287,M
Thurman,99.56638119494087,M
Giddle,95.95890361541403,F
Burdmoore,92.35142603588719,M
John Dogg,79.36450674959055,M
Didier,75.03553365415834,M
Helen,68.54207401101002,F
Saul,52.66917266109191,M
Marvin,48.3401995656597,M
Rudy,47.61870404975433,M
Bene,46.89720853384896,M
Chesil Jones,44.011226470227484,M
Lonzi,43.28973095432212,?
Marie,40.40374889070065,F
Reno,38.960757858889906,?
Chris Kelly,37.51776682707917,M
Andy,23.087856508971797,M
Motherfuckers,21.64486547716106,?
Moto Valera,18.037387897634215,?
Sammy,18.037387897634215,M
Mussolini,16.59439686582348,M
Durutti,15.872901349918111,?
Luigi,15.872901349918111,M
Nina Simone,15.872901349918111,F
Scott,15.872901349918111,M
Piazza Esedra,15.151405834012742,M
Eric,15.151405834012742,M
Valera Tires,15.151405834012742,M
Tim Fontaine,14.429910318107373,M
Erwin,13.708414802202004,M
Anna,12.986919286296636,F
pope,12.986919286296636,M
Marsden Hartley,12.986919286296636,M
Tonino,12.265423770391267,?
Alba,12.265423770391267,F
Corso,11.543928254485898,M
Bobby,11.543928254485898,M
Henri-Jean,11.543928254485898,F
Ginsberg,10.82243273858053,M
Lidia,9.379441706769793,F
Sylvia Plath,9.379441706769793,F
Fiat,9.379441706769793,?
T. P. Valera,9.379441706769793,M
Lisa,9.379441706769793,F
Jackie,7.9364506749590555,F
Le Alpi,7.9364506749590555,M
Luisa Spagnoli,7.2149551590536865,F
John Chamberlain,7.2149551590536865,M
Signora Valera,7.2149551590536865,M
Cadillac Eldorado,7.2149551590536865,?
Artemio,7.2149551590536865,M
Bubalev,7.2149551590536865,?
Harley,6.493459643148318,M
Maury,6.493459643148318,M
Morton Feldman,6.493459643148318,M
Borsalino,6.493459643148318,?
Mont Blanc,6.493459643148318,M
Feltrinelli,6.493459643148318,?
Copertini,6.493459643148318,?
Arditi,6.493459643148318,?
Ardito,5.771964127242949,?
Valera Company,5.771964127242949,M
Nero,5.771964127242949,M
Indians,5.050468611337581,?
Cinecittà,5.050468611337581,?
Matta-Clark,5.050468611337581,M
Smithson,5.050468611337581,M
Bonanno,5.050468611337581,M
Reder,5.050468611337581,?
Debord,5.050468611337581,M
Vincenzo,5.050468611337581,M
Flaubert,5.050468611337581,?
Karen Black,5.050468611337581,?
Jesus,4.328973095432212,M
Juan,4.328973095432212,M
Warhol,4.328973095432212,M
UNR,4.328973095432212,?
Duke,4.328973095432212,?
Lake Como,4.328973095432212,?
Jaguar,4.328973095432212,?
Bologna,3.6074775795268432,?
Mr. Pong,3.6074775795268432,?
Chemical Bank,3.6074775795268432,?
Alpini,3.6074775795268432,?
Earle,3.6074775795268432,?
Levi,3.6074775795268432,M
Autostrada,3.6074775795268432,?
Pat Nixon,3.6074775795268432,?
Piazza Navona,3.6074775795268432,?
Freud,3.6074775795268432,M
Kotch,2.8859820636214746,?
Brecht,2.8859820636214746,?
Mustang Ranch,2.8859820636214746,?
Dollmann,2.8859820636214746,?
Luger,2.8859820636214746,?
Marilyn,2.8859820636214746,F
Dr. Butz,2.8859820636214746,M
Cooper,2.8859820636214746,?
Rossellini,2.8859820636214746,?
Daddy,2.8859820636214746,M
Angels,2.8859820636214746,?
William Eggleston,2.8859820636214746,M
John Wayne,2.8859820636214746,M
Bianchi,2.164486547716106,M
GM,2.164486547716106,?
Mr. Dennis,2.164486547716106,M
Tom,2.164486547716106,?
Christie,2.164486547716106,M
Mark,2.164486547716106,?
Ettore,2.164486547716106,?
Jox,2.164486547716106,?
Auder,2.164486547716106,?
Lady von Doyle,2.164486547716106,F
Trust E Coffee Shop,2.164486547716106,?
Moka,2.164486547716106,?
Bud,2.164486547716106,?
Audrey Hepburn,2.164486547716106,F
CIA,2.164486547716106,?
TWA,2.164486547716106,?
Piazza del Popolo,2.164486547716106,?
Glisenti,2.164486547716106,?
Blimpie,2.164486547716106,?
Corriere della Sera,2.164486547716106,?
VW,2.164486547716106,?
Kris Kristofferson,1.4429910318107373,?
Marianne Faithfull,1.4429910318107373,?
Lou Reed,1.4429910318107373,?
Hildebrand & Wolfmüller,1.4429910318107373,?
Venus de Milo,1.4429910318107373,?
Chevalier,1.4429910318107373,?
Chaplin,1.4429910318107373,?
Malevich,1.4429910318107373,?
Helga,1.4429910318107373,?
Olivetti,1.4429910318107373,?
Joe,1.4429910318107373,?
Villa Valera,1.4429910318107373,?
Time magazine,1.4429910318107373,?
Mrs. Dollface,1.4429910318107373,?
Bob Avery,1.4429910318107373,?
Thom McAn,1.4429910318107373,?
Volkswagen,1.4429910318107373,?
Chelsea Hotel,1.4429910318107373,?
Kodak,1.4429910318107373,?
Donovan,1.4429910318107373,?
Albert Speer,1.4429910318107373,?
Julian,1.4429910318107373,?
Hitler,1.4429910318107373,?
Navy Yard,1.4429910318107373,?
Max,1.4429910318107373,?
Mao,1.4429910318107373,?
Lovelock,1.4429910318107373,?
Aldo Moro,1.4429910318107373,?
