NAME,# MENTIONS / 100K WORDS,GENDER
Charlie,838.6373643969416,M
Greta,356.2707657819943,F
Mrs. Evans,236.17949641727714,F
Joe,202.1536367639406,M
Mrs. Browder,199.4849418891691,F
Cordelia,168.79495082929694,F
Annabelle,146.7782181124321,F
Mam,130.76604886380315,?
Susan,110.08366358432409,F
Mrs. Jones,102.74475267870248,F
Axie,100.74323152262386,M
Mother,100.076057803931,F
Mr. Comstock,95.40584177308088,M
Mrs. McGinty,80.0608462431448,F
Annie,76.05780393098755,F
Eliot,69.38606674405882,F
Duffy,67.3845455879802,M
Willi,62.04715583843721,M
Maggie,60.045634682358596,F
Madame DeBeausacq,56.70976608889423,M
Belle,56.70976608889423,F
Mr. Brace,50.70520262065837,M
Ann,46.034986589808256,F
Kathleen,44.70063915242251,F
Comstock,44.70063915242251,M
Morrill,44.03346543372963,M
Lillian,43.36629171503676,F
God,42.031944277651014,?
Johnny,41.36477055895814,M
Sprunt,40.0304231215724,M
Jesus,38.696075684186646,M
Mr. Dix,35.360207090722284,M
Owens,34.02585965333654,M
Dutchie,34.02585965333654,?
Miss Shackford,33.35868593464366,F
Dixon,31.357164778565043,M
Gilpin,30.68999105987217,M
Lily,30.68999105987217,F
Mrs. Dix,29.355643622486422,F
Mr. Jones,25.352601310329185,M
Herald,23.351080154250564,?
Liberty Street,23.351080154250564,?
Mrs. Ambrose,22.68390643555769,F
Mary,20.0152115607862,F
Joseph,19.348037842093323,M
Bernice,18.68086412340045,F
Matsell,18.013690404707578,M
Mrs. Temple,16.67934296732183,F
Will,16.67934296732183,?
Tallmadge,16.012169248628958,M
Adolphus,15.344995529936085,M
Mrs. Purdy,15.344995529936085,F
Dr. Evans,15.344995529936085,M
Bernie,15.344995529936085,M
Miss Applegate,14.677821811243211,F
Vachon,14.010648092550339,M
Mrs. Rump,13.343474373857465,F
Merritt,13.343474373857465,M
Dr. Applegate,13.343474373857465,M
Gazette,13.343474373857465,?
Mrs. Lyle,13.343474373857465,F
Beatrice,12.676300655164592,F
Mrs. Parkhurst,12.009126936471718,F
Mr. Duffy,12.009126936471718,M
Mr. Pickering,11.341953217778846,M
Davey,11.341953217778846,M
Mrs. E.,11.341953217778846,F
Mr. Schaeffer,11.341953217778846,M
Mrs. Hough,10.674779499085972,F
Mrs. B.,10.674779499085972,F
Muldoons,10.674779499085972,?
Da,10.0076057803931,?
Mrs. Watkins,10.0076057803931,F
John,10.0076057803931,M
Mrs. Costello,10.0076057803931,F
Archie,10.0076057803931,M
Cecile,9.340432061700225,F
Aid Society,9.340432061700225,?
Hines,9.340432061700225,M
Catharine Rider,8.673258343007353,F
Ellen,8.673258343007353,F
Mr. Purdy,8.673258343007353,M
Gerald,8.673258343007353,M
Miss Kinsley,8.006084624314479,F
Frances,8.006084624314479,M
Mrs. R.,7.3389109056216055,F
Clara,7.3389109056216055,F
gore,7.3389109056216055,M
Mrs. Doggett,6.671737186928732,F
Mrs. Owens,6.671737186928732,F
Mrs. Rider,6.671737186928732,F
Pfeiffer,6.671737186928732,F
Mrs. Duffy,6.671737186928732,F
Kevin Duffy,6.671737186928732,M
Mrs. Maltby,6.004563468235859,F
David,6.004563468235859,M
Mrs. Trow,6.004563468235859,F
Gott,6.004563468235859,M
Mr. Cameron,6.004563468235859,M
Vincent,6.004563468235859,M
Doc Benjamin,6.004563468235859,M
Hughes,5.337389749542986,M
Hays,5.337389749542986,M
Mr. Bivens,5.337389749542986,M
Duane Street,5.337389749542986,M
Rebecca,5.337389749542986,?
Booth,5.337389749542986,M
Kilbreth,5.337389749542986,?
Mrs. Candace Wheeler,5.337389749542986,F
Dr. Benjamin,5.337389749542986,M
Marble House,4.670216030850113,?
Jakes,4.670216030850113,M
Aunt Nance,4.670216030850113,M
Lurg,4.670216030850113,?
Christian,4.670216030850113,?
Miss Muldoon,4.670216030850113,?
Robinson,4.670216030850113,F
Nelly,4.003042312157239,?
Chickenheart,4.003042312157239,?
George Washington,4.003042312157239,M
Chapman,4.003042312157239,M
Snope,4.003042312157239,?
Joneses,4.003042312157239,?
Duffys,4.003042312157239,?
Desomieux,4.003042312157239,?
Mamma,4.003042312157239,?
Henry,3.335868593464366,?
Catherine Street,3.335868593464366,F
Evanses,3.335868593464366,?
Hegemann,3.335868593464366,?
Mrs. Reverend,3.335868593464366,F
Baker,3.335868593464366,M
Mrs. DeBeausacq,3.335868593464366,F
Astor House,3.335868593464366,M
Mrs. Kissling,3.335868593464366,F
Celia,3.335868593464366,F
Mr. B.,3.335868593464366,M
Army,3.335868593464366,?
Mrs. Harkness,3.335868593464366,F
Liebchen,3.335868593464366,?
Mr. Morrill,3.335868593464366,M
Lillian Ambrose,3.335868593464366,?
Hatcher,3.335868593464366,M
Tribune,3.335868593464366,?
Liverpool,2.668694874771493,?
Serena,2.668694874771493,F
Corrigan,2.668694874771493,M
Harold,2.668694874771493,M
