NAME,# MENTIONS / 100K WORDS,GENDER
Diana,820.0293604917882,F
Anne,310.8083310395449,F
Carney,300.4862831452427,M
Andrei,253.46362051564364,M
Ben,241.99467841086337,M
Jonathan Liu,211.0285347279567,M
Ellis,186.94375630791816,M
Kutuzov,161.7120836774016,M
Sean,151.39003578309936,M
Edgar,103.2204789430223,M
Benjamin,99.77979631158821,M
Nina,98.63290210111019,F
Eddie,90.60464262776401,M
Licata,90.60464262776401,M
Alexander Kutuzov,61.93228736581338,?
George,59.638498944857325,M
Randy,51.61023947151115,M
CIA,51.61023947151115,?
Matthew,45.87576841912102,M
Mr. Casper,43.58197999816497,?
Mother,36.70061473529682,F
Ashley Brook,33.25993210386274,?
Mikey,29.819249472428663,M
Francis,28.67235526195064,M
White House,27.52546105147261,M
Mr. President,27.52546105147261,M
Mr. Kutuzov,25.23167263051656,M
Liz Larkin,24.084778420038536,?
DC,24.084778420038536,?
Mr. Carney,22.93788420956051,M
Stalin,22.93788420956051,M
Hugo,22.93788420956051,M
Emma,20.64409578860446,F
Calvin Coolidge,17.20341315717038,M
Matt Damon,17.20341315717038,M
Madison,16.056518946692357,?
Jacob,14.909624736214331,M
Ray,14.909624736214331,M
Bonnie,14.909624736214331,F
FDR,14.909624736214331,M
Lincoln,14.909624736214331,M
Roosevelt,14.909624736214331,M
Tamara,13.762730525736306,F
Bald Guy,13.762730525736306,M
Kennedy,13.762730525736306,M
Libby Rose Francis,13.762730525736306,?
Churchill,13.762730525736306,M
Secret Service,12.61583631525828,?
Ms. Hotchkiss,12.61583631525828,F
Steve,12.61583631525828,M
Jane,11.468942104780256,F
Tom Cruise,11.468942104780256,M
Victor,11.468942104780256,M
Bruce Willis,11.468942104780256,M
Ham,10.32204789430223,M
Wilma,10.32204789430223,F
Michael Jr.,10.32204789430223,M
Washington Post,10.32204789430223,F
Hill,9.175153683824204,?
Honest Abe,9.175153683824204,M
Seinfeld,9.175153683824204,?
MPD,9.175153683824204,?
Mr. Liu,8.028259473346179,M
Metropolitan Police Department,8.028259473346179,?
Congress,8.028259473346179,?
Gary Condit,8.028259473346179,M
Ward Place,8.028259473346179,?
Bono,8.028259473346179,M
Demi Moore,8.028259473346179,?
Weaver,8.028259473346179,M
Garfield,8.028259473346179,M
Oscar,6.881365262868153,?
Mike,6.881365262868153,M
Carla,6.881365262868153,F
American University,6.881365262868153,?
Johnson,6.881365262868153,M
Colin Farrell,6.881365262868153,M
Karen,6.881365262868153,F
Robert Redford,6.881365262868153,M
Lake Anna,6.881365262868153,?
NATO,6.881365262868153,?
Tandy,6.881365262868153,?
Skeet Ulrich,6.881365262868153,M
Blum,5.734471052390128,?
Shari,5.734471052390128,F
Grasshopper,5.734471052390128,?
Harvard,5.734471052390128,?
Johnny Depp,5.734471052390128,M
Cessna,5.734471052390128,?
Reagan,5.734471052390128,?
Harrison,5.734471052390128,M
Malcolm,5.734471052390128,M
Nicole Kidman,4.587576841912102,F
Delores Burk,4.587576841912102,F
Buchanan,4.587576841912102,M
Mrs. Casper,4.587576841912102,F
Jack Nicholson,4.587576841912102,?
Dennis Hopper,4.587576841912102,M
Esquire,4.587576841912102,?
Malkovich,4.587576841912102,M
Mary Catherine,4.587576841912102,F
Nazis,4.587576841912102,?
Dupont Circle,4.587576841912102,?
Patricia Arquette,4.587576841912102,F
Senate,4.587576841912102,?
Matty,4.587576841912102,?
Moses,3.4406826314340764,?
Martin Luther King,3.4406826314340764,?
Jennifer Garner,3.4406826314340764,?
Paul Newman,3.4406826314340764,?
Maud,3.4406826314340764,?
Aaron Sorkin,3.4406826314340764,M
Woodrow Wilson,3.4406826314340764,M
Cody,3.4406826314340764,M
Peace Corps,2.293788420956051,?
Edgar Allan Poe,2.293788420956051,?
Starbucks,2.293788420956051,?
Brutus,2.293788420956051,?
James Bond,2.293788420956051,?
Dominga,2.293788420956051,?
Manuel Perrine,2.293788420956051,?
James Caan,2.293788420956051,?
UN,2.293788420956051,?
Mr. Hotchkiss,2.293788420956051,?
John Wilkes Booth,2.293788420956051,?
Ben Affleck,2.293788420956051,?
Franks,2.293788420956051,?
Mel Gibson,2.293788420956051,?
Julia Roberts,2.293788420956051,?
Edgewood High School,2.293788420956051,?
Caroline Street,2.293788420956051,?
Frick,2.293788420956051,?
CNN,2.293788420956051,?
Rob Courtney,2.293788420956051,?
KGB,2.293788420956051,?
Truman,2.293788420956051,?
