NAME,# MENTIONS / 100K WORDS,GENDER
Emily,1903.725259346469,F
Eric,607.1780290408808,M
Annabel,567.1931344455057,F
William,490.92565030988294,M
Hart,409.47493909708186,M
Charles,407.9940170750309,M
Mason,405.7726340419545,M
Powers,376.8946546119614,M
Asta,319.87915676300065,F
Anna,293.22256036608394,F
Grimm,288.03933328890565,M
Pierson,210.2909271312319,M
Grethe,182.15340871226425,M
Abernathy,145.13035816099102,F
Morris,130.32113794048175,M
Lavinia,125.13791086330349,F
Mr. Malone,125.13791086330349,M
Heinrich,122.9165278302271,F
Mother,94.77900941125945,F
Lemke,81.4507112128011,?
Gore,76.26748413562284,M
Mr. Pierson,74.04610110254644,M
Drenth,71.82471806947005,M
Gretchen,71.82471806947005,F
Dell,65.90102998126633,F
Mrs. Lemke,65.16056897024087,F
Grandmother,62.198724926139015,F
Catherine,56.275036837935296,F
Miss Thornhill,52.57273178280798,F
Charles Fleming,51.091809760757045,F
Harm Drenth,51.091809760757045,?
Duckworth,50.351348749731585,M
Alice Bartlett,45.16812167255333,F
Rogers,45.16812167255333,M
Goff,43.6871996505024,M
Mr. Woods,41.46581661742601,M
Schroder,39.244433584349615,M
Tribune,37.76351156229869,?
Mrs. Pomeroy,37.02305055127322,F
Luella,33.3207454961459,F
Bond,32.58028448512044,M
Mr. Aukes,28.877979429993115,M
Dora,26.656596396916722,F
Mr. Parrish,22.954291341789396,M
Cecil Johnson,19.99244729768754,M
Eva Belle Strother,19.99244729768754,F
Aunt Rose,19.99244729768754,M
Mr. Johnson,19.251986286662074,M
Quincy Street,19.251986286662074,M
St. Luke,18.51152527563661,M
Mary,15.549681231534754,F
McKee,15.549681231534754,F
Mr. Lindstrom,13.328298198458361,M
Reynolds,13.328298198458361,M
Romine,11.847376176407431,M
Mrs. Verberg,11.106915165381967,F
Fairbank,11.106915165381967,?
Mr. Drenth,11.106915165381967,M
Degler,10.366454154356502,M
Mr. Beinhauer,10.366454154356502,M
Coley Woods,10.366454154356502,M
Mr. Rogers,9.625993143331037,M
Papa,9.625993143331037,?
Randolph,8.885532132305574,M
Mrs. Powers,8.885532132305574,F
Pressler,8.885532132305574,M
Jones,8.885532132305574,M
Mrs. Malone,8.885532132305574,F
Herman Drenth,8.885532132305574,M
Boyd Robinson,8.14507112128011,M
Mr. Murphy,8.14507112128011,M
Mr. Powers,8.14507112128011,?
Catholic,7.404610110254644,?
Flynn,7.404610110254644,M
Brown,7.404610110254644,M
Greta,7.404610110254644,F
Betty,7.404610110254644,?
Dunnegan Company,7.404610110254644,?
Charlie Rogers,6.6641490992291805,M
Luella Powers,6.6641490992291805,F
Clarksburg Telegram,5.923688088203716,?
Sumner,5.923688088203716,M
Dora Hulck,5.923688088203716,F
Marta Baertman,5.183227077178251,F
Hufford,5.183227077178251,M
Mount Clare,5.183227077178251,?
Joe Gildaw,4.442766066152787,M
Paul,4.442766066152787,M
J. Ed Law,4.442766066152787,M
American Friendship Society,4.442766066152787,?
Buster,4.442766066152787,M
C. O. Pierson,3.702305055127322,M
Jesus,3.702305055127322,?
A. R. Weaver,3.702305055127322,M
Frank Thornhill,3.702305055127322,M
AP,3.702305055127322,?
Mr. Schroder,3.702305055127322,M
Fox,2.961844044101858,?
Mr. Fleming,2.961844044101858,M
Opera House,2.961844044101858,?
Bible School,2.961844044101858,?
Waldo,2.961844044101858,?
Moore,2.2213830330763935,?
Rose,2.2213830330763935,?
Dorothy Pressler Lemke,2.2213830330763935,?
Eureka Vacuum Company,2.2213830330763935,?
Andersen,2.2213830330763935,?
Ada Thompson,2.2213830330763935,?
Amy,2.2213830330763935,F
Ackley,2.2213830330763935,?
Mr. Duckworth,2.2213830330763935,?
Kodak,2.2213830330763935,?
Miller,2.2213830330763935,M
Noël,1.480922022050929,?
Robert Louis Stevenson,1.480922022050929,?
Joseph,1.480922022050929,?
David Lang,1.480922022050929,?
Truman Parrish,1.480922022050929,?
Alleghenies,1.480922022050929,?
Louis Beinhauer,1.480922022050929,?
Porter,1.480922022050929,?
Harold Johnson,1.480922022050929,?
Miss Strother,1.480922022050929,?
Nell,1.480922022050929,?
Augustine,0.7404610110254645,?
