NAME,# MENTIONS / 100K WORDS,GENDER
Slidell,474.1606398774,M
Pete,281.383208008,M
Katy,257.4357009435,F
John,238.2776952919,M
John-Henry Story,214.3301882274,M
Blanton,199.9616839887,M
Ryan,176.0141769242,M
Dew,171.2246755113,M
Rockett,164.0404233919,M
Dom Rockett,161.6456726855,?
Welsted,120.9349106758,F
Larabee,119.7375353226,M
Majerick,113.7506585564,M
Hawthorn,93.3952775516,M
Rosalie,88.6057761387,F
Creach,87.4084007855,?
Birdie,69.4477704871,M
Eggers,62.2635183677,M
Mrs. Tarzec,55.0792662484,F
Jane Doe,50.2897648355,F
Dr. Brennan,47.895014129,M
Mrs. Flowers,45.5002634226,F
Rasekh,44.3028880694,M
Aqsaee,40.7107620097,M
Harry,38.3160113032,M
Mensforth,37.11863595,?
Fisher,34.7238852435,?
Rodriguez,31.1317591839,M
Sheyn Bagh,29.9343838306,?
Mr. Aqsaee,29.9343838306,M
Lily,29.9343838306,F
Dominick Rockett,28.7370084774,M
S&S Enterprises,26.342257771,?
Archer,25.1448824177,M
Jesus,22.7501317113,M
NCIS,21.5527563581,?
Charlie,21.5527563581,M
Marine Corps,21.5527563581,M
Rigg,21.5527563581,M
MCME,21.5527563581,?
Noonan,20.3553810048,M
Hunter,19.1580056516,M
Lejeune,16.7632549452,?
Mazda,14.3685042387,M
Sam,13.1711288855,?
Bird,11.9737535323,?
Stallings,11.9737535323,M
Gulpari,10.776378179,?
Skype,10.776378179,?
Khandan,10.776378179,?
Keever,10.776378179,?
Josie Cromwell,10.776378179,F
Joe Hawkins,10.776378179,M
Nelson,10.776378179,M
Jett,9.5790028258,?
Air Force,9.5790028258,?
Mr. Blanton,9.5790028258,?
Shannon,9.5790028258,?
Doc Larabee,8.3816274726,?
Sharp,8.3816274726,?
Rountree,8.3816274726,M
Hayel,8.3816274726,?
Griffin,7.1842521194,M
Taliban,7.1842521194,?
Reuben,7.1842521194,M
Coop,7.1842521194,M
Gran,7.1842521194,?
US Airways,7.1842521194,?
John-Henry Gross,7.1842521194,?
Andrews,7.1842521194,?
Pruet,5.9868767661,?
JPAC,5.9868767661,?
Chevy,5.9868767661,?
Mr. Story,5.9868767661,M
Intel,5.9868767661,?
Marianna,5.9868767661,F
Wayne Hightower,5.9868767661,M
Google,5.9868767661,?
Bronco Club,4.7895014129,?
Noushin,4.7895014129,?
Roberts,4.7895014129,?
Mr. Rasekh,4.7895014129,?
UCMJ,4.7895014129,?
Blondie,4.7895014129,?
FBI,4.7895014129,?
RCT,4.7895014129,?
Mecklenburg County Medical Examiner,4.7895014129,?
Dr. Larabee,4.7895014129,F
GSW,3.5921260597,?
Elkins,3.5921260597,?
Navy,3.5921260597,?
St. Vincent de Paul,3.5921260597,?
Harold,3.5921260597,?
Delta,3.5921260597,?
Cheryl Connelly,3.5921260597,?
Sharon Hall,3.5921260597,?
Linda,3.5921260597,?
Coke,3.5921260597,?
Zeno,3.5921260597,?
Ping,2.3947507065,?
Monsieur Le Dick,2.3947507065,?
Doe Network,2.3947507065,?
LAILA,2.3947507065,?
Queens University,2.3947507065,?
Pentagon,2.3947507065,?
Boyd,2.3947507065,?
Bruce,2.3947507065,?
MAHTAB,2.3947507065,?
BDA,2.3947507065,?
AFG,2.3947507065,?
LES FLEURS,2.3947507065,?
Jimmy,2.3947507065,?
American Board of Forensic Anthropology,2.3947507065,?
Nikon,2.3947507065,?
Huma,2.3947507065,?
Dell,2.3947507065,?
Heineken,2.3947507065,?
IRS,2.3947507065,?
DOD,2.3947507065,?
