NAME,# MENTIONS / 100K WORDS,GENDER
Wendy,5388.9662621152265,F
Frank,4658.499843674502,M
Jeff,71.0570445954012,M
Dom,59.687917460137,M
Anthony,54.003353892504904,M
Kurt Nielsen,51.161072108688856,M
Samuel,48.31879032487281,M
Dawn,48.31879032487281,F
Jesus,45.47650854105676,M
Will,36.949663189608614,M
André Chevalier,36.949663189608614,?
Stanley,22.73825427052838,M
Rick,19.89597248671233,M
Carmen,17.053690702896287,F
Jack,14.211408919080238,M
Johnson,14.211408919080238,M
Hoffman,11.36912713526419,M
Mary,8.526845351448143,F
Elizabeth,8.526845351448143,?
Nikki Sex,8.526845351448143,?
Donald,8.526845351448143,M
Neanderthal,5.684563567632095,?
Lelo,5.684563567632095,?
Christian Grey,5.684563567632095,?
