NAME,# MENTIONS / 100K WORDS,GENDER
Annie,1217.14112318637,F
Joey,905.831713100844,M
Chas,720.3946998730038,M
Seanie,472.0214882163207,M
Ryan Dean,465.2783240989447,M
Megan,318.0525742029018,F
JP,280.96517155733375,M
Casey,219.15283381472034,M
Kevin,218.028973128491,M
Mr. Farrow,118.00537205408017,M
Ned,73.05094460490677,M
Mr. Wellins,51.69759156654941,M
Isabel,48.32600950786141,F
Doc Mom,48.32600950786141,F
Mrs. Kurtz,46.07828813540274,F
Nick,34.839681273109385,M
Betch,25.848795783274706,?
Doc Dad,24.72493509704537,M
Joe,24.72493509704537,M
Pedro,16.857910293440025,M
Sean Russell Flaherty,16.857910293440025,M
Pussboy,15.73404960721069,?
Pokémon,13.48632823475202,?
Hickey,12.362467548522686,?
Bannock,12.362467548522686,?
Maxine,7.867024803605345,F
Hawthorne,6.74316411737601,?
Andrew Smith,6.74316411737601,M
John-Paul Tureau,6.74316411737601,?
Mike,5.619303431146675,M
Hemingway,5.619303431146675,?
Sam Bosma,4.49544274491734,M
Mr. West,4.49544274491734,?
Bill,4.49544274491734,M
American Literature,4.49544274491734,?
Buzzard,4.49544274491734,?
Sartre,4.49544274491734,?
Meg,3.371582058688005,F
Eighth Circle of Hell,3.371582058688005,?
House of Spirits,3.371582058688005,?
Mary Todd Lincoln,3.371582058688005,?
Gandhi,3.371582058688005,?
Rachel,3.371582058688005,F
Pine Mountain Academy,3.371582058688005,?
McAuliffe,2.24772137245867,?
Roger Daltrey,2.24772137245867,?
TSA,2.24772137245867,?
Connecticut Yankee,2.24772137245867,?
UPS,2.24772137245867,?
LUCY RUTH CUMMINS,2.24772137245867,?
Billy Budd,2.24772137245867,?
