NAME,# MENTIONS / 100K WORDS,GENDER
Robert,1202.288106856949,M
Anna,919.9604888764393,F
Eva,696.6046971059576,F
Karel,546.9636880980112,M
Frisch,367.83676598505065,M
Wolfgang,361.20243553642246,M
Sophie,230.72727004673519,F
Anna Beer,168.06970469858027,F
Kis,143.74382638694362,M
Anton,131.949461144938,M
Herr Seidel,124.57798286868449,M
Franz,100.98925238467322,M
Poldi,100.25210455704787,F
Karlchen,56.02323489952675,?
Frau Seidel,36.8573913812676,M
Rothmann,36.12024355364225,M
Mother,32.43450441551549,F
Ratenkolb,31.697356587890134,?
Herr Neumann,30.960208760264784,M
Anneliese Grotter,28.011617449763374,F
Klara,25.80017396688732,F
Fejn,25.063026139261968,?
Kranz,25.063026139261968,M
Vladimir,19.902991345884505,M
Gertrud,19.165843518259152,F
Klein,19.165843518259152,M
Hitler,18.4286956906338,M
Steinbeisser,15.480104380132392,?
Herr Kis,15.480104380132392,M
Franzl,14.005808724881687,?
Timofey,13.268660897256336,?
Mrs. Coburn,11.794365242005632,F
Frau Coburn,11.794365242005632,M
Aleksei,11.057217414380279,?
Walther PPK,10.320069586754927,M
Frau Doktor,9.582921759129576,M
Paul Hermann Seidel,8.845773931504224,M
Stalin,8.845773931504224,M
Fräulein Grotter,8.108626103878873,?
Wagner,8.108626103878873,M
Schiller,7.37147827625352,M
Vyleta,7.37147827625352,M
Yussuf,7.37147827625352,M
Wolfie,7.37147827625352,?
Sophicka,5.160034793377464,?
Arnim Rothmann,5.160034793377464,M
Liese,5.160034793377464,?
Lieschen,4.422886965752112,?
Kurras,3.68573913812676,?
Dickens,3.68573913812676,M
Bratschul,3.68573913812676,?
Teuben,3.68573913812676,?
Kleist,3.68573913812676,M
Reich,3.68573913812676,?
Schiefental,3.68573913812676,?
Rüdiger,3.68573913812676,?
Fräulein Hofer,2.948591310501408,?
HarperCollins,2.948591310501408,?
Chekhov,2.948591310501408,M
Yulia,2.948591310501408,?
Jacob,2.948591310501408,M
Bündl,2.211443482876056,?
Ludwig,2.211443482876056,?
Dad,2.211443482876056,?
Leopold Joseph,2.211443482876056,M
Müller-Uri,2.211443482876056,?
Liebling,2.211443482876056,M
Russkies,2.211443482876056,?
Pervitin,2.211443482876056,?
Grüss Gott,2.211443482876056,?
Stolzfuss,1.474295655250704,?
Kovalyov,1.474295655250704,?
Mayer,1.474295655250704,?
HarperCollins Publishers Ltd,1.474295655250704,?
Erdmann,1.474295655250704,?
Pfalhuhn,1.474295655250704,?
Maria Treu,1.474295655250704,?
Gerlinde,1.474295655250704,?
Herr Rothmann,1.474295655250704,?
Dostoevsky,1.474295655250704,?
St. Francis,1.474295655250704,?
