NAME,# MENTIONS / 100K WORDS,GENDER
Samuel,933.4840009264653,M
Reuben,602.2024607480506,M
Kate,340.4058198867186,F
Emily,220.38644833903015,F
Burr,149.49781368220835,M
God,123.52870989703601,M
Aliza,120.72123921755792,F
Randolph,119.31750387781888,M
Wilkinson,112.29882717912365,M
Lowde,103.87641514068937,F
Kneeland,97.55960611186367,M
Smith,96.85773844199414,M
Abrams,84.92598805421225,M
Crabbe,80.0129143651256,M
Horton,76.50357601577798,M
Stephen White,75.80170834590847,M
Cobb,75.80170834590847,M
Polly,75.80170834590847,F
Stirling,72.99423766643037,M
Reverend,61.06248727864848,?
Preacher-Father,59.65875193890944,?
Sam,56.851281259431346,M
Morrel,53.34194291008373,?
Pintado,53.34194291008373,M
Jesus,49.83260456073612,M
Deacon Kemper,48.42886922099707,M
Workman,44.217663201779935,M
Clark,42.81392786204089,M
Brother Zach,38.602721842823755,M
Adam,37.90085417295423,M
Nathan,36.49711883321518,M
Baker,29.47844213451996,M
Sara,29.47844213451996,F
Barker,28.074706794780912,M
Finch,27.37283912491139,M
Baton Rouge,25.267236115302822,?
Jefferson,24.565368445433297,M
Magee,23.161633105694253,M
Barbary,21.056030096085685,?
Claiborne,18.24855941660759,M
Ferdinand,18.24855941660759,M
Mister Kemper,17.54669174673807,M
Copperhead,16.844824076868548,?
Jasper,15.441088737129501,M
Bradford,15.441088737129501,M
Washburn,15.441088737129501,M
Elise,14.73922106725998,F
Rodney,14.037353397390456,M
Van Nuys,14.037353397390456,M
Mills,13.335485727520933,M
Negroe,13.335485727520933,F
Kempers,11.931750387781888,?
The Church,11.931750387781888,?
Lewis Kerr,9.124279708303796,M
William,9.124279708303796,M
Gutierrez,9.124279708303796,M
Thompson,9.124279708303796,M
Sister Magee,8.422412038434274,?
Briggs,8.422412038434274,M
Ezmina,7.720544368564751,?
Butler,7.720544368564751,M
Mead,7.720544368564751,M
Conny Fladeboe,6.3168090288257055,?
Nehemiah Hunter,6.3168090288257055,M
Fort Adams,6.3168090288257055,M
Samuel I,6.3168090288257055,M
Berwick,6.3168090288257055,?
Miss Kate,6.3168090288257055,F
Mister Horton,5.614941358956182,M
Brothers,5.614941358956182,?
Woolsack,5.614941358956182,?
Bradfords,5.614941358956182,?
Mister Stirling,4.9130736890866595,M
Tom,4.9130736890866595,M
Jackson,4.211206019217137,M
Randolphs,4.211206019217137,?
gore,4.211206019217137,?
Walker,4.211206019217137,M
Pointe Coupee,4.211206019217137,?
Pierre,4.211206019217137,M
Mister Reuben,3.509338349347614,M
David,3.509338349347614,M
Mrs. Randolph,3.509338349347614,F
Vera Cruz,2.807470679478091,?
Father Burke,2.807470679478091,M
Mister Smith,2.807470679478091,?
Wilson,2.1056030096085685,?
Mister White,2.1056030096085685,?
Mexican Association,2.1056030096085685,?
Jean,2.1056030096085685,?
Carlos,2.1056030096085685,?
Adair,1.4037353397390455,?
Bonaparte,1.4037353397390455,?
Kirkland,1.4037353397390455,?
Ruth,1.4037353397390455,?
Mister Clark,1.4037353397390455,?
Ed,1.4037353397390455,?
Bank,1.4037353397390455,?
Auger,0.7018676698695228,?
Bartons,0.7018676698695228,?
