NAME,# MENTIONS / 100K WORDS,GENDER
Murray,776.1571270602,M
Joanne,352.7986941183,F
Gina,276.9733031436,F
Anna,267.4951292718,F
Lisa,155.8633036702,F
Paula,144.2788689379,F
Nolan,140.0663472171,M
Melissa,126.3756516245,F
Sophie,117.9506081828,F
Billy,76.8785214049,M
Jane Eyre,69.5066083934,F
Simon,68.4534779632,M
Patti,60.0284345216,F
Glenda,56.869043231,F
Regina,54.7627823706,F
Liz,49.4971302196,F
Mary,44.2314780686,F
Catherine,44.2314780686,F
Sarah,42.1252172082,F
Casey,41.0720867779,M
Dwight,40.0189563477,M
MS. WEBER,38.9658259175,F
Elsie,36.8595650571,F
Deb,35.8064346269,F
Caroline,30.5407824759,F
David,30.5407824759,M
Clare,30.5407824759,F
Andy,29.4876520457,M
Dorene,29.4876520457,F
Francis,25.2751303249,M
Prospero,24.2219998947,M
Gallaudet University,22.1157390343,?
Margaret,21.0626086041,F
Joseph,21.0626086041,M
Kevin,20.0094781739,M
Carol,20.0094781739,F
Johanna,18.9563477437,?
ASL,18.9563477437,?
Jan,17.9032173135,M
Ed,16.8500868833,M
Mark,15.7969564531,M
Tommy,14.7438260229,M
Kurt,13.6906955926,M
Gary,13.6906955926,M
Sylva,13.6906955926,?
Task Force,13.6906955926,?
Mrs. Woodward,13.6906955926,F
Catholic,12.6375651624,?
Elizabeth,12.6375651624,F
Len,12.6375651624,M
Green Journal,11.5844347322,?
Mr. Scotton,11.5844347322,M
Laura,11.5844347322,F
Wilkie,10.531304302,?
Green Knowe,10.531304302,?
Diane,10.531304302,F
Miss Johnson,9.4781738718,F
Odysseus,9.4781738718,M
University of Saskatchewan,9.4781738718,?
Ruth,9.4781738718,F
St. Thomas More College,9.4781738718,?
Paulette,8.4250434416,F
Demeter,8.4250434416,?
White House,7.3719130114,M
University of Alberta,7.3719130114,?
Doreen,6.3187825812,F
Joe,6.3187825812,M
Roger,6.3187825812,M
Gally,6.3187825812,?
Monica,6.3187825812,F
Luke,6.3187825812,M
Maya Angelou,6.3187825812,F
Dylan Thomas,6.3187825812,M
Lady Lillian,5.265652151,F
Langley Hall,5.265652151,?
Mr. Ellis,5.265652151,M
First Nations,5.265652151,?
Thornfield Hall,5.265652151,?
Myklebust,5.265652151,M
Jonathan,5.265652151,M
Al Qaeda,4.2125217208,M
Penelope,4.2125217208,F
Shakespeare,4.2125217208,?
Peter,4.2125217208,M
Bess,4.2125217208,?
McCullough,4.2125217208,M
Chaucer,4.2125217208,?
Shelly,4.2125217208,?
Anneliese,4.2125217208,F
Heidi,4.2125217208,?
Helen Keller,3.1593912906,?
James,3.1593912906,?
Paul,3.1593912906,?
South Bank,3.1593912906,?
Karen,3.1593912906,?
Dawn,3.1593912906,?
Bill Lockert,3.1593912906,?
Walmart,3.1593912906,?
Miranda,3.1593912906,?
Leonard Cohen,3.1593912906,M
Minot State College,3.1593912906,?
John Tracy Clinic,3.1593912906,?
Plato,2.1062608604,?
Marshall McLuhan,2.1062608604,?
Jane Spilman,2.1062608604,?
Gler,2.1062608604,?
Desiree,2.1062608604,?
Lorne Hepworth,2.1062608604,?
Saskatchewan Weekly Newspapers Association,2.1062608604,?
Lear,2.1062608604,?
McLurg High School,2.1062608604,?
York University,2.1062608604,?
Dr. Buckwold,2.1062608604,?
Zossima,2.1062608604,?
George Washington University,2.1062608604,?
Damien,2.1062608604,?
North West Regional College,2.1062608604,?
