NAME,# MENTIONS / 100K WORDS,GENDER
Martha,757.5206827863966,F
Brett,664.4663186821176,M
Jeremy,270.43924567806096,M
Julia,263.1693734824142,F
Nico,261.71539904328483,M
Cortez,218.09616586940402,M
Jordan,213.73424255201593,M
Houdini,210.82629367375722,M
Henry,125.04180176512497,M
Culverson,122.13385288686625,?
McConnell,111.95603181296073,M
Rocky Milano,111.95603181296073,M
McGully,84.33051746950288,F
Kelli,56.70500312604504,F
Beau,55.25102868691568,M
Micah,55.25102868691568,M
God,53.79705424778632,M
Jesus,45.07320761301016,M
Alyssa,42.16525873475144,F
Ruth-Ann,33.44141209997528,?
Martha Cavatone,33.44141209997528,F
Ellen,33.44141209997528,F
Hank,30.533463221716563,M
Dr. Fenton,29.0794887825872,M
Capshaw,27.62551434345784,M
Naomi,26.171539904328483,F
Beth,21.8096165869404,F
Abigail,20.355642147811043,F
UNH,18.901667708681682,?
Nils Ryan,18.901667708681682,M
Maia,17.44769326955232,M
Robbie,17.44769326955232,M
Alice Fenton,15.993718830422962,?
O. Cavatone,15.993718830422962,M
Coast Guard,14.5397443912936,M
Mr. N.,13.085769952164242,M
CPD,11.63179551303488,?
Thompson Hall,10.177821073905521,?
Andy Blackstone,10.177821073905521,M
Impala,10.177821073905521,?
Office Depot,10.177821073905521,?
Mr. Maron,8.72384663477616,M
Jonathan,8.72384663477616,M
Michelson,8.72384663477616,M
Derek,8.72384663477616,M
Dan Dan,8.72384663477616,M
Frank Cignal,7.2698721956468,M
Porter,7.2698721956468,M
Mr. Phillips,7.2698721956468,?
Ruger,7.2698721956468,?
Clinton Street,7.2698721956468,?
DOJ,5.81589775651744,?
Sauer,5.81589775651744,?
Police House,5.81589775651744,?
Concord Police Department,5.81589775651744,?
Mr. Moran,5.81589775651744,M
Nathanael Palace,5.81589775651744,M
Canliss & Sons,5.81589775651744,?
Catherine,5.81589775651744,F
Mayfair Commission,4.36192331738808,?
Peter Zell,4.36192331738808,M
Alexander,4.36192331738808,?
Marcus Norman,4.36192331738808,?
Melwyn,4.36192331738808,?
Wilentz,4.36192331738808,?
Belewski,4.36192331738808,?
Pirelli,4.36192331738808,?
NASA,2.90794887825872,?
Hazel,2.90794887825872,?
Gonzales,2.90794887825872,?
Sally Simpson,2.90794887825872,?
Rogers,2.90794887825872,?
University of New Hampshire,2.90794887825872,?
Dylan,2.90794887825872,?
Jehovah,2.90794887825872,?
Kelly,2.90794887825872,?
NCIC,2.90794887825872,?
Senate,2.90794887825872,?
Annabelle Demetrios,2.90794887825872,?
YMCA,2.90794887825872,?
Alessandra Loomis,2.90794887825872,?
FBI,2.90794887825872,?
Mr. Norman,2.90794887825872,?
