NAME,# MENTIONS / 100K WORDS,GENDER
Johanna,385.8295334970186,F
Anna,175.00391799816413,F
Arthur,161.19763875310642,M
Oswald,155.2273558363247,M
Peter,137.31650708597954,M
Herr Konirsch-Lenz,64.55368403770234,M
Michael,62.314827943909194,M
Otto,57.09083039172519,M
Dr. Haarburger,55.598259662529756,M
Inge,48.13540601655261,M
Herr Schnabelberger,47.015977969656035,M
Eva,41.41883773517318,F
Adam,40.67255237057546,M
Franziska,39.55312432367889,M
Herr Kutschera,36.941125547586886,M
Brian,36.19484018298917,M
Fräulein Zinner,34.329126771494884,?
Frau Singule,33.95598408919603,M
Herr Buxinger,33.20969872459831,M
Kratzenstein,31.343985313104024,?
Herr Lever,29.851414583908596,M
Helmut,29.478271901609737,M
Karin,28.731986537012023,F
Herr Landau,28.358843854713164,M
Frau Dr. Kulka,27.23941580781659,F
Herr Saubermann,26.493130443218877,M
Hermann,25.00055971402345,M
Betty,24.254274349425735,F
Adler,23.881131667126876,M
Prenzel,21.269132891034875,M
Derek,21.269132891034875,M
Arno,20.895990208736016,M
Herr Doctor,20.149704844138302,M
Frau Saubermann,19.776562161839443,M
Siegfried,19.776562161839443,M
Fortunata,18.65713411494287,M
Roy Rogers,16.791420703448583,M
Resi Knispel,15.298849974253155,?
Herr Geschlieder,15.298849974253155,M
Eusemia,13.059993880460011,F
Jock,13.059993880460011,M
Hannah,11.940565833563438,F
Sylvia,11.567423151264581,F
Jolan Haarburger,11.567423151264581,M
Mrs. Mackintosh,11.194280468965722,F
Mother,10.447995104368008,F
Scher,10.447995104368008,M
Kauders,10.074852422069151,?
Frau Haarburger,9.701709739770294,M
Dr. Blecha,9.328567057471435,M
Fräulein Knispel,9.328567057471435,?
Frau Lever,9.328567057471435,M
Mitzi,8.209139010574864,F
Eugene Lebenhart,8.209139010574864,M
Shepherd,7.835996328276006,?
Frau Fixler,7.835996328276006,M
Woticky,7.835996328276006,M
Frau Meisenbach,7.462853645977149,M
Herr Meisenbach,7.089710963678291,M
Buxi,7.089710963678291,?
Frau Holoubek,6.343425599080576,?
Frau Minna,6.343425599080576,F
Eberhard S.,6.343425599080576,M
Herr Nerad,5.970282916781719,M
International Society of Sociologists,5.223997552184004,?
Sociology Conference,5.223997552184004,?
Kolex,5.223997552184004,?
Ida,5.223997552184004,F
Karl Strauss,4.850854869885147,M
Eli,4.850854869885147,M
Frau Landau,4.850854869885147,M
Guido,4.104569505287432,M
Mrs. Stonewood,4.104569505287432,F
Ron,3.7314268229885745,M
Lenz School,3.7314268229885745,M
Search Office,3.358284140689717,?
MacKenzie,3.358284140689717,M
Oswald Bergmann,3.358284140689717,M
Fräulein Bergmann,3.358284140689717,?
Jim,2.9851414583908595,M
Herr Professor,2.9851414583908595,?
Mrs. Byrdwhistle,2.9851414583908595,F
Herr Singule,2.9851414583908595,M
Petula,2.9851414583908595,?
Mommy,2.9851414583908595,?
Simmonds,2.611998776092002,?
Frau Konirsch-Lenz,2.611998776092002,?
Patricia,2.611998776092002,?
Frau Doctor,2.611998776092002,?
Albert Landau,2.611998776092002,?
HAL,2.2388560937931445,?
Dr. Singule,2.2388560937931445,?
Klara Singule,2.2388560937931445,F
Mr. Birch,2.2388560937931445,M
Hans Georg,1.8657134114942873,M
Mr. Simmonds,1.8657134114942873,M
Hopalong Cassidy,1.8657134114942873,M
Richard,1.8657134114942873,M
Frau Krumbholc,1.8657134114942873,?
Santi,1.8657134114942873,M
Frau Kutschera,1.8657134114942873,?
Recovery of Enemy Goods,1.4925707291954298,?
Sidney,1.4925707291954298,?
Olga,1.4925707291954298,?
Fräulein Michelup,1.4925707291954298,?
Herr Schallinger,1.4925707291954298,M
Elias,1.1194280468965723,?
Eduard,1.1194280468965723,?
bush,1.1194280468965723,?
Emmi Lebenhart,1.1194280468965723,?
Fräulein Greger,1.1194280468965723,?
Alfred,1.1194280468965723,?
Mischa,1.1194280468965723,?
Czeslaw Milosz,1.1194280468965723,M
British Embassy,0.7462853645977149,?
Twyn Croes,0.7462853645977149,?
Hilarius Prenzel,0.7462853645977149,?
Davy,0.7462853645977149,?
Insecta,0.7462853645977149,?
Arber,0.7462853645977149,?
Tom,0.7462853645977149,?
Arthur Kutschera,0.7462853645977149,?
Dick,0.7462853645977149,?
Harry,0.7462853645977149,?
Pfahl,0.7462853645977149,?
Bureau for Refugees,0.7462853645977149,?
Herr Birch,0.7462853645977149,?
