NAME,# MENTIONS / 100K WORDS,GENDER
Hannah,1079.1148095429273,F
Joumana,334.56208864070464,F
Fadia,268.86626032580267,M
Ahmad,194.65430611822816,M
Marie-Thérèse,81.51149068700803,?
Anna Karenina,53.52993418251275,F
Schulz,48.66357652955704,M
Pessoa,45.01380828984026,M
Yourcenar,38.93086122364563,F
Bruckner,38.93086122364563,M
Richter,35.28109298392885,M
Aaliya,32.847914157451,?
Mother,25.548377678017445,F
Ophelia,24.33178826477852,F
Beiruti,21.898609438300667,?
Abdallah,20.682020025061743,M
Proust,19.465430611822814,M
Garnett,18.24884119858389,M
Sebald,17.032251785344965,?
Arab,17.032251785344965,M
Mr. Azari,15.815662372106038,M
Walter Benjamin,15.815662372106038,M
Faulkner,15.815662372106038,M
Maryam,15.815662372106038,F
Sabra,14.599072958867112,?
Hajj Wardeh,13.382483545628187,?
Mahler,12.16589413238926,M
Coetzee,12.16589413238926,M
Hadrian,10.949304719150334,?
Jacques Austerlitz,10.949304719150334,M
Chopin,9.732715305911407,M
Landau,9.732715305911407,M
Mr. Hayek,9.732715305911407,M
Levi,9.732715305911407,M
Borowski,9.732715305911407,M
Dante,8.516125892672482,M
Shirley MacLaine,8.516125892672482,F
Nabokov,8.516125892672482,M
Brodsky,8.516125892672482,M
Muhammad,8.516125892672482,M
Hemingway,8.516125892672482,?
Venus,7.299536479433556,F
Noah,7.299536479433556,M
Einaudi,7.299536479433556,M
Tolstoy,7.299536479433556,?
Cavafy,7.299536479433556,?
Kafka,7.299536479433556,M
Spinoza,7.299536479433556,?
Danilo Kiš,7.299536479433556,?
Pavese,6.08294706619463,?
Javier Marías,6.08294706619463,?
Dr. Mira,6.08294706619463,F
Marcello,6.08294706619463,M
Gabriel,6.08294706619463,M
Flaubert,6.08294706619463,?
Gould,6.08294706619463,M
Jesus,6.08294706619463,M
Hamsun,4.8663576529557035,?
Beckett,4.8663576529557035,M
Alice Munro,4.8663576529557035,?
Emma,4.8663576529557035,?
Maysoura,4.8663576529557035,?
Kertész,4.8663576529557035,?
Camus,4.8663576529557035,?
Joseph Conrad,4.8663576529557035,?
Asmahan,4.8663576529557035,?
Schopenhauer,4.8663576529557035,?
Rilke,4.8663576529557035,?
Virgil,4.8663576529557035,M
Swann,3.649768239716778,?
Thanatos,3.649768239716778,?
Günther,3.649768239716778,?
Odysseus,3.649768239716778,M
Beethoven,3.649768239716778,?
Raskolnikov,3.649768239716778,?
Eshmun,3.649768239716778,?
Joseph Roth,3.649768239716778,?
Sartre,3.649768239716778,?
Hussein,3.649768239716778,?
Dostoyevsky,3.649768239716778,?
Bach,3.649768239716778,?
Kant,3.649768239716778,?
Heidegger,3.649768239716778,?
Álvaro de Campos,3.649768239716778,?
Freud,3.649768239716778,M
Matisse,3.649768239716778,?
Welty,3.649768239716778,?
Bush,3.649768239716778,?
Nooteboom,3.649768239716778,?
Chanel,3.649768239716778,F
Nancy,3.649768239716778,?
Yasser Arafat,3.649768239716778,?
Rubinstein,3.649768239716778,?
Lear,2.4331788264778518,?
Moses,2.4331788264778518,?
Starbucks,2.4331788264778518,?
Miss Jean Brodie,2.4331788264778518,?
Nuruddin Farah,2.4331788264778518,?
Herzog,2.4331788264778518,?
Rubens,2.4331788264778518,?
Helen Garner,2.4331788264778518,?
Nixon,2.4331788264778518,?
David Malouf,2.4331788264778518,?
Ricardo Reis,2.4331788264778518,?
Czesław Miłosz,2.4331788264778518,?
Priam,2.4331788264778518,?
Mozart,2.4331788264778518,?
Wittgenstein,2.4331788264778518,?
Antonio Muñoz Molina,2.4331788264778518,?
Hedayat,2.4331788264778518,?
Karasu,2.4331788264778518,?
Milan Kundera,2.4331788264778518,?
Hector,2.4331788264778518,?
Murphy,2.4331788264778518,?
KENZO,2.4331788264778518,?
Milton,2.4331788264778518,?
Calvino,2.4331788264778518,?
Humbert,2.4331788264778518,?
Cioran,2.4331788264778518,?
Goldberg,2.4331788264778518,?
Thomas Bernhard,2.4331788264778518,?
