NAME,# MENTIONS / 100K WORDS,GENDER
Harriet,677.5993622594237,F
Lena,306.05853547431957,F
Father,294.67031089853094,M
Undine,233.45860380366702,F
Feely,199.2939300763011,M
Dogger,196.44687393235395,?
Aunt Felicity,189.32923357248606,F
Daffy,175.09395285275025,M
Buckshaw,146.62339141327868,?
Mrs. Mullet,145.1998633413051,F
Adam,126.69399840564856,M
Flavia,123.8469422617014,F
Tristram Tallis,116.72930190183351,M
Hewitt,88.25874046236191,M
Dieter,61.21170709486391,M
Esmeralda,52.670538663022434,F
Dr. Darby,52.670538663022434,M
Gladys,45.552898303154535,F
Terence Tardiman,38.43525794328664,M
Lacey,35.58820179933948,M
Ibu,34.1646737273659,?
Peregrine,34.1646737273659,M
Bishop,31.317617583418745,?
Mr. Churchill,29.894089511445166,M
Dame Agatha Dundurn,28.470561439471588,F
Mrs. Spirling,25.623505295524428,F
Winston Churchill,25.623505295524428,M
Rook,22.776449151577268,M
Miss Aurelia,21.35292107960369,F
Tarquin,21.35292107960369,M
Cynthia,21.35292107960369,F
Miss Flavia,21.35292107960369,?
Bunny,21.35292107960369,M
Samson,19.92939300763011,M
St. Tancred 's,19.92939300763011,?
Alf,19.92939300763011,M
Mr. Cruickshank,18.505864935656533,M
Miss Lavinia,18.505864935656533,F
Woolmer,17.08233686368295,M
Jack,17.08233686368295,?
Denwyn Richardson,15.658808791709372,M
Miss de Luce,14.235280719735794,F
ATP,14.235280719735794,?
Marguerite,12.811752647762214,F
Haviland,12.811752647762214,M
Mr. Tallis,12.811752647762214,M
Hinley,11.388224575788634,?
Mr. Mitchell,9.964696503815055,M
Paul,9.964696503815055,M
Flossie Foster,9.964696503815055,F
Daphne,9.964696503815055,F
Bonggggggg,8.541168431841475,?
Hilda Silfverling,8.541168431841475,F
Max,8.541168431841475,M
Kim,8.541168431841475,M
Mrs. Darby,8.541168431841475,F
Miss Bodycote,7.117640359867897,?
Ophelia,7.117640359867897,F
Beethoven,7.117640359867897,?
John,7.117640359867897,M
Morris,7.117640359867897,M
Mr. Haskins,7.117640359867897,M
Rolls-Royce,7.117640359867897,?
Delilah,5.694112287894317,F
Sembawang,5.694112287894317,?
Female Academy,5.694112287894317,?
Lane,5.694112287894317,?
Hannah,5.694112287894317,F
Annabella Cruickshank,5.694112287894317,?
Mr. Sowerby,4.270584215920738,?
Lancelot Cruickshank,4.270584215920738,?
Clarence Mundy,4.270584215920738,?
Miss Harriet,4.270584215920738,F
BBC,4.270584215920738,?
Goodger Hill,4.270584215920738,?
Anne,2.8470561439471584,?
RAF,2.8470561439471584,?
Eileen Joyce,2.8470561439471584,?
Chemical Abstracts & Transactions,2.8470561439471584,?
Tchaikovsky,2.8470561439471584,?
Bert Archer,2.8470561439471584,?
Mr. Tristram,2.8470561439471584,?
Richardsons,2.8470561439471584,?
Army,2.8470561439471584,?
Pooker,2.8470561439471584,?
Sheila,2.8470561439471584,?
Shakespeare,2.8470561439471584,?
Leopold,2.8470561439471584,?
NCO,2.8470561439471584,?
