NAME,# MENTIONS / 100K WORDS,GENDER
Jace,1332.7661278214302,M
Clary,1077.0231720134127,M
Isabelle,991.9423452279666,F
Simon,878.8348931484911,M
Sebastian,765.2269656173364,M
Alec,671.6380561533457,M
Emma,614.0833792102497,F
Magnus,536.0092087483109,M
Jocelyn,493.4687953555878,F
Julian,252.23962764626395,M
Maia,243.73154496771934,M
Luke,211.20064060857814,M
Helen,197.18732796156348,F
Raphael,167.15880086081776,M
Jordan,154.6469145688404,M
Jonathan,134.1274210499975,M
Zachariah,121.61553475802012,M
Maureen,114.60887843451279,F
Mark,114.1084029828337,M
Shadowhunters,113.6079275311546,?
Jia,104.09889394925179,M
Valentine,92.0874831089535,M
Ty,91.08653220559532,M
Tessa,77.07321955858065,F
Maryse,74.07036684850608,F
Nephilim,73.0694159451479,?
Catarina,69.56608778339422,F
Jules,65.56228416996146,M
Lily,65.06180871828236,F
Leila,62.559431459886895,F
Robert,58.55562784645413,M
Bat,57.05420149141685,?
Rufus,55.55277513637956,M
Clave,55.052299684700465,?
Idris,51.5489715229468,M
Los Angeles Institute,48.54611881287223,M
Diana,48.045643361193136,F
Council,45.042790651118565,?
Gard,39.037085230969424,M
Amatis,39.037085230969424,?
Izzy,38.53660977929032,M
Aline,33.031379810820276,F
Adamant Citadel,30.529002552424803,?
Sebastian Morgenstern,29.027576197387518,M
Max,28.026625294029326,M
Dru,24.022821680596568,F
Meliorn,23.021870777238377,?
Asmodeus,22.521395325559283,?
Tavvy,21.52044442220109,?
Matthias,20.019018067163806,M
Katerina,19.518542615484712,F
Gwyn,19.018067163805615,M
Malcolm,18.51759171212652,M
Jace Herondale,17.51664080876833,M
Heosphoros,17.51664080876833,?
Brothers,17.016165357089235,?
Blackthorns,15.014263550372855,?
Eric,15.014263550372855,M
James Herondale,15.014263550372855,M
Val,14.513788098693759,F
Magdalena,14.013312647014663,F
Elaine,14.013312647014663,F
Livvy,13.51283719533557,?
Lightwoods,13.012361743656474,?
Michael Wayland,13.012361743656474,M
Livia,12.011410840298284,F
Lilith,11.510935388619188,?
Arthur,11.010459936940093,M
Daylighter,10.509984485260999,?
Mark Blackthorn,10.009509033581903,M
Clarissa,10.009509033581903,F
Mr. Blackthorn,10.009509033581903,M
Tiberius,9.509033581902807,?
Andrew Blackthorn,9.008558130223712,M
Jonathan Morgenstern,9.008558130223712,M
Enoch,8.007607226865522,M
Simon Lewis,8.007607226865522,M
Cortana,8.007607226865522,?
Patrick,8.007607226865522,M
Judas,8.007607226865522,M
Lord Montgomery,7.507131775186427,M
Downworlder,7.507131775186427,?
Camille,7.006656323507332,F
Kaelie,7.006656323507332,?
Seelie Court,7.006656323507332,?
Drusilla,6.506180871828237,F
Balogh,5.505229968470046,F
London Institute,5.0047545167909515,?
Alexander,5.0047545167909515,?
Cassandra Clare,5.0047545167909515,F
Kadir,5.0047545167909515,M
Lucifer,4.504279065111856,M
Scott,4.504279065111856,M
Stephen,3.503328161753666,M
Zeke,3.503328161753666,M
Raziel,3.503328161753666,?
Jason,3.503328161753666,M
Rebecca,3.503328161753666,F
Sedgewick,3.503328161753666,F
Daniel,3.002852710074571,M
Amalric Kriegsmesser,3.002852710074571,?
Joyeuse,3.002852710074571,?
Jones,3.002852710074571,M
Kirk,2.5023772583954758,?
Chopin,2.5023772583954758,M
John Carstairs,2.5023772583954758,M
Cleophas,2.0019018067163805,?
Faerie Court,2.0019018067163805,?
Mother,2.0019018067163805,?
Hodge,2.0019018067163805,?
Durendal,2.0019018067163805,?
Phaesphoros,2.0019018067163805,?
Matt,1.5014263550372855,?
Theresa Gray,1.5014263550372855,?
Tomas,1.5014263550372855,?
Azazel,1.5014263550372855,?
Erchomai,1.5014263550372855,?
Octavian,1.5014263550372855,?
New York Institute,1.5014263550372855,?
Lazlo,1.5014263550372855,?
mica,1.5014263550372855,?
Bartholomew,1.5014263550372855,?
Smith,1.0009509033581903,?
Josiane Pontmercy,1.0009509033581903,?
Caesar,1.0009509033581903,?
Nasreen Choudhury,1.0009509033581903,?
Lucian Graymark,1.0009509033581903,?
Lucie,1.0009509033581903,?
MARGARET K. McELDERRY,1.0009509033581903,?
