NAME,# MENTIONS / 100K WORDS,GENDER
Sachs,1050.1020475343998,M
Sellitto,478.96504048982814,M
Thom,383.5012179867009,M
Berger,378.5634340641254,F
Carole,378.5634340641254,F
Dellray,320.9559549674106,M
Lincoln,315.19520705773914,M
Cooper,307.7885311738758,M
Jerry Banks,162.12390545789717,M
Hanna,127.55941799986833,M
Chloe,120.97570610310093,F
Taylor,92.9949305418395,M
Peretti,83.94232668378432,F
Monelle,79.00454276120877,M
Stanton,78.18157877411285,M
Schneider,76.535650799921,M
Pammy,58.43044308381065,M
Nick,50.200803212851405,M
Haumann,47.73191125156363,M
Everett,46.08598327737178,M
ESU,37.856343406412535,F
UN,36.210415432220685,F
Dobyns,36.210415432220685,M
Jesus,31.272631509645137,M
Blaine,29.626703535453288,M
T.J.,28.803739548357363,?
Perkins,28.803739548357363,M
Esther,27.98077556126144,F
Kate,26.33484758706959,F
Maggie,26.33484758706959,F
Tammie Jean Colfax,25.511883599973665,F
John,24.68891961287774,M
NYPD,23.865955625781815,?
Amie,23.865955625781815,F
Sachs 's,21.39706366449404,M
IRD,20.574099677398117,?
Richard Logan,19.751135690302192,M
Jim,18.105207716110343,M
Pete Taylor,18.105207716110343,M
Eckert,17.282243729014418,M
Emma,16.459279741918493,F
Patrol,16.459279741918493,?
Bureau,15.636315754822569,F
FBI,15.636315754822569,?
Van Brevoort,13.99038778063072,F
Linc,13.167423793534795,?
Saul,13.167423793534795,M
Wilson,11.521495819342945,M
Magna-Brush,11.521495819342945,F
Sam Walensa,11.521495819342945,M
Dan Shepherd,10.69853183224702,?
Eddie,10.69853183224702,M
Ron,9.875567845151096,M
Pietrs,9.875567845151096,M
Marge,9.875567845151096,F
Slocum,9.052603858055171,M
RRV,9.052603858055171,?
Jimmy,8.229639870959247,M
Rodman,8.229639870959247,M
Schwarzie,8.229639870959247,?
ASAC,8.229639870959247,?
Billy,7.406675883863322,M
EMS,7.406675883863322,?
Jackie,6.583711896767397,?
Pulaski,6.583711896767397,?
Bitte,6.583711896767397,?
Owney Madden,5.760747909671473,M
Ford,5.760747909671473,?
Toby Dolittle,5.760747909671473,M
Herr Neischen,5.760747909671473,M
Edmond Locard,5.760747909671473,M
SCI,4.937783922575548,?
COC,4.937783922575548,?
Roger,4.937783922575548,?
Amtrak,4.114819935479623,?
Hertz,4.114819935479623,M
Walsh,4.114819935479623,M
Señor Ortega,3.2918559483836987,?
Gim,3.2918559483836987,?
Pooh,3.2918559483836987,?
DFO,3.2918559483836987,?
Lethe Society,3.2918559483836987,?
UNESCO,3.2918559483836987,?
Evelyn,3.2918559483836987,F
NYU,2.468891961287774,?
Kevorkian,2.468891961287774,M
Jeffery Deaver,2.468891961287774,F
U.S. Army,2.468891961287774,?
CSU,2.468891961287774,?
Gott,2.468891961287774,?
New York Public Library,2.468891961287774,?
Alice,2.468891961287774,F
CNN,2.468891961287774,?
Sears,1.6459279741918493,?
Herman Sachs,1.6459279741918493,?
Morgan Stanley,1.6459279741918493,?
Motorola,1.6459279741918493,?
Chez Nord,1.6459279741918493,?
ATF,1.6459279741918493,?
BATF,1.6459279741918493,?
Riker,1.6459279741918493,?
Harry Pigeon,1.6459279741918493,?
