NAME,# MENTIONS / 100K WORDS,GENDER
Mason,2916.274694261524,M
Ava,2571.3389777359675,F
Jake,1152.6691969161234,M
Henley,508.21249770223073,M
Jayne,418.46433321438997,F
Lilian,404.4073917885836,F
Kent,350.34223245855907,M
Lucas,317.90313686054435,M
Robin,308.1714081811399,M
Duncan,220.58585006650014,M
Sanford,201.12239270769132,M
Ray,195.71587677468887,M
Wells,176.25241941588,M
Josie,160.03287161687265,F
Wyatt,129.7563823920589,M
FBI,107.0490154734486,F
Brynn,94.07337723424271,F
McKenzie,80.01643580843633,M
Jerry,58.39037207642651,M
Tom,40.008217904218164,M
Schefte,40.008217904218164,?
Morales,31.357792411414238,M
Clackamas County Sheriff 's Office,27.03257966501227,?
SERT,23.7886701052108,?
Mr. Jopek,23.7886701052108,M
Wolf,18.382154172208345,M
Forest Service,17.300850985607855,M
Hale,17.300850985607855,M
Josh,14.056941425806382,M
Euzent,10.81303186600491,?
Duke,10.81303186600491,?
Hunsinger,9.731728679404418,?
Christine,9.731728679404418,F
Denny,9.731728679404418,?
Oregon State Police,7.569122306203436,?
Parek,6.487819119602945,?
Honda,5.406515933002455,?
Jill,5.406515933002455,?
David,5.406515933002455,M
Portland Police Department,4.325212746401964,?
Kindy,4.325212746401964,?
Kylie,4.325212746401964,?
Alward,4.325212746401964,M
Suarez,3.2439095598014727,?
Toyota Sienna,3.2439095598014727,?
Eric,2.162606373200982,?
Oprah,2.162606373200982,?
Starbucks,2.162606373200982,?
Lincoln,2.162606373200982,?
Chevy,2.162606373200982,?
CNN,2.162606373200982,?
Jayne Mansfield,2.162606373200982,?
