NAME,# MENTIONS / 100K WORDS,GENDER
Carl,1351.819357222017,M
Lila,1129.017362393794,F
Jeremy,655.7074251939416,M
Crystal Hagen,394.80975249353526,F
Lockwood,310.53749538234206,M
Virgil,252.8167713335796,M
Dan,247.04469892870335,M
Rupert,202.02253417066865,M
Andrew,160.46361285555966,M
Larry,107.36054673069819,M
Joe,107.36054673069819,M
Danny,102.7428888067972,M
Mrs. Lorngren,100.4340598448467,F
Gibbs,91.1987439970447,M
Collins,81.9634281492427,M
Doug,79.6545991872922,M
Janet,71.57369782046545,F
Sanden,69.26486885851496,?
Mr. Iverson,55.41189508681197,M
Paul,45.02216475803473,M
Bill,40.40450683413373,M
Tater,34.63243442925748,M
Phyllis,30.014776505356483,F
Andy Fisher,28.860362024381235,M
Austin,27.705947543405983,?
Jack Daniels,26.551533062430735,M
Mr. Bremer,24.242704100480235,M
Joey,24.242704100480235,M
Jesus,24.242704100480235,M
Bremer,23.088289619504987,M
Molly,23.088289619504987,F
Mr. Lockwood,21.93387513852974,M
John Peterson,21.93387513852974,M
Danielle,21.93387513852974,F
Tom,19.62504617657924,M
L. Nash,16.16180273365349,?
Buddy,13.852973771702992,M
Creepy Carl,13.852973771702992,M
Mrs. Tate,12.698559290727744,F
Mrs. Lockwood,11.544144809752494,F
Twins,10.389730328777244,?
Laura,8.080901366826746,F
Ronnie,8.080901366826746,M
Mr. Collins,8.080901366826746,M
BCA,6.926486885851496,?
Reid,6.926486885851496,?
Cain,6.926486885851496,?
Department of Defense,6.926486885851496,?
Kevin,6.926486885851496,M
Ricky,5.772072404876247,M
Jackson Pollock,5.772072404876247,M
Mr. Gray,5.772072404876247,M
Jack Sparrow,5.772072404876247,?
William,5.772072404876247,?
Hoss,5.772072404876247,?
Ann,5.772072404876247,F
Catholic,4.617657923900998,?
Dani,4.617657923900998,F
Da Nang,4.617657923900998,?
Pascal,4.617657923900998,?
Mr. Prick,4.617657923900998,M
Melissa,4.617657923900998,F
Mrs. Albers,3.463243442925748,F
University of Minnesota,3.463243442925748,?
Piedmont Club,3.463243442925748,?
Virg,3.463243442925748,?
Mr. Warner,3.463243442925748,?
Mrs. Bollinger,3.463243442925748,F
Walmart,2.308828961950499,?
Amanda,2.308828961950499,?
Raggedy Andy,2.308828961950499,?
Jeffrey Dahmer,2.308828961950499,?
Betty,2.308828961950499,?
Woody,2.308828961950499,?
Ms. Nelson,2.308828961950499,?
Department of Corrections,2.308828961950499,?
Doug got Danny,2.308828961950499,?
Levitz,2.308828961950499,?
