NAME,# MENTIONS / 100K WORDS,GENDER
Billy,403.2857874816125,M
Harley,209.90694676297042,M
Murphy,188.42040890534355,M
Sylvia,181.80916648761217,F
Emily Kuratowski,142.14171198122406,F
Donald,115.69674231029866,M
Nat,87.59896203494041,M
Ramona,67.76523478174636,F
Maria Cortez,61.15399236401501,F
Douglas,61.15399236401501,M
Laura,61.15399236401501,F
Sheldon Cohen,57.84837115514933,M
Leon,54.54274994628366,M
Tommy,49.58431813298514,M
Mrs. Klink,49.58431813298514,F
Meg Caro,47.9315075285523,?
Martin,44.62588631968663,M
Delilah Zorn,28.097780275358247,F
Charlton Heston,26.44496967092541,M
Cletus,23.139348462059733,M
Gladys,21.486537857626896,F
Leica,21.486537857626896,?
Claire,19.833727253194056,F
Ralph,19.833727253194056,M
DAVE,18.18091664876122,M
William Marshall,18.18091664876122,M
Juan,14.875295439895542,M
Sarah,14.875295439895542,F
Bill Styron,13.222484835462705,M
John Lewis,13.222484835462705,M
Tully,13.222484835462705,M
Cissy,11.569674231029866,?
Abraham Chen,11.569674231029866,M
Virgil,9.916863626597028,M
Gang of Six,9.916863626597028,?
Buddy Davies,9.916863626597028,M
Lang,9.916863626597028,?
Mrs. Hobble,9.916863626597028,F
Watteau,8.264053022164191,?
Lincoln,8.264053022164191,M
Miss Caro,6.6112424177313525,F
Federal Hill,6.6112424177313525,M
Hoover,6.6112424177313525,M
Kennedy,6.6112424177313525,M
Doc,6.6112424177313525,?
Cicero,6.6112424177313525,?
Philip,6.6112424177313525,?
Ansel Adams,4.958431813298514,?
Andy,4.958431813298514,?
Marx,4.958431813298514,M
Motherfucker,4.958431813298514,?
Wittgenstein,4.958431813298514,?
FBI,4.958431813298514,?
Lodovico,3.3056212088656762,?
Russell,3.3056212088656762,?
Dante,3.3056212088656762,?
Antony,3.3056212088656762,?
Sadie,3.3056212088656762,?
Kant,3.3056212088656762,?
Tracy,3.3056212088656762,?
Zermelo,3.3056212088656762,?
Freud,3.3056212088656762,?
Carrie Caro,3.3056212088656762,?
William Styron,3.3056212088656762,?
Tychonoff,3.3056212088656762,?
Leibniz,3.3056212088656762,?
SNCC,3.3056212088656762,?
