NAME,# MENTIONS / 100K WORDS,GENDER
Ann,484.24529143979294,F
Mother,423.9935731500491,F
Mac,386.0573060787289,M
Betty,246.5857359635812,F
George Allard,210.88101401410336,M
Mrs Mac,179.63938230831027,F
Margaret,159.555476211729,F
Jimmy,156.20815852896547,M
Mrs Horrod,119.38766401856645,F
Runnicles,117.1561188967241,M
Mary,94.84066767830045,F
Mr Mackintosh,92.60912255645809,M
Danky,82.56716950816745,?
Mrs Lusher,66.94635365527091,F
Mr Allard,63.599035972507366,M
William,59.135945728822634,M
Bell,56.904400606980275,M
Thomas,46.86244755868964,M
Keppie,37.93626707132018,M
Zeppelin,33.473176827635456,?
Thorogood,33.473176827635456,M
James,31.24163170579309,M
Ellen,29.010086583950727,F
Rose,26.778541462108365,M
MacNair,26.778541462108365,M
Mrs Mollett,26.778541462108365,M
Vic,23.43122377934482,M
Miss Cranston,22.315451218423636,F
Lea House,22.315451218423636,?
Frances,21.199678657502453,M
Fred Tilson,21.199678657502453,M
Watson,20.083906096581273,M
Mayhew,20.083906096581273,M
Glasgow School of Art,18.96813353566009,M
Bly,17.85236097473891,M
Mrs Kerridge,17.85236097473891,F
Meg,16.736588413817728,F
Gleave,16.736588413817728,?
Tommy,15.620815852896545,M
Mrs Cady,14.505043291975364,F
Tom,14.505043291975364,M
Zimmer,12.273498170133,M
Toshie,12.273498170133,?
Dora,11.157725609211818,?
Muthesius,10.041953048290637,M
Mr Horrod,10.041953048290637,M
Blythburgh,10.041953048290637,?
Jim,8.926180487369455,M
Der Vogel,8.926180487369455,M
Abb,7.810407926448272,?
Hertz,7.810407926448272,?
Mr Hutchison,7.810407926448272,M
Royal Sussex,7.810407926448272,M
Napoleon,7.810407926448272,M
Tibbles,6.694635365527091,?
Rundschau,6.694635365527091,?
Blyfield House,6.694635365527091,?
Liverpool,5.578862804605909,?
Waerndorfer,5.578862804605909,?
Mrs Allard,5.578862804605909,F
Honeyman,4.463090243684728,?
Betty Maclellan,4.463090243684728,?
Jordanhill,4.463090243684728,?
Mrs Herr Macdonald,4.463090243684728,?
Sylvan,4.463090243684728,?
Aye,4.463090243684728,?
Jessie,3.3473176827635456,?
Wideawake,3.3473176827635456,?
Ned Walpole,3.3473176827635456,M
Whatman,3.3473176827635456,?
Royal Navy,3.3473176827635456,M
Veronica,3.3473176827635456,F
Blyth,3.3473176827635456,?
Dingle Farm,3.3473176827635456,?
Miss Gwen Harding,3.3473176827635456,F
Deen Wettbewerb,3.3473176827635456,?
Sogg,2.231545121842364,?
Lewis,2.231545121842364,?
Renfrew,2.231545121842364,?
Spence,2.231545121842364,?
Spook School,2.231545121842364,?
Leonardo,2.231545121842364,?
Lea Lane,2.231545121842364,?
Herr Mackintosh,2.231545121842364,?
