NAME,# MENTIONS / 100K WORDS,GENDER
Jacob,492.74744027303757,M
Ilan,273.03754266211604,M
Macheko,266.6382252559727,M
Roy,153.5836177474403,M
Eddy,66.12627986348123,M
Gene Hackman,63.99317406143345,M
Ellison,40.52901023890785,M
Sidwell,38.39590443686007,M
Morris,38.39590443686007,M
David,36.262798634812285,M
Loch Ness,34.129692832764505,M
Norm,31.996587030716725,M
Annalise,29.86348122866894,?
Jenny Craig,29.86348122866894,?
Lucille,27.730375426621162,F
Helen Magramm,25.59726962457338,F
Jonathan,23.4641638225256,M
Maggie,23.4641638225256,F
McDonald,21.331058020477816,?
Trish,19.197952218430036,?
Boo,19.197952218430036,M
Alice,17.064846416382252,F
Augustine,17.064846416382252,?
Nero,14.93174061433447,M
Abu Dhabi,12.79863481228669,?
Cain,12.79863481228669,M
Bardo,12.79863481228669,?
Betsy,10.665529010238908,F
Norman Mailer,10.665529010238908,M
Coke,10.665529010238908,?
Bolaño,10.665529010238908,?
Marcia Clark,8.532423208191126,?
Groupon,8.532423208191126,?
Majorana,8.532423208191126,?
Rommel,8.532423208191126,M
Esther,8.532423208191126,F
Walter Mitty,8.532423208191126,?
Jenny Consultant,8.532423208191126,?
New York Post,8.532423208191126,M
McDonaldland,6.399317406143345,?
Tina Turner,6.399317406143345,?
Giotto,6.399317406143345,?
Mead,6.399317406143345,?
Becky,4.266211604095563,?
Brandee,4.266211604095563,?
Laius,4.266211604095563,?
Heathcliff,4.266211604095563,?
COLORADO ROCKIES,4.266211604095563,?
Abel,4.266211604095563,?
