NAME,# MENTIONS / 100K WORDS,GENDER
David,2029.8836452988364,M
Jeff,1293.63301293633,M
Sal,663.9806316398063,M
Bennie,642.2996314229963,M
Fat Monte,383.03100383031006,M
Kales,362.2533786225338,M
Matthew,290.88675290886755,M
Jennifer,286.3698778636988,F
Ronnie,254.75175254751753,M
Bruno,238.49100238491002,M
Rachel,215.00325215003252,F
Slim Joe,186.09525186095252,M
William,118.34212618342126,M
FBI,99.37125099371251,?
Jerry,96.66112596661127,M
Ruben,80.40037580400376,M
Poremba,72.2700007227,M
Las Vegas,70.4632507046325,?
Neto,69.55987569559876,M
Dr. Kirsch,66.8497506684975,M
Picone,64.13962564139625,M
Gray Beard,60.52612560526126,?
Dennis,58.71937558719375,M
Miguel,56.912625569126256,M
Chema,56.009250560092504,M
Biglione,55.10587555105876,M
Tina,51.49237551492376,F
Mr. Savone,44.265375442653756,M
Rabbi Cohen,41.55525041555251,?
Claudia,37.038375370383754,F
Neal,32.521500325215,M
Sophie,31.618125316181253,F
Agent Hopper,29.811375298113752,M
Marvin,25.294500252945003,M
Vincent,24.39112524391125,M
Nicholas,23.487750234877502,M
Nina,20.777625207776254,F
Temple Beth Israel,20.777625207776254,?
Kochel Farms,19.8742501987425,?
Esther,18.067500180675,F
Tricia,17.164125171641253,F
Parker House,16.2607501626075,M
Piero,15.357375153573752,M
Benjamin,15.357375153573752,M
Mrs. Cupertine,15.357375153573752,F
Harvey B. Curran,13.550625135506252,M
Martin Copeland,11.743875117438751,M
Hummer,9.93712509937125,?
Jesus,9.93712509937125,?
Howard Hughes,9.93712509937125,M
Reno,9.93712509937125,?
Walla Walla,9.0337500903375,?
Bert,8.13037508130375,M
Oscar Goodman,8.13037508130375,M
Elissa,8.13037508130375,F
Roosevelt,8.13037508130375,M
Donnie Brasco,7.227000072270001,M
Tribune,7.227000072270001,?
Louis,6.323625063236251,M
Lemonhead,6.323625063236251,?
Hannah,6.323625063236251,F
Packers,6.323625063236251,?
Bugsy Siegel,6.323625063236251,M
Ezekiel,5.4202500542025005,M
Donnie Brascos,5.4202500542025005,M
Mel,5.4202500542025005,?
Favre,5.4202500542025005,M
Brown,4.51687504516875,?
LifeCore,4.51687504516875,?
Bruce Springsteen,4.51687504516875,M
Dr. Crane,4.51687504516875,M
Lionel Berkowitz,4.51687504516875,M
Mr. Berkowitz,4.51687504516875,M
John Gotti,4.51687504516875,M
Gottlieb,4.51687504516875,M
Jack,4.51687504516875,M
Henderson,3.6135000361350005,M
Harvard,3.6135000361350005,?
Derek,3.6135000361350005,M
Dorothy Copeland,3.6135000361350005,M
Mrs. Espinoza,3.6135000361350005,F
Lois,3.6135000361350005,F
CIA,3.6135000361350005,?
Grey Beard,3.6135000361350005,?
Matt,2.7101250271012503,M
UIC,2.7101250271012503,?
Chicago Family,2.7101250271012503,?
Chrysler,2.7101250271012503,?
Mr. Hooper,2.7101250271012503,?
Hillpointe,2.7101250271012503,?
Richard Speck,2.7101250271012503,M
Jaguar,2.7101250271012503,?
Culinary Union,2.7101250271012503,?
Keith,2.7101250271012503,?
Navy Pier,2.7101250271012503,?
Chad,2.7101250271012503,?
Kosher Nostra,2.7101250271012503,?
Tom,2.7101250271012503,?
Jean,2.7101250271012503,?
Al Capone,2.7101250271012503,?
UNLV,2.7101250271012503,?
NSA,2.7101250271012503,?
Santa,2.7101250271012503,?
Damen,2.7101250271012503,?
Steve Young,2.7101250271012503,M
Moti,2.7101250271012503,M
Smith,1.8067500180675002,?
Mt. Carmel Academy,1.8067500180675002,?
Windsor Syndicate,1.8067500180675002,?
Whitman College,1.8067500180675002,?
Trey,1.8067500180675002,?
Sammy,1.8067500180675002,?
Nike,1.8067500180675002,?
Barer Academy,1.8067500180675002,?
Kales Mortuary & Home of Peace,1.8067500180675002,?
Harmon,1.8067500180675002,?
Kerby,1.8067500180675002,?
Rhoda Kochman,1.8067500180675002,?
Ken,1.8067500180675002,?
IRS,1.8067500180675002,?
Lucy,1.8067500180675002,?
