NAME,# MENTIONS / 100K WORDS,GENDER
David,2277.865892754699,M
Ryan,823.406337529106,M
Saylor,506.1924206121554,F
Mary Beth,285.7174996344166,F
Bee,259.8454425809064,?
Mr. Hall,220.47492097773878,M
Harper,217.1003048403244,M
Blythe,208.1013284738861,M
Brandon,136.10951754237956,M
Miss Annemarie,128.23541322174603,F
Mom,120.3613089011125,F
Amanda,97.86386798501671,F
Dr. DuPont,76.4912991147257,M
Paladin,70.86693888570176,?
Grove Academy,57.36847433604427,M
Magnolia House,52.868986152825116,F
Martha,50.61924206121554,F
Paladins,42.74513774058201,?
Abigail,40.49539364897243,F
Miss Saylor,38.24564955736285,F
Alaric,37.12077751155806,?
Leigh-Anne,23.622312961900583,?
Christopher,22.497440916095794,M
SGA,21.372568870291005,?
Chie,17.997952732876634,F
Dad,16.873080687071845,M
Dunn,16.873080687071845,M
Charlemagne,15.748208641267055,?
Liz,14.623336595462266,F
Homecoming Queen,14.623336595462266,?
Cathy Foster,12.373592503852686,F
Starks,10.123848412243108,?
Michael,10.123848412243108,M
Mages,10.123848412243108,?
Janice,10.123848412243108,F
Wallace Hall,8.998976366438317,M
Suzanne Perry,7.874104320633528,F
Mrs. Hillyard,6.7492322748287386,F
Lucy,6.7492322748287386,F
Pine Grove Betterment Society,6.7492322748287386,?
Mrs. Catesby,6.7492322748287386,F
Abi,5.6243602290239485,?
Mrs. Ford,5.6243602290239485,F
Dr. Greenbaum,5.6243602290239485,M
Matt Hampton,4.499488183219158,M
Giles,4.499488183219158,M
Luke,4.499488183219158,?
Rachel Hawkins,4.499488183219158,?
Hillary,4.499488183219158,F
Mrs. Laurent,4.499488183219158,?
Miss Harper,3.3746161374143693,F
Starbucks,3.3746161374143693,?
University of West Alabama,3.3746161374143693,?
Jesus,3.3746161374143693,?
Adolphus Bridgeforth,3.3746161374143693,?
Miss Riley,2.249744091609579,?
Lauren Roberts,2.249744091609579,?
Mr. Bradshaw,2.249744091609579,?
Google,2.249744091609579,?
