NAME,# MENTIONS / 100K WORDS,GENDER
Ella,1728.3185356693589,F
Ed,903.3563654263368,M
Lewis,511.38538950976283,M
Scarface,461.2495670088057,M
Malik,401.0865800076571,M
Kyle,361.8894824159997,M
Brooke,331.8079889154254,F
Macca,192.33924632185375,M
Harry,176.84271936701245,M
Henry,116.67973236586388,M
Amelia,115.76817195675558,F
Tyler,113.03349072943064,M
Isaac,108.47568868388908,M
Roy,98.44852418369766,M
Josa,92.97916172904779,F
Kenton,90.24448050172285,M
Ebenezer,82.95199722885636,?
Sonya,78.39419518331479,F
Daniel,69.27859109223168,M
Trey,69.27859109223168,M
Ascot,67.45547027401506,?
St George,66.54390986490675,M
Arno,64.72078904669013,M
Sam,61.074547410256876,M
Andy,58.33986618293194,M
Slough,51.95894331917376,?
Louisa,50.13582250095714,F
Greg,48.31270168274052,M
Robbie,47.401141273632206,M
Tommy,41.93177881898234,M
Susannah,39.197097591657396,F
Abby,34.63929554611584,F
Trinity,33.72773513700753,F
Chris,33.72773513700753,M
Norman,32.81617472789922,M
Sophie,31.904614318790905,F
Monkey-Boy,30.993053909682594,?
Golden Boy,30.993053909682594,M
Bracknell,30.081493500574283,?
Ollie,25.523691455032726,M
Ryan,25.523691455032726,M
Skinner,23.700570636816103,M
Tomasz,22.78901022770779,M
Justin,22.78901022770779,M
Paddy,21.87744981859948,M
Holloway,21.87744981859948,M
Sean,20.96588940949117,M
Achilleus,17.31964777305792,F
Mary,17.31964777305792,F
Shadowman,17.31964777305792,?
Irene,17.31964777305792,F
Maeve,15.496526954841297,?
Green,15.496526954841297,M
Rowhurst School,12.761845727516363,?
Will,11.850285318408051,M
Arbour Vale,10.93872490929974,F
Mike,10.027164500191427,M
Finn,9.115604091083116,M
Boggle,9.115604091083116,?
Golden Twins,8.204043681974804,?
Billy,8.204043681974804,M
Dorothy,8.204043681974804,F
Dara,8.204043681974804,M
Roald Dahl,7.292483272866493,M
Janey,7.292483272866493,M
Jack,6.380922863758181,M
Jordan Hordern,5.46936245464987,M
Brian,5.46936245464987,?
Volvo,4.557802045541558,?
Jesus,4.557802045541558,M
Nike,4.557802045541558,?
Courtney,4.557802045541558,M
Dr Catell,3.6462416364332464,?
Liam,3.6462416364332464,M
Akkie,3.6462416364332464,?
Wormwood,3.6462416364332464,?
Brockridge House,3.6462416364332464,?
Matt,2.734681227324935,?
YouTube,2.734681227324935,?
Lettis,2.734681227324935,?
Allah,2.734681227324935,M
David,2.734681227324935,?
Kermit,2.734681227324935,?
Roger,2.734681227324935,M
Maxie,2.734681227324935,?
Carmina Burana,2.734681227324935,?
Arran,2.734681227324935,?
William McIntyre,1.8231208182166232,?
Bam,1.8231208182166232,?
Big Kahuna,1.8231208182166232,?
Aleisha,1.8231208182166232,?
Altan,1.8231208182166232,?
Qadar,1.8231208182166232,?
Charles,1.8231208182166232,?
