NAME,# MENTIONS / 100K WORDS,GENDER
Josey,200.3609809409,M
Weeper,116.325280257,M
Tony Pavarotti,74.5144143995,M
God,56.2997797685,?
Jesus,56.2997797685,M
Kim Clarke,53.4019969863,M
Louis Johnson,50.918183173,M
Chuck,50.918183173,M
Jesus Christ,50.5042142041,M
Peter Nasser,48.4343693597,M
Kingston,40.5689589508,?
Lansing,40.154989982,M
bush,39.3270520442,M
PNP,38.9130830753,?
Rasta,37.6711761686,M
Eubie,36.8432382309,?
Barry,35.6013313242,F
Copenhagen City Promotions,34.7733933864,?
Shotta Sherrif,33.9454554487,M
Alex Pierce,33.1175175109,M
Kimmy,31.8756106042,M
Griselda,30.6337036976,F
Babylon,28.1498898843,?
Michael Manley,26.0800450398,M
Daddy,25.2521071021,M
Bill,23.5962312265,M
JLP,22.3543243198,?
CIA,19.8705105065,?
Tristan Phillips,18.6286035999,M
Luis,18.214634631,M
Heckle,16.9727277243,?
Dorcas,16.1447897866,F
Brown,15.3168518488,M
Ras Trent,15.3168518488,M
Mick Jagger,14.9028828799,M
Danny,14.9028828799,M
Josef,14.488913911,M
Jah,13.6609759732,?
Rema,13.2470070044,?
Rolling Stone,12.8330380355,M
Ren-Dog,12.0051000977,?
Ken,11.5911311288,M
Leggo Beast,11.5911311288,?
Bam-Bam,11.5911311288,?
Wang Gang,11.5911311288,M
Don,11.5911311288,M
Paco,11.1771621599,M
Green Bay,10.763193191,M
Tony,9.5212862844,M
Claire,9.5212862844,F
John,9.1073173155,M
Matic,8.6933483466,M
Medellín,8.6933483466,?
Batty,8.6933483466,M
Jamdown,8.6933483466,?
Funnyboy,8.2793793777,?
Trench Town,8.2793793777,?
Mr. Colthirst,8.2793793777,M
Yow,8.2793793777,?
Lopez,7.8654104088,M
Benjy,7.8654104088,?
Nina Burgess,7.4514414399,?
Mr. Clark,7.4514414399,M
John Lennon,7.4514414399,M
Consuela,7.4514414399,F
Demus,7.4514414399,?
Harry Callahan,7.0374724711,M
Mantana,7.0374724711,?
Bruce Lee,7.0374724711,M
Kissinger,7.0374724711,M
Baxter,7.0374724711,M
Balaclava,7.0374724711,?
Morris,7.0374724711,M
Cortina,7.0374724711,?
Prince,6.6235035022,M
Arthur George Jennings,6.6235035022,M
Marcus Garvey,6.6235035022,?
Millicent,6.6235035022,F
McGregor Gully,6.2095345333,M
Bertrand Russell,6.2095345333,M
Lyle Waggoner,6.2095345333,M
New York Times,6.2095345333,M
Castro,6.2095345333,M
Tosh,6.2095345333,M
Dad,5.7955655644,?
busha,5.7955655644,?
Aisha,5.7955655644,F
Stephenson,5.7955655644,M
Jacqueline,5.3815965955,F
Alexander Pierce,5.3815965955,M
Eldridge Cleaver,5.3815965955,M
Superman,5.3815965955,M
Boston Jerk Chicken,5.3815965955,M
James Bond,4.9676276266,M
DEA,4.9676276266,?
Kentucky Fried Chicken,4.9676276266,M
Andy Gibb,4.9676276266,M
Omar,4.9676276266,M
Nixon,4.9676276266,M
Monifah,4.9676276266,?
John-John,4.5536586577,M
Ma,4.5536586577,M
Buntin-Banton,4.5536586577,?
Duke Street,4.5536586577,M
Roger,4.5536586577,M
Luke Duke,4.5536586577,M
Lloyd,4.5536586577,M
Speedy Gonzales,4.1396896889,M
Havendale,4.1396896889,?
Trevor,4.1396896889,M
Miz Colthirst,4.1396896889,?
Nelly Matar,4.1396896889,M
Carter,4.1396896889,M
T. J. Hooker,3.72572072,M
Cho,3.72572072,?
Joe,3.72572072,M
Papah,3.72572072,?
Judas,3.72572072,M
Batman,3.72572072,M
Richard Welch,3.72572072,M
Farrah Fawcett,3.3117517511,M
Motherfucker,3.3117517511,?
Yankee,3.3117517511,M
Adam,3.3117517511,M
Johnny,3.3117517511,M
Tony McFerson,3.3117517511,M
Seaga,3.3117517511,M
Hutch,3.3117517511,?
Claudette Colbert,3.3117517511,F
Mr. Jacobs,3.3117517511,M
Tommy,3.3117517511,M
Clint Eastwood,3.3117517511,M
KGB,3.3117517511,?
Desmond Dekker,2.8977827822,M
William Adler,2.8977827822,M
Sally,2.8977827822,F
Umberto,2.8977827822,M
Marty Robbins,2.8977827822,M
Kim-Marie Burgess,2.8977827822,M
Miss Betsy,2.8977827822,F
Clarks,2.8977827822,?
Volkswagen,2.8977827822,?
Alcorp,2.8977827822,?
Lucy,2.8977827822,F
Moses,2.4838138133,M
Mr. Wales,2.4838138133,?
Che Guevara,2.4838138133,?
Jacob Miller,2.4838138133,M
Pepsi,2.4838138133,?
Mr. Brando,2.4838138133,M
Aiden,2.4838138133,?
Carlos,2.4838138133,M
Feds,2.4838138133,?
Sal Resnick,2.4838138133,?
IMF,2.4838138133,?
Gates,2.4838138133,?
People 's National Party,2.4838138133,?
Tunney,2.0698448444,M
Turntable Club,2.0698448444,?
Tony Curtis,2.0698448444,M
Columbia,2.0698448444,?
Chelsea,2.0698448444,?
Mona,2.0698448444,F
Chinaman,2.0698448444,?
Cali,2.0698448444,?
Mary Tyler Moore,2.0698448444,?
Pink Hawaiian Shirt,2.0698448444,?
Kekekekekekeke,2.0698448444,?
Miss Palmer,2.0698448444,F
Romeo,2.0698448444,M
Sid Vicious,2.0698448444,M
Kennedy,2.0698448444,?
Artie Jennings,2.0698448444,M
Eddie,2.0698448444,M
The Company,2.0698448444,?
Cheporov,2.0698448444,?
Dillinger,2.0698448444,M
Bill Bilson,2.0698448444,M
Lisa,2.0698448444,F
Nancy Welch,2.0698448444,?
Pete,1.6558758755,M
Catholic,1.6558758755,?
Keef,1.6558758755,?
Wolmer,1.6558758755,?
Jackson,1.6558758755,M
Grant,1.6558758755,?
Bill Cosby,1.6558758755,M
Nicodemus,1.6558758755,?
St. Mary,1.6558758755,?
Liguanea Club,1.6558758755,?
Ben,1.6558758755,?
Georgie,1.6558758755,M
Jamaica Defence Force,1.6558758755,?
Jimmy Cliff,1.6558758755,?
Thompson,1.6558758755,M
Charles,1.6558758755,?
Coke,1.6558758755,F
Miss Ammar,1.6558758755,?
Carlucci,1.6558758755,M
Yale,1.6558758755,?
Timmy,1.2419069067,?
Paul McCartney,1.2419069067,?
Robin Hood,1.2419069067,M
Icylda,1.2419069067,F
Volvo,1.2419069067,?
Keith,1.2419069067,?
Jimi,1.2419069067,?
Miss Tibbs,1.2419069067,F
Sioux,1.2419069067,?
Christopher,1.2419069067,?
Bob,1.2419069067,?
Serge,1.2419069067,?
Fiorucci,1.2419069067,?
Schlesinger,1.2419069067,?
Fed,1.2419069067,?
Wah,1.2419069067,?
Tuff Gong,1.2419069067,?
Elvis,1.2419069067,?
Lerlette,1.2419069067,?
Larry,1.2419069067,?
Jamaica Labour Party,1.2419069067,?
Willie Winkle,1.2419069067,M
Halston,1.2419069067,?
Uzi,1.2419069067,?
Ren,1.2419069067,M
Newsweek,1.2419069067,?
Dick,1.2419069067,?
Eustace,1.2419069067,M
Hunter,1.2419069067,?
Carlton,1.2419069067,?
Miss Segree,1.2419069067,?
Nelson,1.2419069067,M
Miss Kim,1.2419069067,?
Lola,0.8279379378,?
Super Nova Cocks,0.8279379378,?
Ardenne High School,0.8279379378,?
Dora,0.8279379378,?
Richard Lansing,0.8279379378,?
Creem,0.8279379378,?
MOMA,0.8279379378,?
West Kings House,0.8279379378,?
Jehovah,0.8279379378,?
Irie Ites,0.8279379378,?
Sam,0.8279379378,?
Garveyism,0.8279379378,?
Haviland,0.8279379378,?
V. S. Naipaul,0.8279379378,?
Keystone Kops,0.8279379378,?
Immaculate Conception High School,0.8279379378,?
Hahahahahaha,0.8279379378,?
Yankees,0.8279379378,?
FBI,0.8279379378,?
Ocho Rios,0.8279379378,?
Navy,0.8279379378,?
JDF,0.8279379378,?
Western Union,0.8279379378,?
Shah,0.8279379378,?
Donna Summer,0.8279379378,?
Emily Post,0.8279379378,?
McGraw,0.8279379378,?
Gilly,0.8279379378,?
Stevie Wonder,0.8279379378,?
BWIA,0.8279379378,?
Byron,0.8279379378,?
Carly Simon,0.8279379378,?
Cassandra,0.8279379378,?
Jimbo,0.8279379378,?
Coordination of United Revolutionary Organizations,0.8279379378,?
Ramones,0.8279379378,?
Granny,0.8279379378,?
New York Post,0.8279379378,?
Mr. Clark-just-ditch-the-E,0.8279379378,?
Heineken,0.8279379378,?
Mobay,0.8279379378,?
Coca-Cola,0.8279379378,?
Eehi,0.8279379378,?
Haffi,0.8279379378,?
Essex House,0.8279379378,?
defense,0.4139689689,?
