NAME,# MENTIONS / 100K WORDS,GENDER
Sean,1095.9562578861985,M
Zac,546.7764225199784,M
Gil,365.3187526287328,M
Brockman,301.62831220332873,M
Pollock,239.13957820104548,M
Jackson,213.90374331550802,M
Mitchell,186.2644955837289,M
Davy,153.81842215946645,M
Sabine,146.60818362074144,F
Tori,136.9945322357748,F
Mom,135.79282581265397,?
Harris,129.7842936970498,M
Tully,106.95187165775401,M
Nathan,91.3296881571832,M
Richard,90.12798173406237,M
Dad,64.8921468485249,M
Wainwright Agency,61.28702757916241,M
Tucci,57.681908309799915,M
Coco,54.07678904043742,M
Mr. Grayson,48.068256924833264,M
Dr. Wainwright,48.068256924833264,M
Webber,42.0597248092291,M
Andersen,37.25289911674578,M
Addy,33.64777984738328,M
Felix,32.44607342426245,F
Dylan,30.04266057802079,M
Carlton,25.235834885537464,M
Brenda,20.42900919305414,F
Brian,19.227302769933306,M
Zoe,19.227302769933306,F
Stiles,19.227302769933306,?
Simon,16.82388992369164,M
Keller,16.82388992369164,M
Victoria,15.622183500570811,F
Everton,14.420477077449979,?
Martha Delaney,14.420477077449979,F
KEVIN HOYT,14.420477077449979,M
Davina Hamilton,14.420477077449979,?
HARLAN McALISTER,13.218770654329147,M
Mrs. McGary,12.017064231208316,F
HarperCollins,10.815357808087484,F
ZACHARY CLEMENS,8.41194496184582,M
Amy,8.41194496184582,F
Mika,8.41194496184582,?
RYAN YATES,8.41194496184582,?
Mrs. Hamilton,8.41194496184582,F
Sophie Jordan,7.210238538724989,?
MARIE DOYLE,7.210238538724989,?
Mrs. Drexler,7.210238538724989,F
Ms. Hamilton,7.210238538724989,F
Patrick,6.008532115604158,?
CALLEN,6.008532115604158,?
Ty,3.6051192693624947,?
NYU,3.6051192693624947,?
Dav,3.6051192693624947,?
Department of Justice,3.6051192693624947,?
House,3.6051192693624947,?
CIA,2.4034128462416633,?
National Center for Analysis of Violent Crime,2.4034128462416633,?
