NAME,# MENTIONS / 100K WORDS,GENDER
Tisarwat,317.089140398466,F
Kalr,277.8037601721074,F
Hetnys,259.09643625479373,F
Seivarden,204.84519689458423,F
Atagaris,171.1720138434197,?
Raughd,167.43054905995697,F
Radchaai,128.14516883359835,F
Anaander Mianaai,117.85614067907586,F
Sirix,116.92077448321018,F
Fosyf,115.05004209147882,F
Holden,114.11467589561313,M
Basnaaid,102.89028154522495,?
Queter,98.21345056589655,F
Athoek,76.70002806098587,?
Ekalu,70.1524646899261,?
Giarod,65.4756337105977,F
Grandfather,64.54026751473202,F
Amaat,63.60490131886634,?
Julie,59.86343653540361,F
Dlique,57.057337947806566,?
Bo,42.09147881395566,?
Celar,40.2207464222243,?
McDowell,31.80245065943317,M
Breq,30.867084463567487,?
Awn,29.931718267701804,?
Kalrs,28.996352071836125,?
Uran,28.996352071836125,F
Bo Nine,28.06098587597044,?
Daos Ceit,27.125619680104762,F
Samirend,26.19025348423908,?
Skaaiat,26.19025348423908,?
Piat,26.19025348423908,?
Vel,25.2548872883734,?
Amaats,25.2548872883734,?
Valskaayan,22.448788700776355,?
Citizen Raughd,21.51342250491067,?
Ychana,19.64269011317931,?
Athoeki,18.707323917313627,?
Naomi,17.771957721447947,F
Delsig,16.836591525582264,?
Etrepa,16.836591525582264,?
Notai,14.965859133850902,?
Etrepas,14.03049293798522,?
Bo One,13.09512674211954,?
Valskaay,13.09512674211954,?
Toren,11.224394350388177,?
Paj,11.224394350388177,?
Uemi,9.353661958656813,?
Ade,8.418295762791132,?
Garseddai,6.54756337105977,?
Rrrrrr,6.54756337105977,?
Bo Ten,6.54756337105977,?
Canterbury,6.54756337105977,?
Inil,4.676830979328407,?
Dave,4.676830979328407,M
Varden,3.7414647834627255,?
Rebecca,3.7414647834627255,F
XO,2.8060985875970443,?
Saturn,2.8060985875970443,?
Amos Burton,2.8060985875970443,?
Miller,2.8060985875970443,M
Darren,1.8707323917313627,?
navy,1.8707323917313627,?
Nyseme Ptem,1.8707323917313627,?
