NAME,# MENTIONS / 100K WORDS,GENDER
Abby,4370.916032402535,F
Andrew,4356.232103962213,M
Rob,812.5107070311544,M
Ruth,450.3071388365434,F
Trina,364.65088960133136,F
John,337.73035412740757,M
Barb,330.3883899072465,F
Andy,70.97232079489,M
Joy,58.73571376128827,F
Emma,41.604463914245855,F
Lake Tahoe,31.81517828736448,?
Sansbury,29.367856880644133,M
Mr. Carrington,19.578571253762757,M
Matthew,17.13124984704241,M
Bob,17.13124984704241,M
Becca,14.683928440322067,F
Broad Oaks Golf and Country Club,9.789285626881378,?
Rebecca,9.789285626881378,F
Cole,9.789285626881378,M
Gaal,7.341964220161033,M
Asimov,7.341964220161033,?
Seldon,7.341964220161033,M
Reno,7.341964220161033,?
SFSU,4.894642813440689,?
