NAME,# MENTIONS / 100K WORDS,GENDER
Doyle,841.6235003494796,M
Violet,743.0032267021572,F
Hannah,341.8197834183893,F
Miss Petra,244.15698815599237,F
Benjamin,211.60272306852673,M
Jeremiah,201.07046083434668,M
Mother Briggs,126.38714681016076,F
Miss Briggs,101.49270880209879,F
Dr. Bishop,93.8328817226951,M
Ned,90.00296818299327,M
Mr. Richardson,86.17305464329142,M
Olie,84.2580978734405,M
Mr. Head,77.55574917896229,M
Mrs. Pink,67.98096532970769,F
Sophy,67.02348694478222,?
Bertha,62.23609502015492,F
Mary Celeste,61.27861663522946,F
B.,58.40618148045308,F
Virginia Babin,55.533746325676695,F
Wallace,54.57626794075124,M
Mr. Peebles,53.61878955582578,M
Dinah,49.788876016123936,F
Miss Fox,44.04400570657118,F
Mr. Gilling,42.12904893672025,M
Maria,39.25661378194387,F
Arthur Briggs,39.25661378194387,M
Mrs. Atlas,37.34165701209295,F
James,32.55426508746565,M
Sallie,32.55426508746565,F
Mrs. Blatchford,32.55426508746565,F
Miss Jekyll,30.63930831761473,F
Garnet,29.68182993268927,M
Sherlock Holmes,28.72435154776381,M
Natie,28.72435154776381,?
George,28.72435154776381,M
Nathan,28.72435154776381,M
Sarah,26.80939477791289,F
Lippincott,26.80939477791289,M
Mr. R.,24.894438008061968,M
Cornhill,24.894438008061968,?
Mitchell,22.979481238211047,M
Mr. Lorenzen,22.02200285328559,M
Dr. Jephson,22.02200285328559,?
Miss Grant,21.064524468360126,F
Annie,21.064524468360126,F
Tibbs,21.064524468360126,M
Henry Garnet,20.107046083434668,M
Dr. Waller,20.107046083434668,M
Innes,19.149567698509205,M
Cobb,17.234610928658284,M
Hayes,17.234610928658284,M
Myers,17.234610928658284,M
Dr. Chandler,16.277132543732826,M
Jeffrey,16.277132543732826,M
Wentworth,15.319654158807365,M
Margaret,14.362175773881905,F
Miss Whitaker,14.362175773881905,F
William,13.404697388956444,M
Marion,11.489740619105524,?
Celia,11.489740619105524,F
Oliver,11.489740619105524,M
Lizzie,10.532262234180063,F
Mayumba,10.532262234180063,?
Dr. Allen,10.532262234180063,M
Marie Celeste,9.574783849254603,F
Mrs. Bakersmith,8.617305464329142,F
J. Habakuk Jephson,8.617305464329142,?
Phoebe Grant,8.617305464329142,?
Weir Mitchell,8.617305464329142,M
Wells,7.659827079403683,M
Victor,7.659827079403683,M
Dr. Rutherford,6.702348694478222,M
Messina,6.702348694478222,M
Mr. Wilbur,6.702348694478222,M
Mr. Bakersmith,6.702348694478222,M
Mr. Atlas,6.702348694478222,M
Daniel,5.744870309552762,M
Liverpool,5.744870309552762,?
Mr. Talbot,5.744870309552762,M
Blackwood,5.744870309552762,M
Jesus,5.744870309552762,M
Dawn,5.744870309552762,F
Harvey,5.744870309552762,M
Joseph Gibbs,5.744870309552762,M
Jane,5.744870309552762,?
Horatio J. Sprague,5.744870309552762,?
Nutt,4.787391924627301,M
Mrs. Piper,4.787391924627301,F
Mrs. Braddon,4.787391924627301,F
Mrs. Drover,4.787391924627301,F
Society for Psychical Research,4.787391924627301,?
Mr. Bedford,4.787391924627301,M
Dukes,4.787391924627301,?
Dora,4.787391924627301,F
Sarah Briggs,4.787391924627301,?
Dr. Moody,4.787391924627301,M
Dei Gratia,4.787391924627301,?
Betty,4.787391924627301,F
Bridget,3.8299135397018413,F
Septimus Goring,3.8299135397018413,M
Black Feather,3.8299135397018413,M
Robert Louis Stevenson,3.8299135397018413,M
Motley,3.8299135397018413,M
Walter Scott,3.8299135397018413,M
Pullman,3.8299135397018413,?
Mrs. Rowbotham,3.8299135397018413,F
Zachary,3.8299135397018413,M
Mark,3.8299135397018413,M
Mr. Winchester,3.8299135397018413,?
Wister,3.8299135397018413,?
Morley,3.8299135397018413,M
Sophia Matilda,3.8299135397018413,F
Mr. G.,3.8299135397018413,M
Mrs. Green,3.8299135397018413,F
bush,2.872435154776381,?
Frederick Solly Flood,2.872435154776381,?
S.S. Campania,2.872435154776381,?
Hains,2.872435154776381,?
Bok,2.872435154776381,?
Mr. Little,2.872435154776381,M
Lydia,2.872435154776381,F
Mrs. Gaskell,2.872435154776381,?
Parson Fairfax,2.872435154776381,M
Philadelphia Sun,2.872435154776381,F
Miss Pendergast,2.872435154776381,F
Prescott,2.872435154776381,?
Mr. Finley,2.872435154776381,M
Genoa,2.872435154776381,?
Miss Borden,1.9149567698509207,?
Boston Herald,1.9149567698509207,?
Harvard College,1.9149567698509207,?
Havre,1.9149567698509207,?
Miss Rossetti,1.9149567698509207,?
Huntress,1.9149567698509207,?
Tilda,1.9149567698509207,?
Longman,1.9149567698509207,?
Aïda,1.9149567698509207,?
JOSEPH CONRAD,1.9149567698509207,?
Godey,1.9149567698509207,?
Gussie,1.9149567698509207,?
New York Times,1.9149567698509207,?
Mrs. Babin,1.9149567698509207,?
Julia A. Hallock,1.9149567698509207,?
Lottie,1.9149567698509207,?
Irene,1.9149567698509207,?
Morehouse,0.9574783849254603,?
