NAME,# MENTIONS / 100K WORDS,GENDER
Gus,1826.3387666454598,M
Becky,615.3609898427045,F
Ruby,490.31437158589824,F
Dillon,433.27556325823224,M
Steve,273.1281398767084,M
Jessie,175.50402562358775,F
Ros,167.82572450255577,M
Kazek,136.0156198582805,?
Dot,107.49621569444749,F
God,106.39931553430007,M
Jess,86.65511265164645,F
Tommy,72.39541056972995,M
Morrison,69.10471008928768,M
Jesus,64.71710944869798,M
Gizzy,58.13570848781344,?
Gary,57.03880832766602,M
Miss Colquhoun,57.03880832766602,F
Mummy,49.360507206634054,?
Father Tommy,47.166706886339206,M
Dave,41.68220608560209,M
Spencer,38.39150560515982,M
Gavin,32.9070048044227,M
Mr. King,25.228703683390737,M
Granny,25.228703683390737,F
Daddy,25.228703683390737,M
Avril,24.131803523243313,F
Jaroslawa,24.131803523243313,?
Wojtek,21.93800320294847,?
Anderson,19.74420288265362,M
Gav,18.647302722506197,?
McDowall,17.550402562358773,M
Eva,16.45350240221135,F
Thornhill,16.45350240221135,M
Jessie-Pleasie,15.356602242063927,?
Rebecca King,14.259702081916505,F
Eric,14.259702081916505,M
Roobs,12.065901761621657,?
Aye,12.065901761621657,?
Mrs. King,10.969001601474234,F
House,10.969001601474234,?
Penny,10.969001601474234,?
Gail,9.87210144132681,F
Allan,8.775201281179386,M
Mr. Kaz,7.678301121031963,M
Hoover,7.678301121031963,M
Caul View,7.678301121031963,?
St. Vincent,6.58140096088454,M
Jane,6.58140096088454,F
Caroline,6.58140096088454,F
Jessica,6.58140096088454,?
Nie,6.58140096088454,?
Annabel,6.58140096088454,F
Abington,5.484500800737117,?
Galloway,5.484500800737117,?
Peter Pan,5.484500800737117,M
Mother,5.484500800737117,?
Lauren,5.484500800737117,?
Elvis,4.387600640589693,M
Stockman,4.387600640589693,?
Castle Douglas,4.387600640589693,?
Stacey,4.387600640589693,F
Mr. Wet Guy,4.387600640589693,?
Kings,4.387600640589693,?
Irene,3.29070048044227,?
Ikea,3.29070048044227,?
Catherine Street,3.29070048044227,?
Moira,3.29070048044227,?
Foxleap,3.29070048044227,?
Morry,3.29070048044227,?
Mr. Kaaaaaz,3.29070048044227,M
Playmobil,3.29070048044227,?
Calor,2.1938003202948466,?
M&S,2.1938003202948466,?
Oxfam,2.1938003202948466,?
Dickens,2.1938003202948466,?
Diana,2.1938003202948466,?
Matthew,2.1938003202948466,?
Primark,2.1938003202948466,?
