NAME,# MENTIONS / 100K WORDS,GENDER
Isaac,3155.645792693446,M
Joseph,581.2333293522831,M
David,189.76339291638467,M
Henry,168.5311251774885,M
Dickens,57.061719548283506,M
Helen,53.080669347240466,F
Adam,35.829451809387315,?
Rose,25.213317939939223,M
Laurel,25.213317939939223,?
Bill,19.905251005215177,M
Isaac I,18.578234271534164,M
Rich,17.25121753785315,M
Denise,14.59718407049113,F
Thomas,13.270167336810117,M
Hope,10.616133869448094,F
Hancock Center,7.962100402086071,?
Daniel,7.962100402086071,?
Sharon,5.308066934724047,?
bush,5.308066934724047,?
Lenin,5.308066934724047,M
Ali,5.308066934724047,M
Langston,5.308066934724047,?
Marx,3.9810502010430353,M
Al Capone,3.9810502010430353,?
White House,2.6540334673620234,?
Audrey,2.6540334673620234,?
Alex,2.6540334673620234,?
British Embassy,2.6540334673620234,?
