NAME,# MENTIONS / 100K WORDS,GENDER
Pash,412.89222160975964,M
Katia,194.48575677840063,F
Lavinia,151.84449459704007,F
Lenin,141.44418674792774,M
Fyodor,134.1639712535491,M
Beria,133.12394046863787,M
Schillinger,132.08390968372663,M
Nikola,118.56350947988061,M
Sasha,113.36335555532443,M
Lev Sergeyvich Termen,112.32332477041321,M
Ioffe,95.68283221183347,M
Clara,76.96227808343127,F
Danny Finch,70.72209337396387,M
Walter,55.121631600295366,M
Andrei Markov,55.121631600295366,M
Karl,55.121631600295366,M
Vanya,54.081600815384135,M
Lucie,53.041570030472904,M
Sara,45.76135453609427,F
Leon,45.76135453609427,M
Eva,41.601231396449336,F
Robert,39.52116982662687,M
Marenko,32.240954332248236,?
Nadia,31.200923547337002,F
Voroshilov,30.160892762425767,?
Henry Solomonoff,27.040800407692068,M
Stalin,27.040800407692068,M
Jin,26.000769622780833,M
Harriman,24.960738837869602,M
Jim,23.920708052958368,M
Lydia,23.920708052958368,F
Karls,22.880677268047133,?
Korolev,21.840646483135902,M
Frances,20.800615698224668,M
Lapin,19.760584913313433,M
Tony,19.760584913313433,M
Len,18.7205541284022,M
Glenn,16.640492558579734,M
Gershwin,16.640492558579734,M
Bert Grimes,15.600461773668501,M
Totov,13.520400203846034,?
Nate,13.520400203846034,M
Szigeti,12.480369418934801,?
Cossack,12.480369418934801,?
Yukachev,11.440338634023567,?
Mr Thorogood,11.440338634023567,M
Physico-Technical Institute,11.440338634023567,?
Jansons,11.440338634023567,M
Chaplin,10.400307849112334,M
Vasilyev,10.400307849112334,M
Markevich,10.400307849112334,?
PERS,9.3602770642011,?
Burr,9.3602770642011,?
Maria,9.3602770642011,?
Missy,8.320246279289867,F
Vinogradov,8.320246279289867,?
Julius Goldberg,8.320246279289867,M
Stary Bolshevik,8.320246279289867,?
NKVD,8.320246279289867,?
Otis Skinner,7.280215494378633,M
Nobile,7.280215494378633,M
Moritz,7.280215494378633,M
Spaso House,7.280215494378633,?
Carnegie Hall,7.280215494378633,?
Butyrskaya,7.280215494378633,?
Helena,7.280215494378633,F
Rubin,7.280215494378633,M
Pavla,7.280215494378633,?
Bairamov,6.240184709467401,?
Tchaikovsky,6.240184709467401,M
Chopin,6.240184709467401,M
Babu,6.240184709467401,M
Lyova,6.240184709467401,?
Judy,6.240184709467401,F
Texas Guinan,6.240184709467401,?
Zaytsev,6.240184709467401,?
Slominsky,5.200153924556167,?
Yolanda,5.200153924556167,F
Alexandra Stepanoff,5.200153924556167,F
Budennyj,5.200153924556167,M
Rosemary Ilova,5.200153924556167,?
Saint-Saëns,5.200153924556167,?
Glinka,5.200153924556167,?
Rosalyn,5.200153924556167,?
Volkov,5.200153924556167,M
Rachmaninoff,5.200153924556167,?
Griffiths,5.200153924556167,M
USSR,5.200153924556167,?
Douglas Aircraft,5.200153924556167,?
Tommy Dorsey,5.200153924556167,M
De Forest,5.200153924556167,?
Mozart,5.200153924556167,M
Union of Soviet Socialist Republics,5.200153924556167,?
Ravel,4.160123139644933,?
Wurlitzer,4.160123139644933,?
Boyd Zinman,4.160123139644933,?
Yegor,4.160123139644933,?
Sarevko,4.160123139644933,?
NAGAYEVO,4.160123139644933,?
Tukhachevsky,4.160123139644933,?
Petrograd University,3.1200923547337003,?
Anna,3.1200923547337003,?
Yu Wei,3.1200923547337003,?
Internal Revenue Service,3.1200923547337003,?
Vtoraya Rechka,3.1200923547337003,?
Kropnik,3.1200923547337003,?
Rockefellers,3.1200923547337003,?
G.E.,3.1200923547337003,?
Nyusya,3.1200923547337003,?
Andrey Andreyevich Korovin,3.1200923547337003,?
Leung Jan,3.1200923547337003,?
Nikolayev,3.1200923547337003,?
Migos Corporation,3.1200923547337003,?
Boxer,3.1200923547337003,?
Bragin,3.1200923547337003,?
Ordzhonikidze,3.1200923547337003,?
Nizhny Novgorod,3.1200923547337003,?
Lughur,3.1200923547337003,?
Toscanini,3.1200923547337003,?
Tovarishch Stalin,3.1200923547337003,?
Sergey,3.1200923547337003,?
NYU,2.0800615698224667,?
Kathy,2.0800615698224667,?
Stravinsky,2.0800615698224667,?
Yuri,2.0800615698224667,?
Pittsburgh Clarks,2.0800615698224667,?
Ekaterina Pavlova Termen,2.0800615698224667,?
Roma,2.0800615698224667,?
Boléro,2.0800615698224667,?
Canon,2.0800615698224667,?
Clara Rockmore,2.0800615698224667,?
Haydn,2.0800615698224667,?
Katerina,2.0800615698224667,?
State Department,2.0800615698224667,?
Yankees,2.0800615698224667,?
Bach,2.0800615698224667,?
MIT,2.0800615698224667,?
Gorev,2.0800615698224667,?
Capaldi,2.0800615698224667,?
Massenet,2.0800615698224667,?
Kazan,2.0800615698224667,?
Dubinski,2.0800615698224667,?
Westinghouse,2.0800615698224667,?
Mr Grimes,2.0800615698224667,?
Rosens,2.0800615698224667,?
Mitchell Pelt,2.0800615698224667,?
Pachelbel,2.0800615698224667,?
Maksim,2.0800615698224667,?
Central State Aero-Hydrodynamics Institute,2.0800615698224667,?
Carlos,2.0800615698224667,?
Timur,2.0800615698224667,?
