NAME,# MENTIONS / 100K WORDS,GENDER
Kawsar,550.4226459603,F
Deqo,457.0473756635,F
Filsan,378.4155690977,F
Maryam,361.2148614114,F
Farah,298.5551405544,F
Intisaar,202.7226263023,F
Yasin,170.778454885,F
Nurto,153.5777471987,F
Nasra,141.2915274228,?
Dahabo,122.862197759,M
Hodan,73.7173186554,?
Doreen,72.4886966778,F
Roble,68.802830745,?
Stalin,60.2024769019,M
Afrah,46.6876351484,F
Ibrahim,44.2303911932,M
Abdurahman,38.0872813053,M
Karl Marx,36.8586593277,M
Mustafa,35.6300373501,M
Haaruun,34.4014153725,?
Mohamed Ismail,25.8010615294,M
Abdi,22.1151955966,M
Magan,22.1151955966,M
Adan Ali,20.886573619,M
Birjeeh,20.886573619,?
Safiya,20.886573619,F
NFM,19.6579516414,?
Sheikh Sharif,19.6579516414,M
Raage,18.4293296638,?
Umar Farey,18.4293296638,M
Anab,18.4293296638,?
Milgo,17.2007076863,?
Idil,15.9720857087,?
Jaalle,14.7434637311,?
Rahma,14.7434637311,?
Ahmed,13.5148417535,M
Hashi,12.2862197759,?
Ali Dheere,12.2862197759,M
Oodweyne,12.2862197759,M
Faruur,11.0575977983,?
Allah,11.0575977983,M
Guryo Samo,9.8289758207,M
Zahra,9.8289758207,?
Nuh,9.8289758207,M
Samira,8.6003538431,F
Fadumo,8.6003538431,?
Abbas,7.3717318655,M
Baha Dhamal,7.3717318655,M
Hooyo,6.1431098879,?
Aabbo,6.1431098879,?
Jimaale,6.1431098879,?
Murayo,4.9144879104,?
Qamar,4.9144879104,M
Mobile Military Court,4.9144879104,?
Radio Hargeisa,4.9144879104,?
BBC,4.9144879104,?
Regional Security Council,4.9144879104,?
National Freedom Movement,3.6858659328,?
Malab,3.6858659328,?
Machiavelli,3.6858659328,?
Kirk Dabagalaas,3.6858659328,?
Abukor,2.4572439552,?
Sharmarke,2.4572439552,?
Via Makka Al-Mukarama,2.4572439552,?
Mao,2.4572439552,?
Toyota,2.4572439552,?
UN,2.4572439552,?
Auxiliary Corps,2.4572439552,?
