NAME,# MENTIONS / 100K WORDS,GENDER
Abraham,1542.7211041310527,M
Ned,492.9156484987048,M
Slater,362.8698178309614,M
House Medical,327.2120900672253,?
Oscar,312.5294962821575,M
Robert,259.0429046365534,M
Neds,246.4578242493524,M
House,195.0687460016151,M
Welton,176.19112542081362,M
Matilda,175.14236872188022,F
Quinten,174.0936120229468,M
Grandma,163.60604503361265,F
Left Ned,138.4358842592107,M
Helen,128.99707396880999,F
Foster,101.7293997965412,M
Reeves Silver,84.94929261360657,M
House Black,56.63286174240438,M
Elwa,54.53534834453755,?
Dotty,51.38907824773731,F
House Orange,50.34032154880389,?
John Black,47.19405145200365,M
Tilly,34.608971064802674,F
Clara,33.560214365869264,F
Vance,32.51145766693585,M
Loy,32.51145766693585,M
Bram,31.462700968002434,M
L.U.C.,27.267674172268777,?
Dad,26.21891747333536,M
Lizard,23.072647376535116,?
Aranda Red,22.023890677601702,M
Shelley,22.023890677601702,M
Fessler,20.97513397866829,M
Mr. Harris,20.97513397866829,M
Kiana White,18.87762058080146,?
Wila,16.780107182934632,?
Mr. Case,16.780107182934632,M
Rob,13.633837086134388,M
Dr. Renault Case,12.585080387200973,F
Troi Blue,12.585080387200973,?
Bede,11.536323688267558,?
Mr. House Gray,11.536323688267558,?
Boston Sue,11.536323688267558,?
Bo,10.487566989334145,?
House Blue,10.487566989334145,?
Edith Case,8.390053591467316,F
Defense,8.390053591467316,?
Corb,7.341296892533901,?
Dolores Second,7.341296892533901,F
Lara Unger,7.341296892533901,M
Gray Towers,5.243783494667072,?
Ned Harris,4.195026795733658,M
Thad,4.195026795733658,M
Listra,3.1462700968002433,?
Mr. Vail,3.1462700968002433,?
Sadie,3.1462700968002433,?
Abraham Vail,2.097513397866829,?
Gideon Violet,2.097513397866829,?
Mr. Seventh,2.097513397866829,?
